"Naissances domiciliées (2005, 2006, 2007, 2008 et 2009)",,,,,,,,,,,
"Données par IRIS",,,,,,,,,,,
"Champ : IRIS de l'agglomération 34701-Montpellier",,,,,,,,,,,
,"(Cette agglomération fait partie de la région : 91-Languedoc-Roussillon)",,,,,,,,,,
"Source : Statistiques de l'état-civil",,,,,,,,,,,
,,,,,,,,,,,
"REG","uu","dc","nomc","iris","nom","note","nais09","nais08","nais07","nais06","nais05"
"Code région","Code unité urbaine (agglomération)","Code département / commune","Nom de la commune","Code IRIS","Nom de la zone","Disponibilité (voir documentation)","Naissances en 2009","Naissances en 2008","Naissances en 2007","Naissances en 2006","Naissances en 2005"
"91","34701","34172","Montpellier","1802","PORT MARIANNE",0,61,,,,
"91","34701","34172","Montpellier","1803","LA LIRONDE",0,39,,,,
"91","34701","34172","Montpellier","1804","RIVE DU LEZ",0,81,,,,
"91","34701","34172","Montpellier","1901","EUREKA",0,0,,,,
"91","34701","34172","Montpellier","1903","MILLÉNAIRE",0,28,,,,
"91","34701","34172","Montpellier","1904","GRAMMONT",0,59,,,,
"91","34701","34172","Montpellier","2001","PONT DE SETE",0,24,31,30,44,34
"91","34701","34172","Montpellier","2002","MEDITERRANNEE",0,30,33,37,35,30
"91","34701","34172","Montpellier","2003","SAINT-FRANCOIS",0,39,48,35,52,32
"91","34701","34172","Montpellier","2101","SALAISON",0,13,24,21,21,21
"91","34701","34172","Montpellier","2102","POMPIGNANE",0,23,17,16,21,21
"91","34701","34172","Montpellier","2201","LES AUBES",0,22,25,13,29,15
"91","34701","34172","Montpellier","2202","RIMBAUD",0,27,26,29,28,22
"91","34701","34172","Montpellier","2301","FAC DE PHARMACIE",0,33,21,27,24,36
"91","34701","34172","Montpellier","2302","ECOLE NORMALE",0,36,34,26,29,28
"91","34701","34172","Montpellier","2303","BOUTONNET",0,25,19,20,16,17
"91","34701","34172","Montpellier","2304","SAINTE-ODILE",0,20,28,30,20,26
"91","34701","34172","Montpellier","2305","ARCHIVES DEPARTEMENTAL",0,21,37,33,30,32
"91","34701","34172","Montpellier","2401","NAZARETH",0,43,41,38,45,43
"91","34701","34172","Montpellier","2402","BEAUX ARTS",0,28,25,25,31,37
"91","34701","34172","Montpellier","2403","VERDANSON",0,37,35,41,23,24
"91","34701","34172","Montpellier","2501","PEYROU",0,19,14,19,22,22
"91","34701","34172","Montpellier","2502","URSULINES",0,19,24,26,29,27
"91","34701","34172","Montpellier","2503","PREFECTURE",0,27,20,22,24,21
"91","34701","34172","Montpellier","2504","SAINT-ROCH",0,24,20,25,27,25
"91","34701","34172","Montpellier","2601","GAMBETTA",0,78,79,75,71,65
"91","34701","34172","Montpellier","2602","SAINT-DENIS",0,60,46,62,54,54
"91","34701","34172","Montpellier","2701","NOMBRE D'OR",0,21,14,20,22,19
"91","34701","34172","Montpellier","2703","MOULIN DE L'EVÊQUE",0,21,,,,
"91","34701","34172","Montpellier","2704","PLACE DE L'EUROPE",0,33,,,,
"91","34701","34172","Montpellier","2801","LA GUIRLANDE",0,50,53,42,46,42
"91","34701","34172","Montpellier","2802","CHAPTAL",0,49,44,54,58,46
"91","34701","34172","Montpellier","2901","ASSAS",0,18,33,23,30,22
"91","34701","34172","Montpellier","2902","AVENUE DE LODEVE",0,26,51,33,43,44
"91","34701","34172","Montpellier","3001","COMEDIE",0,45,33,41,58,51
