spectacle_id;Titre;Auteur;Description;Date;Heure Début;Heure Fin;lat;lng;image
513;Chuttt… Chuttt... Shut up !;Dimoné;La chanson de Dimoné, composée à l’occasion de la ZAT Méric, nous invite au silence.;25-avr;10h00;19h00;43.632037;3.891624;http://zat.montpellier.fr/thumb/9-chuttt-chuttt-shut-up.jpg/w/465
516;Cocons;labopc;Chaque matin, au lever du soleil, une performance chorégraphique surprenante à vivre au rythme de la nature. ;23-avr; 07h30;12h00;43.628449;3.890637;http://zat.montpellier.fr/thumb/9-cocons.jpg/w/465
516;Cocons;labopc;Chaque matin, au lever du soleil, une performance chorégraphique surprenante à vivre au rythme de la nature. ;24-avr;07h30;12h00;43.628449;3.890637;http://zat.montpellier.fr/thumb/9-cocons.jpg/w/465
516;Cocons;labopc;Chaque matin, au lever du soleil, une performance chorégraphique surprenante à vivre au rythme de la nature. ;25-avr;07h30;12h00;43.628449;3.890637;http://zat.montpellier.fr/thumb/9-cocons.jpg/w/465
543;"Conférence ""entre chien et loup"" : comment Méric se prépare à la nuit";Michel Valantin;Ethnobotaniste et spécialiste des jardins, Michel Valantin nous donne trois rendez-vous pendant la ZAT;23-avr; 20h00;21h00;43.631323;3.892075;http://zat.montpellier.fr/thumb/9-entre-chien-et-loup-comment-se-prepare-la-nuit-a-meric.jpg/w/465
558;Conférence et parcours ¬´‚Äâ√Ä Méric, au c≈ìur des paysages familiers de Bazille‚Äâ¬ª;Alix Audurier Cros;«À Méric, au cœur des paysages familiers de Bazille»;23-avr; 14h15;15h30;43.631323;3.892075;http://zat.montpellier.fr/thumb/9-conference-et-parcours-a-meric-au-coeur-des-paysages-familiers-de-bazille.jpg/w/465
540;Conférence sur les oiseaux de Méric;Les Chanteurs d'oiseaux;Méric est habité par de nombreux oiseaux. Johnny Rasse et Jean Boucault se feront leurs messagers au cours de plusieurs moments uniques.;25-avr;17h00;17h45;43.631323;3.892075;http://zat.montpellier.fr/thumb/9-conference-decalee.jpg/w/465
553;"Exposition du tableau ""Frédéric Bazille peint Pomone"" de Philippe Pradalié";Philippe Pradalié;Découvrez Pomone, nymphe des fruits et des jardins, peinte par Frédéric Bazille, dans un tableau de Philippe Pradalié;23-avr;10h00;19h00;43.632014;3.891624;
553;"Exposition du tableau ""Frédéric Bazille peint Pomone"" de Philippe Pradalié";Philippe Pradalié;Découvrez Pomone, nymphe des fruits et des jardins, peinte par Frédéric Bazille, dans un tableau de Philippe Pradalié;24-avr;10h00;19h00;43.632014;3.891624;
553;"Exposition du tableau ""Frédéric Bazille peint Pomone"" de Philippe Pradalié";Philippe Pradalié;Découvrez Pomone, nymphe des fruits et des jardins, peinte par Frédéric Bazille, dans un tableau de Philippe Pradalié;25-avr;10h00;19h00;43.632014;3.891624;
517;Fugue / Trampoline;Compagnie Yoann Bourgeois;"Un spectacle court et intense de Yoann Bourgeois à la recherche du ""point de suspension"".";23-avr; 09h00;09h05;43.63109;3.890895;http://zat.montpellier.fr/thumb/9-fugue-trampoline.jpg/w/465
517;Fugue / Trampoline;Compagnie Yoann Bourgeois;"Un spectacle court et intense de Yoann Bourgeois à la recherche du ""point de suspension"".";23-avr;09h45;09h50;43.63109;3.890895;http://zat.montpellier.fr/thumb/9-fugue-trampoline.jpg/w/465
517;Fugue / Trampoline;Compagnie Yoann Bourgeois;"Un spectacle court et intense de Yoann Bourgeois à la recherche du ""point de suspension"".";23-avr;12h00;12h05;43.63109;3.890895;http://zat.montpellier.fr/thumb/9-fugue-trampoline.jpg/w/465
517;Fugue / Trampoline;Compagnie Yoann Bourgeois;"Un spectacle court et intense de Yoann Bourgeois à la recherche du ""point de suspension"".";23-avr;15h15;15h20;43.63109;3.890895;http://zat.montpellier.fr/thumb/9-fugue-trampoline.jpg/w/465
517;Fugue / Trampoline;Compagnie Yoann Bourgeois;"Un spectacle court et intense de Yoann Bourgeois à la recherche du ""point de suspension"".";23-avr;17h00;17h05;43.63109;3.890895;http://zat.montpellier.fr/thumb/9-fugue-trampoline.jpg/w/465
517;Fugue / Trampoline;Compagnie Yoann Bourgeois;"Un spectacle court et intense de Yoann Bourgeois à la recherche du ""point de suspension"".";23-avr;18h00;18h05;43.63109;3.890895;http://zat.montpellier.fr/thumb/9-fugue-trampoline.jpg/w/465
517;Fugue / Trampoline;Compagnie Yoann Bourgeois;"Un spectacle court et intense de Yoann Bourgeois à la recherche du ""point de suspension"".";24-avr;09h00;09h05;43.63109;3.890895;http://zat.montpellier.fr/thumb/9-fugue-trampoline.jpg/w/465
517;Fugue / Trampoline;Compagnie Yoann Bourgeois;"Un spectacle court et intense de Yoann Bourgeois à la recherche du ""point de suspension"".";24-avr;10h00;10h05;43.63109;3.890895;http://zat.montpellier.fr/thumb/9-fugue-trampoline.jpg/w/465
517;Fugue / Trampoline;Compagnie Yoann Bourgeois;"Un spectacle court et intense de Yoann Bourgeois à la recherche du ""point de suspension"".";24-avr;12h00;12h05;43.63109;3.890895;http://zat.montpellier.fr/thumb/9-fugue-trampoline.jpg/w/465
517;Fugue / Trampoline;Compagnie Yoann Bourgeois;"Un spectacle court et intense de Yoann Bourgeois à la recherche du ""point de suspension"".";24-avr;14h30;14h35;43.63109;3.890895;http://zat.montpellier.fr/thumb/9-fugue-trampoline.jpg/w/465
517;Fugue / Trampoline;Compagnie Yoann Bourgeois;"Un spectacle court et intense de Yoann Bourgeois à la recherche du ""point de suspension"".";24-avr;16h15;16h20;43.63109;3.890895;http://zat.montpellier.fr/thumb/9-fugue-trampoline.jpg/w/465
517;Fugue / Trampoline;Compagnie Yoann Bourgeois;"Un spectacle court et intense de Yoann Bourgeois à la recherche du ""point de suspension"".";24-avr;18h45;18h50;43.63109;3.890895;http://zat.montpellier.fr/thumb/9-fugue-trampoline.jpg/w/465
532;Goûter des petits;Association Jasmin d’Orient;"Tous les jours entre 16h et 18h en bas de la prairie: gâteaux au chocolat ou aux pommes, beignets, madeleines, crêpes, pâtisseries orientales.
";23-avr; 16h00;18h00;43.628978;3.89083;http://zat.montpellier.fr/thumb/9-gouter-des-petits.jpg/w/465
532;Goûter des petits;Association Jasmin d’Orient;"Tous les jours entre 16h et 18h en bas de la prairie: gâteaux au chocolat ou aux pommes, beignets, madeleines, crêpes, pâtisseries orientales.
";24-avr;16h00;18h00;43.628978;3.89083;http://zat.montpellier.fr/thumb/9-gouter-des-petits.jpg/w/465
532;Goûter des petits;Association Jasmin d’Orient;"Tous les jours entre 16h et 18h en bas de la prairie: gâteaux au chocolat ou aux pommes, beignets, madeleines, crêpes, pâtisseries orientales.
";25-avr;16h00;18h00;43.628978;3.89083;http://zat.montpellier.fr/thumb/9-gouter-des-petits.jpg/w/465
555;Inauguration de la ZAT;;;23-avr;12h05;13h00;43.631323;3.892075;
