"Bénéficiaires des prestations légales, source CAF (2009)",,,,,,,,,,,,,,,,,,,,,,
"Données par IRIS",,,,,,,,,,,,,,,,,,,,,,
"Champ : IRIS de l'agglomération 34701-Montpellier",,,,,,,,,,,,,,,,,,,,,,
,"(Cette agglomération fait partie de la région : 91-Languedoc-Roussillon)",,,,,,,,,,,,,,,,,,,,,
"Source : Caisse Nationale d'Allocations Familiales",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"REG","uu","dc","nomc","iris","nom","note","A","PERCOU","AI","AM","ACSSENF","ACAVENF","AC3ENF","AAL","AAPL","AAAH","ARMI","AAPI","ARSA","ARSAS","APRES50","APRES100"
"Code région","Code unité urbaine (agglomération)","Code département / commune","Nom de la commune","Code IRIS","Nom de la zone","Disponibilité (voir documentation)","Nombre d’allocataires","Nombre de personnes couvertes","Nombre d’allocataires isolés","Nombre de familles monoparentales","Nombre d’allocataires en couple sans enfant","Nombre d’allocataires en couple avec enfant","dont couples avec trois enfants ou plus","Nombre d’allocataires percevant une Allocation Logement","Dont Allocation Personnalisée de Logement (Métropole)","Nombre d’allocataires percevant l’Allocation Adulte Handicapé","Nombre d’allocataires percevant le Revenu Minimum d'Insertion (DOM)","Nombre d’allocataires percevant l’Allocation de Parent Isolé (DOM)","Nombre d’allocataires percevant le Revenu de Solidarité Active (Métropole)","dont le Revenu de Solidarité Active socle (Métropole)","Nombre d’allocataires dont le revenu est constitué à plus de 50 % de prestations sociales","Nombre d’allocataires dont le revenu est constitué à 100 % de prestations sociales"
"91","34701","34172","Montpellier","0704","SOULAS",0,693,1225,444,50,61,138,20,531,5,57,,,95,70,144,90
"91","34701","34172","Montpellier","0705","CASSEYROLS",0,1552,2573,1031,161,144,216,47,1367,335,118,,,335,257,455,279
"91","34701","34172","Montpellier","0706","BEL AIR",0,183,354,93,25,28,37,7,146,34,15,,,38,30,51,31
"91","34701","34172","Montpellier","0707","LE PETIT BARD",0,1147,3266,396,121,141,489,235,936,267,91,,,338,295,460,266
"91","34701","34172","Montpellier","0801","LA PISCINE",0,647,1551,289,77,48,233,68,415,22,43,,,95,74,138,80
"91","34701","34172","Montpellier","0802","AGRICULTURE",0,943,1567,639,86,68,150,30,801,300,41,,,121,90,163,89
"91","34701","34172","Montpellier","0803","ASTRUC",0,724,1391,429,111,33,151,38,561,152,40,,,133,102,166,83
"91","34701","34172","Montpellier","0901","LES GREZES",0,594,1568,217,95,27,255,71,257,64,56,,,172,147,209,165
"91","34701","34172","Montpellier","0902","BOUISSES",0,738,1948,233,146,41,318,62,418,145,48,,,119,81,147,78
"91","34701","34172","Montpellier","1001","LA COLLINE",0,919,2234,343,207,47,322,74,654,261,56,,,204,153,241,124
"91","34701","34172","Montpellier","1002","NOTRE DAME DE LA PAIX",0,401,880,197,63,20,121,30,258,14,45,,,90,77,135,86
"91","34701","34172","Montpellier","1101","ESTANOVE",0,312,775,116,52,21,123,24,171,,17,,,61,46,67,49
"91","34701","34172","Montpellier","1102","LEPIC",0,594,1351,263,100,44,187,41,405,69,45,,,118,90,165,92
"91","34701","34172","Montpellier","1103","PARC MONTCALM",0,489,1176,184,80,35,190,26,292,50,38,,,74,55,96,54
"91","34701","34172","Montpellier","1201","SABATHE",0,787,1761,354,145,59,229,56,569,172,49,,,133,96,170,107
"91","34701","34172","Montpellier","1202","TASTAVIN",0,314,841,101,57,17,139,36,187,6,24,,,56,46,68,44
"91","34701","34172","Montpellier","1203","MAS DREVON-MAURIN",0,1269,2760,589,266,74,340,72,903,367,125,,,253,185,325,190
"91","34701","34172","Montpellier","1301","CROIX D'ARGENT",0,1380,2887,676,282,98,324,83,1072,723,201,,,262,193,377,216
"91","34701","34172","Montpellier","1302","MARQUEROSE",0,720,1944,201,183,50,286,73,481,383,49,,,137,101,180,89
"91","34701","34172","Montpellier","1303","GAROSUD",2,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","1401","BAGATELLE",0,1265,3245,410,332,75,448,118,883,613,83,,,238,166,300,161
"91","34701","34172","Montpellier","1402","PAS DU LOUP",0,631,1470,281,146,54,150,64,510,497,78,,,234,196,299,193
"91","34701","34172","Montpellier","1501","MION",0,626,1359,308,106,36,176,37,400,74,54,,,119,96,172,108
"91","34701","34172","Montpellier","1502","SAINT-MARTIN",0,802,2213,257,156,54,335,108,568,109,52,,,189,145,231,127
"91","34701","34172","Montpellier","1601","PONT TRINQUAT",0,680,1452,328,123,52,177,42,497,178,37,,,150,112,177,103
"91","34701","34172","Montpellier","1602","AIGUERELLES",0,576,1342,238,96,32,210,26,361,12,35,,,77,61,114,76
"91","34701","34172","Montpellier","1603","LA RAUZE",0,327,734,134,77,27,89,16,214,98,32,,,62,45,85,48
"91","34701","34172","Montpellier","1701","TOURNEZY",0,1059,2456,411,312,60,276,77,878,747,79,,,283,211,339,202
"91","34701","34172","Montpellier","1802","PORT MARIANNE",1,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","1803","LA LIRONDE",1,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","1804","RIVE DU LEZ",1,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","1901","EUREKA",2,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","1903","MILLÉNAIRE",1,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","1904","GRAMMONT",1,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","2001","PONT DE SETE",0,1044,1569,764,102,76,102,23,877,9,53,,,196,160,255,167
"91","34701","34172","Montpellier","2002","MEDITERRANNEE",0,978,1492,690,90,97,101,13,827,22,63,,,173,141,250,159
"91","34701","34172","Montpellier","2003","SAINT-FRANCOIS",0,1250,1993,825,173,109,143,25,1034,155,92,,,300,240,379,244
"91","34701","34172","Montpellier","2101","SALAISON",0,483,1062,223,127,26,107,34,376,337,49,,,118,97,154,89
"91","34701","34172","Montpellier","2102","POMPIGNANE",0,322,740,147,60,18,97,25,199,38,18,,,53,42,73,53
"91","34701","34172","Montpellier","2201","LES AUBES",0,393,819,208,62,20,103,20,251,77,18,,,70,50,71,46
"91","34701","34172","Montpellier","2202","RIMBAUD",0,580,1188,303,104,36,137,30,415,118,44,,,106,83,138,89
"91","34701","34172","Montpellier","2301","FAC DE PHARMACIE",0,941,1526,633,59,125,124,29,808,370,43,,,113,94,157,107
"91","34701","34172","Montpellier","2302","ECOLE NORMALE",0,1163,1648,918,48,85,112,20,973,241,42,,,128,110,203,135
"91","34701","34172","Montpellier","2303","BOUTONNET",3,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","2304","SAINTE-ODILE",0,738,1104,551,42,53,92,16,627,,16,,,68,45,96,53
"91","34701","34172","Montpellier","2305","ARCHIVES DEPARTEMENTAL",0,1040,1558,776,91,66,107,23,893,174,51,,,142,106,209,125
"91","34701","34172","Montpellier","2401","NAZARETH",0,898,1606,586,82,45,185,33,680,53,46,,,108,81,154,98
"91","34701","34172","Montpellier","2402","BEAUX ARTS",0,769,1373,467,136,44,122,25,602,214,43,,,138,116,182,114
"91","34701","34172","Montpellier","2403","VERDANSON",0,1240,1759,937,76,120,107,18,1082,54,67,,,179,143,270,188
"91","34701","34172","Montpellier","2501","PEYROU",0,782,1110,610,39,53,80,13,655,68,35,,,123,108,161,107
"91","34701","34172","Montpellier","2502","URSULINES",0,1346,1701,1102,72,127,45,9,1266,73,64,,,222,186,290,197
"91","34701","34172","Montpellier","2503","PREFECTURE",0,1019,1436,793,72,76,78,18,893,9,29,,,155,132,206,130
"91","34701","34172","Montpellier","2504","SAINT-ROCH",0,1094,1514,844,76,95,79,13,973,13,49,,,195,150,256,164
"91","34701","34172","Montpellier","2601","GAMBETTA",0,2157,3266,1539,220,187,211,36,1381,50,162,,,831,754,956,734
"91","34701","34172","Montpellier","2602","SAINT-DENIS",0,1309,2162,866,138,126,179,40,1080,8,73,,,274,211,345,227
"91","34701","34172","Montpellier","2701","NOMBRE D'OR",0,708,1176,480,87,50,91,24,585,153,73,,,88,65,148,91
"91","34701","34172","Montpellier","2703","MOULIN DE L'EVÊQUE",1,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","2704","PLACE DE L'EUROPE",1,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","2801","LA GUIRLANDE",0,1023,1956,536,271,72,144,33,790,520,186,,,354,320,537,401
"91","34701","34172","Montpellier","2802","CHAPTAL",0,902,1725,480,134,108,180,25,680,39,78,,,229,179,279,172
"91","34701","34172","Montpellier","2901","ASSAS",0,454,987,232,60,28,134,36,293,19,24,,,63,51,73,37
"91","34701","34172","Montpellier","2902","AVENUE DE LODEVE",0,959,1479,696,60,85,118,28,824,173,55,,,134,100,183,122
"91","34701","34172","Montpellier","3001","COMEDIE",0,1745,2414,1372,116,131,126,21,1510,99,72,,,255,209,378,233
