"Données localisées sur l'emploi au lieu de travail (2008)",,,,,,,,
"Données par IRIS",,,,,,,,
"Champ : IRIS de l'agglomération 34701-Montpellier",,,,,,,,
,"(Cette agglomération fait partie de la région : 91-Languedoc-Roussillon)",,,,,,,
"Source : Insee-CLAP",,,,,,,,
,,,,,,,,
"REG","uu","dc","nomc","iris","nom","note","STCLAPI","SMCLAPI"
"Code région","Code unité urbaine (agglomération)","Code département / commune","Nom de la commune","Code IRIS","Nom de la zone","Disponibilité (voir documentation)","Nombre total de postes salariés (à l'IRIS)","Nombre total de postes salariés du secteur marchand (à l'IRIS)"
"91","34701","34172","Montpellier","2201","LES AUBES",0,84,63
"91","34701","34172","Montpellier","2202","RIMBAUD",0,132,55
"91","34701","34172","Montpellier","2301","FAC DE PHARMACIE",0,886,277
"91","34701","34172","Montpellier","2302","ECOLE NORMALE",0,1390,666
"91","34701","34172","Montpellier","2303","BOUTONNET",0,301,119
"91","34701","34172","Montpellier","2304","SAINTE-ODILE",0,285,120
"91","34701","34172","Montpellier","2305","ARCHIVES DEPARTEMENTAL",0,640,397
"91","34701","34172","Montpellier","2401","NAZARETH",0,956,416
"91","34701","34172","Montpellier","2402","BEAUX ARTS",0,611,327
"91","34701","34172","Montpellier","2403","VERDANSON",0,759,429
"91","34701","34172","Montpellier","2501","PEYROU",0,1358,454
"91","34701","34172","Montpellier","2502","URSULINES",0,2246,166
"91","34701","34172","Montpellier","2503","PREFECTURE",0,2188,1230
"91","34701","34172","Montpellier","2504","SAINT-ROCH",0,529,477
"91","34701","34172","Montpellier","2601","GAMBETTA",0,2443,768
"91","34701","34172","Montpellier","2602","SAINT-DENIS",0,2907,1997
"91","34701","34172","Montpellier","2701","NOMBRE D'OR",0,9664,2578
"91","34701","34172","Montpellier","2703","MOULIN DE L'EVÊQUE",1,,
"91","34701","34172","Montpellier","2704","PLACE DE L'EUROPE",1,,
"91","34701","34172","Montpellier","2801","LA GUIRLANDE",0,229,46
"91","34701","34172","Montpellier","2802","CHAPTAL",0,3912,806
"91","34701","34172","Montpellier","2901","ASSAS",0,534,450
"91","34701","34172","Montpellier","2902","AVENUE DE LODEVE",0,302,178
"91","34701","34172","Montpellier","3001","COMEDIE",0,5193,4341
