"OBJECTID","NOMOBJ","NUMOBJ","MARQUE","SUPPORT","DIM","CDCOM","BISTER","CDRUE","NORUE","METRAGE","QUART","SSQUART","CANTON","OBSERV","Coord_x","Coord_y"
70,"P.A.L","259,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1511,00000000000","712,00000000000","0,00000000000","4","12","6",,"3,87612378514387","43,5968357760258"
71,"P.A.L","260,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1511,00000000000","712,00000000000","0,00000000000","4","12","6",,"3,87591799037312","43,5968207239888"
72,"P.A.L","263,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"2139,00000000000","130,00000000000","0,00000000000","4","12","6",,"3,87282035720235","43,5985462438127"
73,"P.A.L","262,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"2139,00000000000","130,00000000000","0,00000000000","4","12","6",,"3,87268335668332","43,5986181195003"
74,"P.A.L","264,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"2139,00000000000","130,00000000000","0,00000000000","4","12","6",,"3,87270597331904","43,5986047339072"
75,"P.A.L","311,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1242,00000000000","0,00000000000","0,00000000000","4","11","7",,"3,89887421268601","43,6092679950956"
78,"P.A.L","269,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1242,00000000000","0,00000000000","0,00000000000","4","11","7",,"3,89913872827395","43,603151463894"
79,"P.A.L","266,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1242,00000000000","0,00000000000","0,00000000000","4","11","7",,"3,87234438180362","43,5881868062541"
80,"P.A.L","310,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1242,00000000000","0,00000000000","0,00000000000","4","11","7",,"3,85572828795793","43,6313811101244"
81,"P.A.L","313,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1143,00000000000","31,00000000000","0,00000000000","7","29","1",,"3,87217405526131","43,6032926474424"
83,"P.A.L","235,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1854,00000000000","0,00000000000","0,00000000000","5","15","5",,"3,88415278619057","43,5955299120819"
84,"P.A.L","241,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1360,00000000000","21,00000000000","0,00000000000","5","15","5",,"3,88212508794005","43,5985525875944"
86,"P.A.L","238,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1640,00000000000","0,00000000000","0,00000000000","5","15","5",,"3,88654301688627","43,5972334316227"
87,"P.A.L","239,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1640,00000000000","0,00000000000","0,00000000000","5","15","5",,"3,88670914133186","43,5972765611607"
88,"P.A.L","236,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1784,00000000000","460,00000000000","0,00000000000","5","16","5",,"3,88977281065053","43,5988766664228"
89,"P.A.L","237,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1784,00000000000","465,00000000000","0,00000000000","5","16","5",,"3,88991251176991","43,5989299514758"
90,"P.A.L","7,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1133,00000000000","19,00000000000","0,00000000000","7","30","4",,"3,88094288935207","43,603748378963"
91,"P.A.L","8,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"431,00000000000","7,00000000000","0,00000000000","7","30","4",,"3,88143343225658","43,6038586205705"
92,"P.A.L","278,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1640,00000000000","4,00000000000","0,00000000000","5","15","4",,"3,88476036853924","43,6030995558657"
95,"P.A.L","333,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"806,00000000000","314,00000000000","0,00000000000","3","10","8",,"3,84201711315102","43,6058437733792"
97,"P.A.L","329,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1525,00000000000","30,00000000000","0,00000000000","3","10","8",,"3,8463334330151","43,6057612064447"
104,"P.A.L","314,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1012,00000000000","68,00000000000","0,00000000000","7","28","7",,"3,86430786325127","43,6064332618055"
105,"P.A.L","315,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1012,00000000000","57,00000000000","0,00000000000","7","28","7",,"3,86447850511654","43,6063900500582"
108,"P.A.L","385,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1676,00000000000","0,00000000000","0,00000000000","3","7","7","ANGLE RUE CANTE GRIL","3,84784854295301","43,6189045966985"
109,"P.A.L","387,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1817,00000000000","969,00000000000","0,00000000000","3","7","7",,"3,84538585187448","43,6223460110671"
110,"P.A.L","384,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1676,00000000000","527,00000000000","0,00000000000","03","07","09",,"3,85082777671795","43,6199484406977"
111,"P.A.L","394,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"511,00000000000","60,00000000000","0,00000000000","7","22","10",,"3,86247669040559","43,6162655450651"
113,"P.A.L","395,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1407,00000000000","5,00000000000","0,00000000000","7","22","10",,"3,8632863943418","43,6163478761695"
114,"P.A.L","391,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1219,00000000000","0,00000000000","0,00000000000","3","7","10",,"3,85774502144307","43,6205785427013"
115,"P.A.L","390,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1699,00000000000","0,00000000000","0,00000000000","1","2","10",,"3,86211263661376","43,6236839235529"
118,"P.A.L","285,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"962,00000000000","2,00000000000","0,00000000000","7","25","10",,"3,8144091147108","43,641851437243"
121,"P.A.L","31,00000000000","MATRIX","MUR","120 X 160","34172,00000000000",,"2130,00000000000","0,00000000000","0,00000000000","7","25","1",,"3,87374895933899","43,609232621681"
123,"P.A.L","22,00000000000","MATRIX","POTEAUX IPN","120 X 160","34172,00000000000",,"934,00000000000","7,00000000000","0,00000000000","7","25","1",,"3,87637419159979","43,6137383511282"
124,"P.A.L","23,00000000000","MATRIX","POTEAUX IPN","120 X 160","34172,00000000000",,"934,00000000000","7,00000000000","0,00000000000","7","25","1",,"3,87522443356056","43,6138778120708"
125,"P.A.L","9,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1531,00000000000","0,00000000000","0,00000000000","7","26","1",,"3,88435956829681","43,607725521259"
126,"P.A.L","5,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1515,00000000000","47,00000000000","0,00000000000","7","30","4",,"3,88602154248259","43,6048798402923"
127,"P.A.L","4,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"2037,00000000000","5,00000000000","0,00000000000","7","30","4",,"3,88631599509919","43,6048449372488"
128,"P.A.L","223,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1008,00000000000","85,00000000000","0,00000000000","7","27","4",,"3,83994157464952","43,6045958887942"
130,"P.A.L","2,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1607,00000000000","140,00000000000","0,00000000000","7","27","3",,"3,88863796688285","43,6070882184005"
131,"P.A.L","10,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"555,00000000000","0,00000000000","0,00000000000","7","26","3",,"3,88609903660811","43,6089103656148"
133,"P.A.L","45,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"519,00000000000","300,00000000000","0,00000000000","7","22","2",,"3,87044094023989","43,6164229400259"
134,"P.A.L","46,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"519,00000000000","300,00000000000","0,00000000000","7","22","2",,"3,8703524308243","43,6164535951787"
135,"P.A.L","27,00000000000","MATRIX","POTEAUX IPN","120 X 160","34172,00000000000",,"686,00000000000","16,00000000000","0,00000000000","7","25","1",,"3,87419343133734","43,6140061456475"
141,"P.A.L","83,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"619,00000000000","12,00000000000","0,00000000000","7","22","2",,"3,83674550680912","43,6086155310027"
144,"P.A.L","47,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"1440,00000000000","0,00000000000","0,00000000000","7","22","2",,"3,86978595833981","43,6193757787083"
145,"P.A.L","48,00000000000","MATRIX","POTEAUX IPN","240 X160","34172,00000000000",,"935,00000000000","8,00000000000","0,00000000000","7","22","2",,"3,86808443089569","43,6206410016766"
147,"P.A.L","133,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1815,00000000000","0,00000000000","0,00000000000","6","18","4",,"3,88340032413086","43,6145697920362"
148,"P.A.L","131,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1815,00000000000","0,00000000000","0,00000000000","6","18","4",,"3,88353103983553","43,6144996306259"
149,"P.A.L","132,00000000000","MATRIX","MUR","240 X160","34172,00000000000",,"1815,00000000000","0,00000000000","0,00000000000","6","18","4",,"3,88346370205948","43,6145361433272"
