MAPINFO_ID,dossier,aire_de_jeux,nom_aire,Total,_1_à_4_ans,_1_à_5_ans,_1_à_6_ans,_10_à_15_ans,_14_et_plus,_2_à_10_ans,_2_à_12_ans,_2_à_15__ans,_2_à_4_ans,_2_à_5_ans,_2_à_6_ans,_2_à_7_ans,_2_à_8_ans,_3_à_12_ans,_3_à_15__ans,_3_à_6_ans,_3_à_7_ans,_3_à_8_ans,_3_à_9_ans,_4_à_10_ans,_4_à_12_ans,_4_à_15__ans,_4_à_6_ans,_4_à_8_ans,_5_à_12_ans,_5_à_15__ans,_5_à_8_ans,_6_à_12_ans,_6_à_14_ans,_6_à_15__ans,_7_à_14_ans,Longitude,Latitude
31,115,46,Parc de la Croix d'Argent,6,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,864464","43,587354"
32,289,48,Square Mas Drevon,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,"3,869214","43,592114"
33,19,50,Aire du Champ de Mars (Espla),10,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"3,881593","43,611111"
34,19,51,Aire du Champ de Mars (Joffre),2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"3,882739","43,61087"
35,28,52,Square Planchon,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,879774","43,605784"
36,20,53,Aire des Pastourelles,8,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,"3,899728","43,620918"
37,23,54,Jardin de la Pépinière,7,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,884811","43,595782"
38,31,56,Aire Mail Saint Martin,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"3,883906","43,593957"
39,141,57,Place de Tibériade,8,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,878003","43,580993"
40,30,58,Aire Saint Martin (Evéché),4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,884915","43,592024"
41,305,60,Parc du Bois de la Chaumière,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,929576","43,615376"
42,200,61,Square Jean Monnet,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,"3,889402","43,604025"
43,474,66,Place de Marathon,9,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,"3,888689","43,607814"
44,52,68,Les Brusses,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,859202","43,633587"
45,56,72,Les Clolus 2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"3,880109","43,628452"
46,149,77,Aire du Mas de Perrette,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,839374","43,598014"
47,725,83,Aire de jeux de Costebelle,5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,902673","43,610336"
48,530,84,Aire de jeux du Mas Méric,6,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"3,891411","43,631572"
49,626,92,Aire de jeux de la Carriera,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"3,817663","43,641353"
50,724,93,Aire Ferdinand de Lesseps,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,878612","43,593324"
51,954,94,Esplanade de la musique Est,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"3,88328","43,617387"
52,773,95,Aire de jeux du Père Louis,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,896778","43,610071"
53,25,96,Aire de Saint-Roch,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,876122","43,60878"
54,774,97,Aire square Molière,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,854956","43,591951"
55,458,99,Aire de jeux Dr Fourcade,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,894641","43,589108"
56,756,100,Aire du square d'Arsonval,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"3,864203","43,594781"
57,562,105,Square Bernard Chely,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,856563","43,597408"
58,51,106,Marcel Pagnol,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,850178","43,601334"
59,853,107,Square André Vedel,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,913293","43,615623"
60,643,108,Place Mansart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"3,826038","43,613626"
61,575,109,Aire Fabre de Morlhon,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3,877931","43,594242"
62,857,110,Mas de Neuville,9,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,"3,841283","43,626368"
63,538,111,Aire Aiguelongue haute,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,87374","43,629918"
64,894,112,Place de l'Aiguelongue,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,880922","43,628054"
65,178,113,Cité Astruc,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,"3,852129","43,611301"
66,626,114,Square la Carriera extension,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"3,817663","43,641353"
67,956,116,ACM Les Aiguerelles,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"3,885534","43,601675"
68,842,118,Aire des Cétoines,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,873845","43,628158"
69,932,119,ACM Aiguelongue I,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,881088","43,627869"
70,933,120,ACM Aiguelongue II,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"3,878998","43,629881"
71,958,121,Aire Alexender Bell,9,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,"3,906837","43,611517"
72,836,122,Parc Georges Clemenceau,8,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"3,871913","43,603952"
73,959,123,ACM Maurin,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,875289","43,592167"
74,659,124,Aire Parc Richter,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,"3,897831","43,604804"
75,965,125,Dioscoride,5,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"3,831812","43,613143"
