"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"AGATHOIS            ","Rue de l'Agathois                                               ",1,99999,"I","Ecole Maternelle Virginia WOOLF                             "
"AGATHOIS            ","Rue de l'Agathois                                               ",2,99998,"P","Ecole Maternelle Virginia WOOLF                             "
"AGAVE               ","Allée de l'agave                                                ",2,99998,"P","Ecole Maternelle Marguerite YOURCENAR                       "
"AGAVE               ","Allée de l'agave                                                ",1,99999,"I","Ecole Maternelle Marguerite YOURCENAR                       "
"AGDAL               ","Rue de l'Agdal                                                  ",1,99999,"I","Ecole Maternelle Marguerite YOURCENAR                       "
"AGDAL               ","Rue de l'Agdal                                                  ",2,99998,"P","Ecole Maternelle Marguerite YOURCENAR                       "
"AGDE                ","Rue du Plan d'Agde                                              ",1,99999,"I","Ecole Maternelle PASTEUR                                    "
"AGDE                ","Rue du Plan d'Agde                                              ",2,99998,"P","Ecole Maternelle PASTEUR                                    "
"AGENAIS             ","Rue de l'Agenais                                                ",1,99999,"I","Ecole Maternelle Virginia WOOLF                             "
"AGENAIS             ","Rue de l'Agenais                                                ",2,99998,"P","Ecole Maternelle Virginia WOOLF                             "
"AGRICULTURE         ","Avenue de l'Ecole d'Agriculture-Gabriel Buchet                  ",1,11,"I","Ecole Maternelle CHAPTAL                                    "
"AGRICULTURE         ","Avenue de l'Ecole d'Agriculture-Gabriel Buchet                  ",13,37,"I","Ecole Maternelle GOETHE                                     "
"AGRICULTURE         ","Avenue de l'Ecole d'Agriculture-Gabriel Buchet                  ",39,99999,"I","Ecole Maternelle Rudyard  KIPLING                           "
"AGRICULTURE         ","Avenue de l'Ecole d'Agriculture-Gabriel Buchet                  ",2,34,"P","Ecole Maternelle CHAPTAL                                    "
"AGRICULTURE         ","Avenue de l'Ecole d'Agriculture-Gabriel Buchet                  ",36,99998,"P","Ecole Maternelle MOZART                                     "
"AGROPOLIS           ","Avenue Agropolis                                                ",1,99999,"I","Ecole Maternelle TERESA                                     "
"AGROPOLIS           ","Avenue Agropolis                                                ",2,99998,"P","Ecole Maternelle TERESA                                     "
"AGUESSEAU           ","Place d'Aguesseau                                               ",1,99999,"I","Ecole Maternelle Vasco de GAMA                              "
"AGUESSEAU           ","Place d'Aguesseau                                               ",2,99998,"P","Ecole Maternelle Vasco de GAMA                              "
"AIGLON              ","Rue de l'Aiglon                                                 ",1,99999,"I","Ecole Maternelle Luis de CAMOENS                            "
"AIGLON              ","Rue de l'Aiglon                                                 ",2,99998,"P","Ecole Maternelle Luis de CAMOENS                            "
"AIGOUAL             ","Rue de l'Aigoual                                                ",1,99999,"I","Ecole Maternelle Agrippa d'AUBIGNE                          "
"AIGOUAL             ","Rue de l'Aigoual                                                ",2,99998,"P","Ecole Maternelle Agrippa d'AUBIGNE                          "
"AIGREFEUILLE        ","Rue d'Aigrefeuille                                              ",1,99999,"I","Ecole Maternelle Jean-Jacques ROUSSEAU                      "
"AIGREFEUILLE        ","Rue d'Aigrefeuille                                              ",2,99998,"P","Ecole Maternelle Jean-Jacques ROUSSEAU                      "
"AIGRETTES           ","Rue des Aigrettes                                               ",1,99999,"I","Ecole Maternelle Ingrid BERGMAN                             "
"AIGRETTES           ","Rue des Aigrettes                                               ",2,99998,"P","Ecole Maternelle Ingrid BERGMAN                             "
"AIGUELONGUE         ","Rue de l'Aiguelongue                                            ",247,99999,"I","Ecole Maternelle TERESA                                     "
"AIGUELONGUE         ","Rue de l'Aiguelongue                                            ",248,99998,"P","Ecole Maternelle TERESA                                     "
"AIGUELONGUE         ","Rue de l'Aiguelongue                                            ",1,245,"I","Ecole Maternelle Charlie CHAPLIN                            "
"AIGUELONGUE         ","Rue de l'Aiguelongue                                            ",2,246,"P","Ecole Maternelle Charlie CHAPLIN                            "
"AIGUERELLES         ","Rue des Aiguerelles                                             ",1,99999,"I","Ecole Maternelle Louis FIGUIER                              "
"AIGUERELLES         ","Rue des Aiguerelles                                             ",2,99998,"P","Ecole Maternelle Louis FIGUIER                              "
"AIGUILLERIE         ","Rue de l'Aiguillerie                                            ",1,99999,"I","Ecole Maternelle Jean-Jacques ROUSSEAU                      "
"AIGUILLERIE         ","Rue de l'Aiguillerie                                            ",2,99998,"P","Ecole Maternelle Jean-Jacques ROUSSEAU                      "
"AIGUILLERIE VIEILLE ","Rue Vieille Aiguillerie                                         ",1,99999,"I","Ecole Maternelle LA FONTAINE                                "
"AIGUILLERIE VIEILLE ","Rue Vieille Aiguillerie                                         ",2,99998,"P","Ecole Maternelle LA FONTAINE                                "
