Revenus fiscaux (2009);;;;;;;;;;;;;;;;;;;;;;;
Données par IRIS;;;;;;;;;;;;;;;;;;;;;;;
Champ : IRIS de l'agglomération 34701-Montpellier;;;;;;;;;;;;;;;;;;;;;;;
;(Cette agglomération fait partie de la région : 91-Languedoc-Roussillon);;;;;;;;;;;;;;;;;;;;;;
Source : Direction Générale des Impots, traitement Insee;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
REG;uu;dc;nomc;iris;nom;note;NbMen;NbPers;NbUC;RFMQ1;RFMQ2;RFMQ3;RFMD1;RFMD9;RFMMO;RFUCQ1;RFUCQ2;RFUCQ3;RFUCD1;RFUCD9;RFUCMO;PtSa;NbMenNI
Code région;Code unité urbaine (agglomération);Code département / commune;Nom de la commune;Code IRIS;Nom de la zone;Disponibilité (voir documentation);Ménages fiscaux ;Personnes dans les  ménages fiscaux ;Unités de consommation;revenu par ménage: premier quartile;revenu par ménage: médiane ;revenu par ménage: dernier quartile;revenu par ménage: premier décile;revenu par ménage: dernier décile;revenu par ménage: moyenne ;revenu par UC: premier quartile;revenu par UC: médiane ;revenu par UC: dernier quartile;revenu par UC: premier décile;revenu par UC: dernier décile;revenu par UC: moyenne ;part traitements et salaires ;Ménages non imposables
91;34701;34172;Montpellier;0203;MERIC;0;1495;2929,5;2139,7;17443;30896;52859;9204;80250;40729,29;15709;24523;36123;8806;51651;28909,71;59,77;480
91;34701;34172;Montpellier;0204;JUSTICE;0;2091;3904,5;2877,4;11066;19698;32526;3660;51131;25367,75;7707;15251;24307;2401;34641;18128,59;66,68;963
91;34701;34172;Montpellier;0301;AGROPOLIS;0;819;1561,5;1153;13936;25650;43961;6438;74262;35905,64;13439;21917;33489;7250;49311;26424,48;64,34;287
91;34701;34172;Montpellier;0401;BLAYAC;0;1047;3169,5;1945,8;9875;17062;27092;2134;37389;20185,9;4147;7731;13893;757;20207;9986,16;64,91;675
91;34701;34172;Montpellier;0402;BOLOGNE;0;709;2045;1276,8;7515;14651;21920;649;31036;16228,26;3629;6932;12006;312;17089;8391;62,78;518
91;34701;34172;Montpellier;0403;OXFORD;0;1019;3251,5;1961,2;6147;14401;21823;0;32326;15523,7;2868;6745;10803;0;15625;7576,27;68,88;758
91;34701;34172;Montpellier;0404;LE MAIL SUD;0;767;2636;1560,7;5570;13293;21172;3;31545;15282,11;2876;5946;9870;51;14421;7018,69;71,74;587
91;34701;34172;Montpellier;0405;LE MAIL NORD;0;871;2849,5;1704;3178;10919;18662;0;26258;12425,1;2021;5189;8387;0;12720;5987,08;71,71;709
91;34701;34172;Montpellier;0501;LES GARRIGUES;0;1398;4401;2663,2;9992;18138;28688;2375;42361;21298,18;4321;8406;14511;1207;21573;10406,81;67,4;872
91;34701;34172;Montpellier;0502;LES GEMEAUX;0;1031;3229;1967;8745;18161;30623;840;45516;22299,46;4058;8530;15479;422;23844;10899,27;66,33;623
91;34701;34172;Montpellier;0503;LES TOURS;2;784;2390;1464,7;8030;17862;32245,5;;;;4169;8921,5;17425;;;;71,68;
91;34701;34172;Montpellier;0602;CELLENEUVE;4;1090;2234;1575;10503;18286;28392;2550;41011;21073,44;5962;12425;19456;1659;26511;13884,67;75,38;566
91;34701;34172;Montpellier;0603;LA FONTAINE;4;1114;2166;1564,5;13975;22765,5;34045;7005;46350;25685,05;10287;16778;24311;4967;30762;17723,22;71,28;457
91;34701;34172;Montpellier;0701;LES TONNELLES;0;1014;1988,5;1436,6;11551;20700;33566;3050;47659;24530,16;7696;14698;22983;2665;32086;16750,97;54,21;498
91;34701;34172;Montpellier;0702;PILORY;0;1365;3065,5;2095,6;9516;17261;29218;1683;43608;21782,92;5075;10341;18080;1232;27956;13448,36;60,86;798
91;34701;34172;Montpellier;0703;ALCO;0;1786;4125,5;2779,8;10801;19082,5;31239;4245;45753;23409,64;4531;10424;19820;1473;28832;13811,43;69,04;909
91;34701;34172;Montpellier;0704;SOULAS;0;1118;2191,5;1597,5;12302;25174;44098;5241;71174;32435,79;13079;20809;31515;5056;42000;23272,4;66,12;445
91;34701;34172;Montpellier;0705;CASSEYROLS;0;1881;3332;2502;7739;16026;25480;944;39048;19506,24;5832,5;12471;19942;1165;28909;14492,47;72,28;1036
91;34701;34172;Montpellier;0706;BEL AIR;2;341;598,5;452,6;13730;20583;31032;;;;9027;15918;23197;;;;78,08;
91;34701;34172;Montpellier;0707;LE PETIT BARD;0;1108;3773,5;2254;6513;13535,5;21523,5;716;31902;15781,92;3113;6114;9328;532;14410;7233,04;79,04;830
91;34701;34172;Montpellier;0801;LA PISCINE;0;1491;3038;2171,4;16110;26932;41238;8231;60894;32141,66;12742,5;19029;27433,5;6341;38129;21771,23;62,76;549
91;34701;34172;Montpellier;0802;AGRICULTURE;0;1149;2066;1552,9;14408;22756;35454;5673;53094;28277,75;10925;18524;26668;5499;37056;20823,71;60,12;449
91;34701;34172;Montpellier;0803;ASTRUC;0;1193;2390;1718,9;13414;23224;41552;5844;64131;31419,59;10085;17365;28870;3940;43732;21572,98;54,34;520
91;34701;34172;Montpellier;0901;LES GREZES;0;1037;2640,5;1754,1;19732;36633;54385;8886;78309;43790,36;14029;21811;30528;7725;43784;25797,51;60,79;338
91;34701;34172;Montpellier;0902;BOUISSES;0;1834;4262,5;2909,2;18964;31017,5;47046;11137;66514;36811,46;13732;20293;29036;7231;39380;22870,32;65,92;583
91;34701;34172;Montpellier;1001;LA COLLINE;0;1899;4106,5;2859,8;15217;23685;39170;6697;58013;29895,37;9270;16635;25445;4458;36950;19319,13;61,18;797
91;34701;34172;Montpellier;1002;NOTRE DAME DE LA PAIX;0;1015;2146,5;1526,6;15211;28274;45656;6568;69922;34476,24;12304;20198;29802;5829;41314;22787,06;51,36;389
91;34701;34172;Montpellier;1101;ESTANOVE;0;1072;2107;1537;19605;30922;45866,5;11830;66248;36772,81;16035;22741;31803;10109;43294;25612,47;53,03;331
91;34701;34172;Montpellier;1102;LEPIC;0;1404;2763;1998,9;15346,5;25052,5;41108,5;7102;58997;30999,18;11497;18832;27763;4870;38597;21181,69;52,5;538
91;34701;34172;Montpellier;1103;PARC MONTCALM;0;1245;2488;1791,4;17038;26387;39045;9992;51836;29738,97;12942;18896;26173;7960;33735;20344,54;65,39;480
91;34701;34172;Montpellier;1201;SABATHE;0;1638;3247,5;2338,7;15150;23445,5;35108;8830;48897;27550,7;10745;16596;24132;4660;32211;18628,23;55,54;720
91;34701;34172;Montpellier;1202;TASTAVIN;0;897;1826;1305;15920;24485;34592;9900;45897;26705,38;10940,5;17233;23179;4829;29370;17619,1;52;393
91;34701;34172;Montpellier;1203;MAS DREVON-MAURIN;0;2845;5602;4063;14572;22082;33095;7653;46507;25360,61;10264;16283;22781;5219;30036;17335,77;59,18;1315
91;34701;34172;Montpellier;1301;CROIX D'ARGENT;0;2428;4947,5;3526,4;13455;20810,5;33311;7134;48123;25483,51;9518;15494;22271;4405;29933;17147,8;66,66;1116
91;34701;34172;Montpellier;1302;MARQUEROSE;0;1270;3085;2057,3;15757;25050,5;39891;7799;61187;31550,79;9647;16621;24533;4556,5;34610;19120,29;74,51;513
91;34701;34172;Montpellier;1303;GAROSUD;2;223;578;381,7;21896;35599;55723;;;;16421;21403;30212;;;;61,39;
91;34701;34172;Montpellier;1401;BAGATELLE;0;2172;5105,5;3413,1;15174,5;22715;35316;8319;48658;26525,7;8692;14764;21519;4559;28445;16169,35;81,04;946
91;34701;34172;Montpellier;1402;PAS DU LOUP;0;664;1759,5;1132;5316,5;12285;20038,5;0;30672;14425,37;2140;6906;11785;0;16518;7887,18;65,25;491
91;34701;34172;Montpellier;1501;MION;0;1380;2850,5;2029,1;15485;26161,5;42172;7285;62642;33724,29;11459;18803;28223;4976;40217;22838,7;52,95;574
91;34701;34172;Montpellier;1502;SAINT-MARTIN;0;1664;3875,5;2612,7;13512,5;21430,5;31922;6337;44884;24498,58;6823;13229;20354;2587;27627;14692,35;62,48;866
91;34701;34172;Montpellier;1601;PONT TRINQUAT;0;1354;2716;1955,8;13909;22164;34591;6842;50497;26482,34;9403;16346;23827,5;4066;32809;17925,16;59,13;619
91;34701;34172;Montpellier;1602;AIGUERELLES;0;1456;2967;2124,5;16915,5;27474;42035;9297;60423;32612,94;13193;20066,5;28311;7316;37700;22237,55;59,67;527
91;34701;34172;Montpellier;1603;LA RAUZE;0;680;1541,5;1068,8;16018;25529;42722;8711,5;58850,5;31259,83;10897;18170;26142;6375;33918;19582,28;67,17;265
91;34701;34172;Montpellier;1701;TOURNEZY;0;1468;3210;2186,5;11662;17758;25608;4377;35586;19686,17;7168;11998;17332;2499;22056;12631,6;85,14;761
91;34701;34172;Montpellier;1802;PORT MARIANNE;4;2175;3620;2797,4;11570;19011;29562;4260;43302;22538,25;9036;15854;23301;3175;31803;17223,19;75,97;923
91;34701;34172;Montpellier;1803;LA LIRONDE;4;1501;2564;1969,9;12382;20791;33214;5340;51537;28134,75;10820;17709;25808;5211;37598;21640,35;72,14;596
91;34701;34172;Montpellier;1804;RIVE DU LEZ;4;2047;3960,5;2869,3;16655;25749;40784;;;;12413;19121;28332;;;;74,6;
91;34701;34172;Montpellier;1901;EUREKA;4;;;;;;;;;;;;;;;;;
91;34701;34172;Montpellier;1903;MILLÉNAIRE;4;916;1757,5;1288,9;17597,5;27366;42316;10906;59858;32359,14;14363;20359;28744;8960;39925;22834,76;71,48;272
91;34701;34172;Montpellier;1904;GRAMMONT;4;1103;2420;1659,6;13127;23140;38229;2160;55401;29265,66;6424;16447;25354;1;35791;18773,23;83,21;469
91;34701;34172;Montpellier;2001;PONT DE SETE;0;1179;2012,5;1548,6;9326;18576;34864;1943;60972;28046,92;8248;16704;27608;2361;42394;21612,5;59,25;565
91;34701;34172;Montpellier;2002;MEDITERRANNEE;0;1418;2313;1816,1;10924;19334,5;33224;4122;52252;26241,08;9615;17149;26033;3143;38264;20451,16;61,76;621
91;34701;34172;Montpellier;2003;SAINT-FRANCOIS;0;1561;2622,5;2022,8;7877;16237;27822;1930;44357;20987,27;7199;13479;22235;1846;32239;16163,99;69,59;845
91;34701;34172;Montpellier;2101;SALAISON;0;781;1739;1196,7;11388;18591;29741;3127;42149;21716,77;7150;12753,5;18835;2293;25946;13654,23;73,49;412
91;34701;34172;Montpellier;2102;POMPIGNANE;0;905;1901,5;1358,1;18403;31242;48085;10234;69268;39685,9;14214;22423;31242;7626;45843;26287,92;51,41;292
91;34701;34172;Montpellier;2201;LES AUBES;0;950;1910;1381,7;15910;24307;38320;8509,5;59138,5;30800,2;12511;18984;26908;5981;35340,5;21179,38;57,79;375
91;34701;34172;Montpellier;2202;RIMBAUD;0;1107;2226,5;1605,3;13407;22047;36589;5757;57830;28552,32;9779;16928;26005;3935;37198;19523,36;57,32;510
91;34701;34172;Montpellier;2301;FAC DE PHARMACIE;0;1050;2033,5;1481,5;16211;27334;45032;7397,5;65666;34716,85;12802;21361;31114;6334;45651;24688,96;58,78;380
91;34701;34172;Montpellier;2302;ECOLE NORMALE;0;1105;1985;1499,1;13677;24935;43401;6333;71747;35288,51;12302;21705;32655;5630;49318;26530,28;58,28;419
91;34701;34172;Montpellier;2303;BOUTONNET;0;653;1327;940,9;12378;22755;37958;4904;61290;30518,89;9995;17576;27043;3547;43282;21271,85;67,17;288
91;34701;34172;Montpellier;2304;SAINTE-ODILE;0;1307;2108;1671,2;15986;27082;42211;7200;62833;32042,04;15634,5;23219;33126;7623;44062;25379,71;55,22;425
91;34701;34172;Montpellier;2305;ARCHIVES DEPARTEMENTAL;0;1169;1982,5;1524,9;10385;19797;35366;3381;65280;29353,04;9786;17170;29793;3745;46412;22998,79;61,23;524
91;34701;34172;Montpellier;2401;NAZARETH;0;1910;3395;2565;16210;27036,5;45888;7547,5;67768,5;34686,51;14302;22308;33442;6927;47615;25975,7;57,11;647
91;34701;34172;Montpellier;2402;BEAUX ARTS;0;1322;2308,5;1753,9;12549;21025;35245;5454;53203;27372,81;10526;17981;26936;5137;39032;20899,53;68,11;563
91;34701;34172;Montpellier;2403;VERDANSON;0;1392;2280;1782,7;9340;18733,5;33352,5;2853;54680;25357,8;9197;17072,5;26984;2648;37912;20194,94;67,09;642
91;34701;34172;Montpellier;2501;PEYROU;0;771;1379;1039,6;10156;21843;40731;3309;74711;35201,77;9324;19280;33950;3674;52195;27150,69;51,15;331
91;34701;34172;Montpellier;2502;URSULINES;0;1065;1628,5;1317,6;5734;12362;21457;146;39918;20078,31;4975;11109;19937;598;33183;16799,5;61,17;632
91;34701;34172;Montpellier;2503;PREFECTURE;0;1101;1796,5;1412,5;8917;20007;41697;2370;70451;31919,11;9115;19431;32901;2727;53447;25972,23;59,77;512
91;34701;34172;Montpellier;2504;SAINT-ROCH;0;1127;1751;1401;7473;15595;28301;1126;52661;22978,51;7339;14700;25120;2021;38704;19035,01;64,97;579
91;34701;34172;Montpellier;2601;GAMBETTA;0;2077;3910,5;2880,7;7571;17047;30541;705;49929;22946,81;5474;13445;23035;701;34051;16399,02;67,47;1102
91;34701;34172;Montpellier;2602;SAINT-DENIS;0;2063;3703;2785,5;10403;21223;39903;3292;64474;30086,94;8760;18385,5;30455;3258;45814;22638,52;57;916
91;34701;34172;Montpellier;2701;NOMBRE D'OR;0;1497;2579,5;1989,3;15048;25765;42610;6337;65459;32328,77;12483;21176;32129;5987;45265;24124,39;47,33;555
91;34701;34172;Montpellier;2703;MOULIN DE L'EVÊQUE;4;1315;2273;1745,6;15776;25180;38958;7231;57380;29549,06;12575;19855;29180;6374;39111;21966,49;59,95;469
91;34701;34172;Montpellier;2704;PLACE DE L'EUROPE;4;1074;1757,5;1376;12870;21989;34903;4858;54244;27225,79;10919;18758;27600;3959;38032;21095,09;61,98;433
91;34701;34172;Montpellier;2801;LA GUIRLANDE;0;1428;2840,5;2041,6;8767,5;19689;32508;1;50063;23376,62;4293;12972;22573;0;34058;15546,38;57,12;731
91;34701;34172;Montpellier;2802;CHAPTAL;0;1620;3243;2337,5;10445;19738;34192;3147;50640;25093,72;6799;15171;23354;2144;32475;16958,91;63,61;809
91;34701;34172;Montpellier;2901;ASSAS;0;961;1944;1393,5;16770;28588;48135;8034;80216;39414,29;14160;22082;34524;7022;51249;27489,09;52,55;322
91;34701;34172;Montpellier;2902;AVENUE DE LODEVE;0;1026;1925,5;1425,1;10364;20312;39031;3688;69757;32616,82;7912;17878;30866;4399;48160;24207,31;57,12;478
91;34701;34172;Montpellier;3001;COMEDIE;0;1963;3235,5;2536,7;10072;20680;38945;3298;68629;31383,67;9256;18525;32193;4000;50923;24815,6;56,15;862
