"HIERARCHIE,C,50","IDARC,N,10,0","CODE_VOIE,C,4","DATE_DCM,D","LIB_OFF,C,254","LIBTRI,C,254","TYPVOI,C,4","NOMVOI,C,80","DOMANIALIT,C,50","SENS_CIRCU,C,50","LONGUEUR,N,19,8","OCCUPATION,C,50","RIVOLI_DGI,C,50","NOTE,C,80","DUOP,C,1","PROPRIO,C,50","ZAC,C,100","LEN,N,19,11"
,293,"2693",24/10/90,"Place de la Célette","Célette (Place de la)","PL","DE LA CELETTE","Publique","DOUBLE SENS","44,70000076",,"01149",,"N",,,"44,7673090315"
,294,"2963",26/09/94,"Rue René Grousset","Grousset (Rue René)","RUE","RENE GROUSSET","Publique","SENS UNIQUE","156,1000061",,"06070",,"N",,,"156,195237469"
,295,"2941",07/02/94,"Place Paul Dirac","Dirac (Place Paul)","PL","PAUL DIRAC","Privée","DOUBLE SENS","94,80000305",,"06050",,"N","SERM","BLAISE PASCAL","94,8429803125"
,296,"2442",20/09/88,"Rue Hippolyte Fizeau","Fizeau (Rue Hippolyte)","RUE","HIPPOLYTE FIZEAU","Publique","SENS UNIQUE","38,09999847",,"02834","Parcelle ex-SERM vendu à la Ville le 20/12/2007","N",,"BLAISE PASCAL","38,157609116"
,119,"579",18/10/65,"Boulevard Benjamin Milhaud","Milhaud (Boulevard Benjamin)","BD","BENJAMIN MILHAUD","Publique","DOUBLE SENS","38,09999847",,"00645",,"N",,,"38,1401278856"
,120,"1824",,"Rue de Provence","Provence (Rue de)","RUE","DE PROVENCE","Publique","DOUBLE SENS",72,,"04695",,"N",,,"72,0168417643"
,121,"2148",,"Rue Washington","Washington (Rue)","RUE","WASHINGTON","Publique","DOUBLE SENS","38,5",,"05875",,"N",,,"38,508866482"
,122,"2148",,"Rue Washington","Washington (Rue)","RUE","WASHINGTON","Publique","DOUBLE SENS","49,09999847",,"05875",,"N",,,"49,1059554899"
,123,"1108",,"Cours Gambetta","Gambetta (Cours)","COUR","GAMBETTA","Publique","SENS UNIQUE","48,70000076",,"02460",,"N",,,"48,7200394521"
,124,"1108",,"Cours Gambetta","Gambetta (Cours)","COUR","GAMBETTA","Publique","SENS UNIQUE","62,09999847",,"02460",,"N",,,"62,113432368"
,125,"1640",,"Avenue de Palavas","Palavas (Avenue de)","AV","DE PALAVAS","Publique","DOUBLE SENS","32,79999924",,"04085",,"N",,,"32,8375687518"
,126,"1640",,"Avenue de Palavas","Palavas (Avenue de)","AV","DE PALAVAS","Publique","DOUBLE SENS","156,3999939",,"04085",,"N",,,"156,493878646"
,127,"1631",,"Rue des Ormeaux","Ormeaux (Rue des)","RUE","DES ORMEAUX","Publique","DOUBLE SENS","49,70000076",,"04050",,"N",,,"49,7198077934"
,128,"2152",,"Rue de l'Yeuse","Yeuse (Rue de l')","RUE","DE L'YEUSE","Publique","DOUBLE SENS","62,20000076",,"05885",,"N",,,"62,2482297441"
,129,"1627",18/10/65,"Boulevard d'Orient","Orient (Boulevard d')","BD","D'ORIENT","Publique","SENS UNIQUE","9,89999962",,"04040",,"N",,,"9,8714184472"
,130,"1400",,"Boulevard Louis Blanc","Blanc (Boulevard Louis)","BD","LOUIS BLANC","Publique","SENS UNIQUE","156,1000061","Piéton","03320",,"N",,,"156,136353769"
,131,"2297",23/04/87,"Rue Emile Gaboriau","Gaboriau (Rue Emile)","RUE","EMILE GABORIAU","Privée","DOUBLE SENS","99,30000305",,"01974",,"N",,,"99,3835725525"
,132,"1640",,"Avenue de Palavas","Palavas (Avenue de)","AV","DE PALAVAS","Publique","DOUBLE SENS","44,09999847",,"04085",,"N",,,"44,123233268"
,133,"1041",,"Rue de la Flore Juvénale","Flore Juvénale (Rue de la)","RUE","DE LA FLORE JUVENALE","Privée","DOUBLE SENS",61,,"02245",,"N",,,"61,0658699276"
,134,"1224",,"Rue de l'Herbe d'Amour","Herbe d'Amour (Rue de l')","RUE","DE L'HERBE D'AMOUR","Privée","DOUBLE SENS","39,5",,"02815",,"N",,,"39,4932928692"
,135,"2259",23/04/87,"Allée du Briol","Briol (Allée du)","ALL","DU BRIOL","Publique","DOUBLE SENS","36,3",,"00868",,"N",,,"36,3040555613"
,136,"441",23/03/78,"Avenue Albert Dubout","Dubout (Avenue Albert)","AV","ALBERT DUBOUT","Publique","DOUBLE SENS","63,40000153",,"00144",,"N",,,"63,3843925479"
,137,"441",23/03/78,"Avenue Albert Dubout","Dubout (Avenue Albert)","AV","ALBERT DUBOUT","Publique","SENS UNIQUE","107,19999695",,"00144",,"N",,,"107,220161196"
,138,"1529",,"Rue Michel-Ange","Michel-Ange (Rue)","RUE","MICHEL-ANGE","Publique","DOUBLE SENS","76,09999847",,"03743",,"N",,,"76,1306338552"
,139,"974",,"Rue des Erables","Erables (Rue des)","RUE","DES ERABLES","Publique","DOUBLE SENS","61,79999924",,"02020",,"N",,,"61,7866737432"
,140,"930",27/10/86,"Avenue de l'Ecole d'Agriculture-Gabriel Buchet","Ecole d'Agriculture-Gabriel Buchet (Avenue de l')","AV","DE L'ECOLE D'AGRICULTURE-GABRIEL BUCHET","Publique","DOUBLE SENS","83,5",,"01871",,"N",,,"83,5726855456"
,141,"1355",18/10/65,"Rue de Las Sorbes","Sorbes (Rue de Las)","RUE","DE LAS SORBES","Publique","DOUBLE SENS","174,6000061",,"03175",,"N",,,"174,63954063"
,142,"1355",18/10/65,"Rue de Las Sorbes","Sorbes (Rue de Las)","RUE","DE LAS SORBES","Publique","DOUBLE SENS","25,89999962",,"03175",,"N",,,"25,8838321492"
,143,"1777",19/04/67,"Avenue de la Pompignane","Pompignane (Avenue de la)","AV","DE LA POMPIGNANE","Publique","DOUBLE SENS","14,10000038",,"04536",,"N",,,"14,0658279962"
,253,"2979",27/10/94,"Rue du Palais d'Eté","Palais d'Eté (Rue du)","RUE","DU PALAIS D'ETE","Privée","SENS UNIQUE","58,79999924",,"06079",,"O",,,"58,8407223083"
,254,"2165",07/10/85,"Rue de Cheng-Du","Cheng-Du (Rue de)","RUE","DE CHENG-DU","Publique","DOUBLE SENS","55,70000076",,"01287","Classée par acte notarié le 15/02/2008","N",,,"55,7564671266"
,255,"2224",24/11/88,"Rue Jacques Monod","Monod (Rue Jacques)","RUE","JACQUES MONOD","Publique","DOUBLE SENS","30,70000076",,"02916","Classée par acte notarié en mars 2003","N",,,"30,7032493142"
,256,"2224",24/11/88,"Rue Jacques Monod","Monod (Rue Jacques)","RUE","JACQUES MONOD","Publique","DOUBLE SENS","141,1000061",,"02916","Classée par acte notarié en mars 2003","N",,,"141,204056708"
,257,"2276",24/11/88,"Allée Victor Schoelcher","Schoelcher (Allée Victor)","ALL","VICTOR SCHOELCHER","Publique","DOUBLE SENS","140,3999939",,"05794","Classée par acte notarié en mars 2003","N",,,"140,431452771"
,259,"2207",14/05/86,"Place de Chine","Chine (Place de)","PL","DE CHINE","Publique","DOUBLE SENS","32,5",,"01309","Classée par acte notarié le 15/02/2008","N",,,"32,5070400083"
,260,"2202",14/05/86,"Rue Rouget de Lisle","Rouget de Lisle (Rue)","RUE","ROUGET DE LISLE","Publique","DOUBLE SENS","24,29999924",,"04996","Classée par acte notarié le 15/02/2008","N",,,"24,2889613796"
,261,"2203",14/05/86,"Rue Sieyès","Sieyès (Rue)","RUE","SIEYES","Publique","DOUBLE SENS","75,09999847",,"05346","Classée par acte notarié le 15/02/2008","N",,,"75,0934165144"
,262,"2202",14/05/86,"Rue Rouget de Lisle","Rouget de Lisle (Rue)","RUE","ROUGET DE LISLE","Publique","DOUBLE SENS","32,59999847",,"04996","Classée par acte notarié le 15/02/2008","N",,,"32,6149256118"
,263,"1655",18/10/65,"Rue du Pas du Loup","Pas du Loup (Rue du)","RUE","DU PAS DU LOUP","Publique","DOUBLE SENS","161,5",,"04150","Classée par acte notarié en Fév. 96","N",,,"161,531508249"
,264,"2434",20/09/88,"Impasse du Trianon","Trianon (Impasse du)","IMP","DU TRIANON","Privée","DOUBLE SENS","50,5",,"05607",,"N",,,"50,5570209775"
,265,"2434",20/09/88,"Impasse du Trianon","Trianon (Impasse du)","IMP","DU TRIANON","Privée","DOUBLE SENS","22,20000076",,"05607",,"N",,,"22,2113372574"
,266,"2696",24/10/90,"Impasse Andréa Palladio","Palladio (Impasse Andréa)","IMP","ANDREA PALLADIO","Privée","DOUBLE SENS","100,40000153",,"00262",,"N",,,"100,405742683"
,1,"2784",31/01/91,"Rue Pablo Casals","Casals (Rue Pablo)","RUE","PABLO CASALS","Privée","DOUBLE SENS",65,,"04056",,"N",,,"65,0011367758"
,2,"914",,"Rue Doyen de Rouville","Rouville (Rue Doyen de)","RUE","DOYEN DE ROUVILLE","Publique","DOUBLE SENS",78,,"01815",,"N",,,"77,9877588632"
,3,"815",,"Place de la Comédie","Comédie (Place de la)","PL","DE LA COMEDIE","Publique","DOUBLE SENS",24,"Piéton","01485",,"N",,,"23,9631549526"
,6,"1251",,"Rue Isidore Girard","Girard (Rue Isidore)","RUE","ISIDORE GIRARD","Publique","SENS UNIQUE","100,59999847",,"02885",,"N",,,"100,689339348"
,7,"467",,"Rue d'Alsace","Alsace (Rue d')","RUE","D'ALSACE","Publique","SENS UNIQUE","61,09999847",,"00220",,"N",,,"61,1357906595"
,8,"2784",31/01/91,"Rue Pablo Casals","Casals (Rue Pablo)","RUE","PABLO CASALS","Privée","DOUBLE SENS","33,79999924",,"04056",,"N",,,"33,7961250631"
,9,"864",18/10/65,"Rue de la Croix de Figuerolles","Croix de Figuerolles (Rue de la)","RUE","DE LA CROIX DE FIGUEROLLES","Publique","DOUBLE SENS","39,5",,"01630",,"N",,,"39,4778070475"
,10,"511",,"Avenue d'Assas","Assas (Avenue d')","AV","D'ASSAS","Publique","DOUBLE SENS","69,80000305",,"00370",,"N",,,"69,8270845295"
,11,"536",,"Rue des Balances","Balances (Rue des)","RUE","DES BALANCES","Publique","DOUBLE SENS","28,10000038","Piéton","00475",,"N",,,"28,1546653344"
,13,"2043",,"Rue Terral","Terral (Rue)","RUE","TERRAL","Publique","DOUBLE SENS","56,20000076","Piéton","05475",,"N",,,"56,193736962"
,14,"873",,"Rue du Cygne","Cygne (Rue du)","RUE","DU CYGNE","Publique","DOUBLE SENS","50,79999924","Piéton","01660",,"N",,,"50,8364965529"
,15,"955",26/01/70,"Rue de l'Emeraude","Emeraude (Rue de l')","RUE","DE L'EMERAUDE","Publique","DOUBLE SENS",33,,"01962",,"N",,,"33,0072126592"
,16,"955",26/01/70,"Rue de l'Emeraude","Emeraude (Rue de l')","RUE","DE L'EMERAUDE","Publique","DOUBLE SENS","51,09999847",,"01962",,"N",,,"51,1625112008"
,17,"2067",26/01/70,"Rue des Tourmalines","Tourmalines (Rue des)","RUE","DES TOURMALINES","Publique","DOUBLE SENS","84,59999847",,"05562",,"N",,,"84,6151871265"
,18,"2067",26/01/70,"Rue des Tourmalines","Tourmalines (Rue des)","RUE","DES TOURMALINES","Publique","DOUBLE SENS","76,40000153",,"05562",,"N",,,"76,4411082756"
,26,"1092",,"Rue Frédéric Peyson","Peyson (Rue Frédéric)","RUE","FREDERIC PEYSON","Publique","SENS UNIQUE","87,19999695",,"02410",,"N",,,"87,2094095439"
,27,"1872",,"Rue Rey","Rey (Rue)","RUE","REY","Publique","DOUBLE SENS","40,5","Piéton","04875",,"N",,,"40,4767421873"
,28,"633",,"Rue du Bras de Fer","Bras de Fer (Rue du)","RUE","DU BRAS DE FER","Publique","DOUBLE SENS","50,79999924","Piéton","00860",,"N",,,"50,7750915895"
,29,"2037",,"Rue de Tarragone","Tarragone (Rue de)","RUE","DE TARRAGONE","Publique","SENS UNIQUE","73,59999847",,"05445",,"N",,,"73,6278794293"
,30,"1984",26/01/70,"Rue du Saphir","Saphir (Rue du)","RUE","DU SAPHIR","Publique","DOUBLE SENS","46,5",,"05267",,"N",,,"46,5376367483"
,31,"1622",26/01/70,"Rue de l'Opale","Opale (Rue de l')","RUE","DE L'OPALE","Publique","DOUBLE SENS","45,59999847",,"04024",,"N",,,"45,6157277176"
,36,"1907",,"Rue Roucher","Roucher (Rue)","RUE","ROUCHER","Publique","DOUBLE SENS","13,89999962","Piéton","04985",,"N",,,"13,861481142"
,38,"1940",,"Rue Saint Guilhem","Saint Guilhem (Rue)","RUE","SAINT GUILHEM","Publique","SENS UNIQUE",34,"Piéton","05105",,"N",,,"33,9954751938"
,39,"1305",,"Boulevard du Jeu de Paume","Jeu de Paume (Boulevard du)","BD","DU JEU DE PAUME","Publique","SENS UNIQUE","43,59999847",,"03030",,"N",,,"43,6247016628"
,40,"1940",,"Rue Saint Guilhem","Saint Guilhem (Rue)","RUE","SAINT GUILHEM","Publique","DOUBLE SENS","15,39999962","Piéton","05105",,"N",,,"15,453810985"
,41,"1940",,"Rue Saint Guilhem","Saint Guilhem (Rue)","RUE","SAINT GUILHEM","Publique","DOUBLE SENS","30,60000038","Piéton","05105",,"N",,,"30,6142758387"
,42,"1907",,"Rue Roucher","Roucher (Rue)","RUE","ROUCHER","Publique","DOUBLE SENS",41,"Piéton","04985",,"N",,,"41,0280854316"
,43,"1886",,"Rue de La Rochelle","La Rochelle (Rue de)","RUE","DE LA ROCHELLE","Publique","DOUBLE SENS","25,29999924","Piéton","04920",,"N",,,"25,2786405414"
,44,"1886",,"Rue de La Rochelle","La Rochelle (Rue de)","RUE","DE LA ROCHELLE","Publique","DOUBLE SENS",51,"Piéton","04920",,"N",,,"51,0041380635"
,45,"1886",,"Rue de La Rochelle","La Rochelle (Rue de)","RUE","DE LA ROCHELLE","Publique","DOUBLE SENS","37,70000076","Piéton","04920",,"N",,,"37,684607566"
,46,"1886",,"Rue de La Rochelle","La Rochelle (Rue de)","RUE","DE LA ROCHELLE","Publique","DOUBLE SENS","31,79999924","Piéton","04920",,"N",,,"31,8489177342"
,47,"2098",,"Rue de la Valfère","Valfère (Rue de la)","RUE","DE LA VALFERE","Publique","DOUBLE SENS","30,20000076","Piéton","05695",,"N",,,"30,1894077989"
,48,"1965",,"Rue du Saint Sépulcre","Saint Sépulcre (Rue du)","RUE","DU SAINT SEPULCRE","Publique","DOUBLE SENS","62,79999924","Piéton","05210",,"N",,,"62,7851268736"
,49,"1965",,"Rue du Saint Sépulcre","Saint Sépulcre (Rue du)","RUE","DU SAINT SEPULCRE","Publique","DOUBLE SENS","36,40000153","Piéton","05210",,"N",,,"36,4201619554"
,50,"468",,"Rue de l'Amandier","Amandier (Rue de l')","RUE","DE L'AMANDIER","Publique","DOUBLE SENS",15,"Piéton","00225",,"N",,,"14,9851064527"
,51,"2098",,"Rue de la Valfère","Valfère (Rue de la)","RUE","DE LA VALFERE","Publique","DOUBLE SENS","16,20000076","Piéton","05695",,"N",,,"16,175200872"
,52,"1660",04/11/96,"Boulevard Pasteur","Pasteur (Boulevard)","BD","PASTEUR","Publique","SENS UNIQUE","74,30000305","Piéton","04165",,"N",,,"74,3147147871"
,53,"478",,"Rue de l'Ancien Courrier","Ancien Courrier (Rue de l')","RUE","DE L'ANCIEN COURRIER","Publique","DOUBLE SENS","13,10000038","Piéton","00255",,"N",,,"13,154977878"
,54,"2110",,"Rue de Verdun","Verdun (Rue de)","RUE","DE VERDUN","Publique","SENS UNIQUE","70,09999847",,"05740",,"N",,,"70,144475865"
,55,"1823",,"Rue Proudhon","Proudhon (Rue)","RUE","PROUDHON","Publique","SENS UNIQUE","40,70000076",,"04690",,"N",,,"40,7294251893"
,56,"1823",,"Rue Proudhon","Proudhon (Rue)","RUE","PROUDHON","Publique","SENS UNIQUE","31,39999962",,"04690",,"N",,,"31,4103663406"
,57,"678",,"Rue Canton","Canton (Rue)","RUE","CANTON","Publique","SENS UNIQUE","38,90000153",,"01005",,"N",,,"38,8722731788"
,59,"1777",19/04/67,"Avenue de la Pompignane","Pompignane (Avenue de la)","AV","DE LA POMPIGNANE","Publique","DOUBLE SENS","48,09999847",,"04536",,"N",,,"48,0725967954"
,60,"1288",23/12/87,"Avenue Jean Mermoz","Mermoz (Avenue Jean)","AV","JEAN MERMOZ","Publique","SENS UNIQUE","78,69999695",,"02985",,"N",,"ANTIGONE","78,7729639341"
,61,"1288",23/12/87,"Avenue Jean Mermoz","Mermoz (Avenue Jean)","AV","JEAN MERMOZ","Publique","SENS UNIQUE","68,30000305",,"02985",,"N",,"ANTIGONE","68,3695777136"
,62,"1783",,"Avenue du Pont Juvénal","Pont Juvénal (Avenue du)","AV","DU PONT JUVENAL","Publique","DOUBLE SENS",26,,"04559",,"N",,,"26,0341987595"
,63,"1797",,"Rue Pralon","Pralon (Rue)","RUE","PRALON","Publique","SENS UNIQUE","75,09999847",,"04605",,"N",,,"75,1063747954"
,64,"1089",26/06/42,"Rue Frédéric Fabrèges","Fabrèges (Rue Frédéric)","RUE","FREDERIC FABREGES","Publique","DOUBLE SENS",58,,"02395",,"N",,,"58,06378701"
,65,"1783",,"Avenue du Pont Juvénal","Pont Juvénal (Avenue du)","AV","DU PONT JUVENAL","Publique","DOUBLE SENS","69,80000305",,"04559",,"N",,,"69,7936197317"
,67,"1783",,"Avenue du Pont Juvénal","Pont Juvénal (Avenue du)","AV","DU PONT JUVENAL","Publique","DOUBLE SENS",42,,"04559",,"N",,,"42,0177143457"
,68,"1288",23/12/87,"Avenue Jean Mermoz","Mermoz (Avenue Jean)","AV","JEAN MERMOZ","Publique","SENS UNIQUE","34,59999847",,"02985",,"N",,,"34,6613011654"
,69,"442",,"Place Albert 1er","Albert 1er (Place)","PL","ALBERT 1ER","Publique","DOUBLE SENS","27,60000038","Piéton","00145",,"N",,,"27,5803058324"
,70,"1433",,"Rue de la Manade","Manade (Rue de la)","RUE","DE LA MANADE","Publique","SENS UNIQUE",113,,"03420",,"N",,,"113,059133925"
,75,"1413",,"Rue des Loutres","Loutres (Rue des)","RUE","DES LOUTRES","Publique","DOUBLE SENS","103,90000153",,"03350",,"N",,,"103,918766756"
,76,"704",,"Rue des Castors","Castors (Rue des)","RUE","DES CASTORS","Publique","DOUBLE SENS","55,90000153",,"01100",,"N",,,"55,932190829"
,77,"942",,"Rue des Ecureuils","Ecureuils (Rue des)","RUE","DES ECUREUILS","Publique","DOUBLE SENS","38,90000153",,"01920",,"N",,,"38,9581048841"
,78,"704",,"Rue des Castors","Castors (Rue des)","RUE","DES CASTORS","Publique","DOUBLE SENS","43,59999847",,"01100",,"N",,,"43,586635679"
,79,"942",,"Rue des Ecureuils","Ecureuils (Rue des)","RUE","DES ECUREUILS","Publique","DOUBLE SENS",42,,"01920",,"N",,,"42,0016682842"
,80,"1413",,"Rue des Loutres","Loutres (Rue des)","RUE","DES LOUTRES","Publique","DOUBLE SENS",46,,"03350",,"N",,,"45,9957971538"
,81,"678",,"Rue Canton","Canton (Rue)","RUE","CANTON","Publique","SENS UNIQUE","35,79999924",,"01005",,"N",,,"35,8573738867"
,83,"686",,"Rue du Cardinal de Cabrières","Cabrières (Rue du Cardinal de)","RUE","DU CARDINAL DE CABRIERES","Publique","SENS UNIQUE","39,5","Piéton","01030",,"N",,,"39,5153480312"
,84,"1023",,"Rue Ferdinand Fabre","Fabre (Rue Ferdinand)","RUE","FERDINAND FABRE","Publique","SENS UNIQUE",38,"Piéton","02182",,"N",,,"38,0386371883"
,85,"2086",,"Rue de l'Université","Université (Rue de l')","RUE","DE L'UNIVERSITE","Publique","DOUBLE SENS","12,30000019","Piéton","05650",,"N",,,"12,2618719179"
,86,"1968",,"Rue Sainte Anne","Sainte Anne (Rue)","RUE","SAINTE ANNE","Publique","DOUBLE SENS","33,59999847","Piéton","05225",,"N",,,"33,6439764346"
,87,"1574",,"Rue des Multipliants","Multipliants (Rue des)","RUE","DES MULTIPLIANTS","Publique","DOUBLE SENS",35,"Piéton","03905",,"N",,,"34,9935181836"
,88,"1574",,"Rue des Multipliants","Multipliants (Rue des)","RUE","DES MULTIPLIANTS","Publique","DOUBLE SENS","33,70000076","Piéton","03905",,"N",,,"33,7200545837"
,89,"1305",,"Boulevard du Jeu de Paume","Jeu de Paume (Boulevard du)","BD","DU JEU DE PAUME","Publique","SENS UNIQUE","121,59999847",,"03030",,"N",,,"121,610996231"
,90,"1305",,"Boulevard du Jeu de Paume","Jeu de Paume (Boulevard du)","BD","DU JEU DE PAUME","Publique","SENS UNIQUE","86,5",,"03030",,"N",,,"86,5814152827"
,93,"1667",30/12/26,"Rue Paul Brousse","Brousse (Rue Paul)","RUE","PAUL BROUSSE","Publique","SENS UNIQUE","77,30000305",,"04185",,"N",,,"77,3198723156"
,96,"1774",,"Rue Poitevine","Poitevine (Rue)","RUE","POITEVINE","Publique","DOUBLE SENS","38,40000153","Piéton","04520",,"N",,,"38,4182465849"
,101,"1436",15/04/82,"Rue Marceau","Marceau (Rue)","RUE","MARCEAU","Publique","SENS UNIQUE","74,5",,"03435",,"N",,,"74,5782290131"
,104,"1325",,"Rue Jules Ferry","Ferry (Rue Jules)","RUE","JULES FERRY","Publique","SENS UNIQUE","135,3999939",,"03075",,"N",,"NOUVEAU SAINT ROCH","135,417884759"
,105,"478",,"Rue de l'Ancien Courrier","Ancien Courrier (Rue de l')","RUE","DE L'ANCIEN COURRIER","Publique","DOUBLE SENS","49,29999924","Piéton","00255",,"N",,,"49,3448176737"
,106,"1940",,"Rue Saint Guilhem","Saint Guilhem (Rue)","RUE","SAINT GUILHEM","Publique","DOUBLE SENS","8,5","Piéton","05105",,"N",,,"8,4814350608"
,107,"544",,"Rue de Barcelone","Barcelone (Rue de)","RUE","DE BARCELONE","Publique","SENS UNIQUE","63,79999924",,"00496",,"N",,,"63,8731719471"
,108,"2022",,"Boulevard de Strasbourg","Strasbourg (Boulevard de)","BD","DE STRASBOURG","Publique","SENS UNIQUE","296,8999939",,"05390",,"N",,,"297,063433647"
,110,"2037",,"Rue de Tarragone","Tarragone (Rue de)","RUE","DE TARRAGONE","Publique","SENS UNIQUE","51,90000153",,"05445",,"N",,,"51,89088825"
,111,"2037",,"Rue de Tarragone","Tarragone (Rue de)","RUE","DE TARRAGONE","Publique","SENS UNIQUE","47,5",,"05445",,"N",,,"47,4796703237"
,112,"441",23/03/78,"Avenue Albert Dubout","Dubout (Avenue Albert)","AV","ALBERT DUBOUT","Publique","DOUBLE SENS","192,3999939",,"00144",,"N",,,"192,485801058"
,144,"1777",19/04/67,"Avenue de la Pompignane","Pompignane (Avenue de la)","AV","DE LA POMPIGNANE","Publique","DOUBLE SENS","137,69999695",,"04536",,"N",,,"137,76769115"
,145,"2312",27/11/87,"Rue Claude Chappe","Chappe (Rue Claude)","RUE","CLAUDE CHAPPE","Publique","DOUBLE SENS",63,,"01396",,"N",,,"63,0391531266"
,147,"405",27/05/87,"Pont Raymond Chauliac","Chauliac (Pont Raymond)","PONT","RAYMOND CHAULIAC","Publique","DOUBLE SENS",115,,"04818",,"N",,,"115,069942349"
,148,"405",27/05/87,"Pont Raymond Chauliac","Chauliac (Pont Raymond)","PONT","RAYMOND CHAULIAC","Publique","DOUBLE SENS","88,5",,"04818",,"N",,,"88,521452831"
,150,"1367",,"Boulevard Ledru-Rollin","Ledru-Rollin (Boulevard)","BD","LEDRU-ROLLIN","Publique","SENS UNIQUE","88,30000305",,"03210",,"N",,,"88,3378461647"
,151,"1012",,"Rue du Faubourg Figuerolles","Faubourg Figuerolles (Rue du)","RUE","DU FAUBOURG FIGUEROLLES","Publique","DOUBLE SENS","17,20000076",,"02155",,"N",,,"17,2191670095"
,361,"2741",10/01/89,"Avenue Agropolis","Agropolis (Avenue)","AV","AGROPOLIS","Publique","DOUBLE SENS","89,80000305",,"00103",,"N",,,"89,8669475943"
,362,"3009",24/03/95,"Esplanade Marcel Gallet","Gallet (Esplanade Marcel)","ESPL","MARCEL GALLET","Publique","DOUBLE SENS","46,70000076",,"06118",,"N",,,"46,6903025436"
,363,"1833",18/10/65,"Rue des Quatre Seigneurs","Quatre Seigneurs (Rue des)","RUE","DES QUATRE SEIGNEURS","Publique","DOUBLE SENS","206,6000061",,"04735",,"N",,,"206,710535508"
,364,"1048",18/10/65,"Rue de la Fond Froide","Fond Froide (Rue de la)","RUE","DE LA FOND FROIDE","Publique","DOUBLE SENS","12,30000019",,"02275",,"N",,,"12,3239064927"
,365,"2262",23/04/87,"Impasse du Gal","Gal (Impasse du)","IMP","DU GAL","Privée","DOUBLE SENS","209,8999939",,"02454",,"N",,,"209,932402301"
,366,"1048",18/10/65,"Rue de la Fond Froide","Fond Froide (Rue de la)","RUE","DE LA FOND FROIDE","Publique","DOUBLE SENS","287,70001221",,"02275",,"N",,,"287,819184323"
,367,"2351",23/12/87,"Avenue Vincent Auriol","Auriol (Avenue Vincent)","AV","VINCENT AURIOL","Publique départementale","DOUBLE SENS","153,8999939",,"05852","RD 65","N",,,"153,979890705"
,154,"2745",21/12/10,"Square Planchon","Planchon (Square)","SQUA","PLANCHON","Publique","DOUBLE SENS","81,59999847",,"04472",,"N",,,"81,6211434291"
,155,"1627",18/10/65,"Boulevard d'Orient","Orient (Boulevard d')","BD","D'ORIENT","Publique","SENS UNIQUE","15,69999981",,"04040",,"N",,,"15,7040957756"
,156,"1627",18/10/65,"Boulevard d'Orient","Orient (Boulevard d')","BD","D'ORIENT","Publique","SENS UNIQUE","35,59999847",,"04040",,"N",,,"35,5838441184"
,157,"1560",,"Chemin de Moularès","Moularès (Chemin de)","CHEM","DE MOULARES","Publique","SENS UNIQUE","60,20000076",,"03855",,"N",,"PORT MARIANNE - CONSULS DE MER","60,2669729096"
,159,"547",,"Chemin des Barques","Barques (Chemin des)","CHEM","DES BARQUES","Publique","DOUBLE SENS","43,2",,"00505",,"N","SERM","PORT MARIANNE - CONSULS DE MER","43,2337853255"
,162,"1958",09/02/52,"Rue Saint Pierre","Saint Pierre (Rue)","RUE","SAINT PIERRE","Publique","DOUBLE SENS","17,70000076","Piéton","05175",,"N",,,"17,6906621091"
,163,"686",,"Rue du Cardinal de Cabrières","Cabrières (Rue du Cardinal de)","RUE","DU CARDINAL DE CABRIERES","Publique","DOUBLE SENS",28,"Piéton","01030",,"N",,,"28,0363711334"
,165,"780",,"Allée de la Citadelle","Citadelle (Allée de la)","ALL","DE LA CITADELLE","Publique","SENS UNIQUE","188,4",,"01370",,"N",,,"188,415375099"
,168,"1603",04/06/84,"Place du Nombre d'Or","Nombre d'Or (Place du)","PL","DU NOMBRE D'OR","Publique","DOUBLE SENS","164,19999695","Piéton","03972",,"N",,"ANTIGONE","164,240547493"
,169,"2231",27/06/86,"Rue de Thèbes","Thèbes (Rue de)","RUE","DE THEBES","Publique","DOUBLE SENS","82,30000305","Piéton","05482",,"N",,"ANTIGONE","82,3027561184"
,170,"2302",23/04/87,"Place Paul Bec","Bec (Place Paul)","PL","PAUL BEC","Privée","DOUBLE SENS","29,39999962","Piéton","04179",,"N","SERM","ANTIGONE","29,4388687597"
,171,"2391",26/05/88,"Passage Hermès","Hermès (Passage)","PASS","HERMES","Privée","DOUBLE SENS","21,29999924","Piéton","02822",,"N","SERM","ANTIGONE","21,2805659535"
,172,"2540",25/07/89,"Allée de l'Attique","Attique (Allée de l')","ALL","DE L'ATTIQUE","Publique","DOUBLE SENS","11,89999962","Piéton","00394",,"N","SERM","ANTIGONE","11,9125479055"
,173,"2958",29/07/94,"Place de Marathon","Marathon (Place de)","PL","DE MARATHON","Publique","DOUBLE SENS","64,5","Piéton","06066",,"N",,"ANTIGONE","64,5165598929"
,174,"2775",24/11/88,"Square Edith Piaf","Piaf (Square Edith)","SQUA","EDITH PIAF","Privée","DOUBLE SENS","17,70000076",,"01919",,"N",,,"17,6832408715"
,179,"1865",01/08/83,"Square des Renoncules","Renoncules (Square des)","SQUA","DES RENONCULES","Publique","DOUBLE SENS","27,20000076",,"04851",,"N",,,"27,2253364471"
