"HIERARCHIE,C,50","IDARC,N,10,0","CODE_VOIE,C,4","DATE_DCM,D","LIB_OFF,C,254","LIBTRI,C,254","TYPVOI,C,4","NOMVOI,C,80","DOMANIALIT,C,50","SENS_CIRCU,C,50","LONGUEUR,N,19,8","OCCUPATION,C,50","RIVOLI_DGI,C,50","NOTE,C,80","DUOP,C,1","PROPRIO,C,50","ZAC,C,100","LEN,N,19,11"
,5191,"804",,"Rue du Collège","Collège (Rue du)","RUE","DU COLLEGE","Publique","DOUBLE SENS",97,"Piéton","01450",,"N",,,"97,0250994444"
,5193,"608",26/06/42,"Boulevard de Bonnes Nouvelles","Bonnes Nouvelles (Boulevard de)","BD","DE BONNES NOUVELLES","Publique","DOUBLE SENS","35,59999847",,"00755",,"N",,,"35,6126739824"
,5194,"2193",03/09/84,"Cour de la Mosaïque","Mosaïque (Cour de la)","COUR","DE LA MOSAIQUE","Publique","DOUBLE SENS","23,60000038",,"03842",,"N",,,"23,5721773695"
,5195,"608",26/06/42,"Boulevard de Bonnes Nouvelles","Bonnes Nouvelles (Boulevard de)","BD","DE BONNES NOUVELLES","Publique","DOUBLE SENS","40,09999847",,"00755",,"N",,,"40,1233710747"
,5197,"1990",30/04/29,"Boulevard Sarrail","Sarrail (Boulevard)","BD","SARRAIL","Publique","DOUBLE SENS","117,80000305",,"05280",,"N",,,"117,796723921"
,5198,"1220",,"Square Henri Michel","Michel (Square Henri)","SQUA","HENRI MICHEL","Publique","DOUBLE SENS","67,80000305",,"02797",,"N",,,"67,8420124464"
,5450,"1560",,"Chemin de Moularès","Moularès (Chemin de)","CHEM","DE MOULARES","Publique","SENS UNIQUE","23,5",,"03855",,"N",,"PORT MARIANNE - CONSULS DE MER","23,5003364599"
,5451,"3043",25/09/95,"Allée du Tiers-Etat","Tiers-Etat (Allée du)","ALL","DU TIERS-ETAT","Privée","DOUBLE SENS","162,3999939",,"06132",,"N",,,"162,487225969"
,5452,"1560",,"Chemin de Moularès","Moularès (Chemin de)","CHEM","DE MOULARES","Publique","SENS UNIQUE","109,59999847",,"03855",,"N",,"PORT MARIANNE - CONSULS DE MER","109,679416806"
,5453,"3134",28/01/98,"Rue Michel Trocmé","Trocmé (Rue Michel)","RUE","MICHEL TROCME","Privée","DOUBLE SENS","43,4",,"08061",,"N","SERM","PORT MARIANNE - CONSULS DE MER","43,3639994102"
,5455,"2994",20/12/94,"Place des Patriotes","Patriotes (Place des)","PL","DES PATRIOTES","Publique","SENS UNIQUE","45,20000076",,"06094","Remise d'ouvrage SERM/Ville en février 2009","N",,"PORT MARIANNE - CONSULS DE MER","45,1718633424"
,6003,"1678",27/03/72,"Boulevard Paul Valéry","Valéry (Boulevard Paul)","BD","PAUL VALERY","Publique départementale","DOUBLE SENS","115,80000305",,"04215","RD 65","N",,,"115,798478102"
,12740,"1655",18/10/65,"Rue du Pas du Loup","Pas du Loup (Rue du)","RUE","DU PAS DU LOUP","Publique","DOUBLE SENS","37,59999847",,"04150","Classée par acte notarié le 15/02/2008","N",,,"37,6205158318"
,6019,"1777",19/04/67,"Avenue de la Pompignane","Pompignane (Avenue de la)","AV","DE LA POMPIGNANE","Publique","DOUBLE SENS","24,79999924",,"04536",,"N",,,"24,7854003772"
,6386,"1568",18/10/65,"Avenue des Moulins","Moulins (Avenue des)","AV","DES MOULINS","Publique départementale","DOUBLE SENS","62,59999847",,"03885","RD 65","N",,,"62,5785442289"
,6387,"1568",18/10/65,"Avenue des Moulins","Moulins (Avenue des)","AV","DES MOULINS","Publique départementale","DOUBLE SENS","173,30000305",,"03885","RD 65","N",,,"173,347533603"
,6390,"1808",10/07/72,"Rue du Professeur Blayac","Blayac (Rue du Professeur)","RUE","DU PROFESSEUR BLAYAC","Publique","DOUBLE SENS","147,5",,"04644",,"N",,,"147,560452925"
,6847,"2093",10/01/89,"Avenue du Val de Montferrand","Val de Montferrand (Avenue du)","AV","DU VAL DE MONTFERRAND","Publique","DOUBLE SENS","470,8999939",,"05670",,"N",,,"471,099209985"
,6867,"2650",20/07/90,"Rond-point La Pérouse","La Pérouse (Rond-point)","RDPT","LA PEROUSE","Publique","SENS UNIQUE","60,09999847","Circulation","04284",,"N",,,"60,0924606907"
,6868,"2650",20/07/90,"Rond-point La Pérouse","La Pérouse (Rond-point)","RDPT","LA PEROUSE","Publique","SENS UNIQUE","42,29999924","Circulation","04284",,"N",,,"42,2815071513"
,6869,"2650",20/07/90,"Rond-point La Pérouse","La Pérouse (Rond-point)","RDPT","LA PEROUSE","Publique","SENS UNIQUE","34,5","Circulation","04284",,"N",,,"34,4945798921"
,6910,"507",,"Impasse des Artémises","Artémises (Impasse des)","IMP","DES ARTEMISES","Privée","DOUBLE SENS","11,10000038",,"00355",,"N",,,"11,1494202692"
,6911,"507",,"Impasse des Artémises","Artémises (Impasse des)","IMP","DES ARTEMISES","Privée","DOUBLE SENS","44,29999924",,"00355",,"N",,,"44,3329622409"
,7014,"2017",29/11/76,"Rue de la Spirale","Spirale (Rue de la)","RUE","DE LA SPIRALE","Publique","SENS UNIQUE","38,70000076",,"05378",,"N",,"ANTIGONE","38,7218769923"
,7018,"2229",27/06/86,"Boulevard d'Antigone","Antigone (Boulevard d')","BD","D'ANTIGONE","Publique","SENS UNIQUE","37,5",,"00301",,"N","SERM","ANTIGONE","37,5565967613"
,7019,"2392",26/05/88,"Place Vauban","Vauban (Place)","PL","VAUBAN","Publique","DOUBLE SENS","17,79999924",,"05711",,"N","SERM","ANTIGONE","17,8050311025"
,7020,"2392",26/05/88,"Place Vauban","Vauban (Place)","PL","VAUBAN","Publique","DOUBLE SENS","26,29999924",,"05711",,"N","SERM","ANTIGONE","26,3022824454"
,7028,"2458",20/09/88,"Passage Nicolas IV","Nicolas IV (Passage)","PASS","NICOLAS IV","Privée","DOUBLE SENS","19,60000038",,"03963",,"N","SERM","ANTIGONE","19,6299710698"
,7048,"555",27/06/86,"Rue du Bastion Ventadour","Bastion Ventadour (Rue du)","RUE","DU BASTION VENTADOUR","Publique","DOUBLE SENS","16,5",,"00552",,"N",,"ANTIGONE","16,5226348244"
,7049,"1702",23/03/78,"Rue des Pertuisanes","Pertuisanes (Rue des)","RUE","DES PERTUISANES","Publique","SENS UNIQUE","15,80000019",,"04288",,"N",,"ANTIGONE","15,798504688"
,7087,"2393",26/05/88,"Allée Jean de Beins","Beins (Allée Jean de)","ALL","JEAN DE BEINS","Publique","DOUBLE SENS","55,5",,"02981",,"N","SERM","ANTIGONE","55,568947019"
,7107,"1531",23/03/78,"Rue Michelet","Michelet (Rue)","RUE","MICHELET","Publique","DOUBLE SENS","226,1000061","Circulation","03747",,"N",,,"226,213203158"
,7109,"1091",30/12/26,"Avenue Frédéric Mistral","Mistral (Avenue Frédéric)","AV","FREDERIC MISTRAL","Publique","DOUBLE SENS",184,,"02405",,"N",,,"184,091505754"
,7128,"2456",20/09/88,"Place Francis Ponge","Ponge (Place Francis)","PL","FRANCIS PONGE","Mixte","DOUBLE SENS","12,30000019",,"02371",,"N",,,"12,3059788948"
,7208,"779",,"Rue Cité Benoit","Cité Benoit (Rue)","RUE","CITE BENOIT","Publique","SENS UNIQUE","245,5","Circulation","01369",,"N",,,"245,630117195"
,7228,"1531",23/03/78,"Rue Michelet","Michelet (Rue)","RUE","MICHELET","Publique","DOUBLE SENS",69,"Circulation","03747",,"N",,,"69,0578164536"
,7267,"2518",25/07/89,"Quai du Palladium","Palladium (Quai du)","QUAI","DU PALLADIUM","Publique","SENS UNIQUE","30,10000038","Circulation","04106",,"N",,,"30,0977661468"
,7348,"2645",28/03/90,"Allée du Tourisme","Tourisme (Allée du)","ALL","DU TOURISME","Privée","DOUBLE SENS","139,69999695",,"05561",,"N",,,"139,752169776"
,7367,"1939",,"Rue Saint Gilles","Saint Gilles (Rue)","RUE","SAINT GILLES","Publique","SENS UNIQUE","51,70000076",,"05103",,"N",,,"51,7436507841"
,7368,"1531",23/03/78,"Rue Michelet","Michelet (Rue)","RUE","MICHELET","Publique","DOUBLE SENS",41,"Circulation","03747",,"N",,,"40,9962944902"
,8215,"2641",25/04/90,"Rue du Petit Verger","Petit Verger (Rue du)","RUE","DU PETIT VERGER","Publique","DOUBLE SENS","50,40000153",,"04329","Classée par acte notarié en juin 2006","N",,,"50,4202784274"
,8216,"2641",25/04/90,"Rue du Petit Verger","Petit Verger (Rue du)","RUE","DU PETIT VERGER","Publique","DOUBLE SENS","25,10000038",,"04329","Classée par acte notarié en juin 2006","N",,,"25,1359886227"
,8228,"9999",31/12/99,"Voie non dénommée","NON DENOMMEE","VOIE","NON DENOMMEE","Publique","DOUBLE SENS","130,5",,,,"N",,,"130,562303837"
,8229,"1109",,"Route de Ganges","Ganges (Route de)","RTE","DE GANGES","Publique départementale","DOUBLE SENS","183,3999939",,"02465","RD 986","N",,,"183,498596989"
,8252,"9999",31/12/99,"Voie non dénommée","NON DENOMMEE","VOIE","NON DENOMMEE","Publique","DOUBLE SENS","68,90000153",,,,"N",,,"68,9417321095"
,8253,"9999",31/12/99,"Voie non dénommée","NON DENOMMEE","VOIE","NON DENOMMEE","Publique","DOUBLE SENS","143,69999695",,,,"N",,,"143,71055224"
,8274,"3103",24/03/97,"Carrefour Hubert Dubedout","Dubedout (Carrefour Hubert)","CARR","HUBERT DUBEDOUT","Publique","DOUBLE SENS","15,10000038",,"08033",,"N",,,"15,0892366122"
,8292,"1568",18/10/65,"Avenue des Moulins","Moulins (Avenue des)","AV","DES MOULINS","Publique départementale","DOUBLE SENS","295,3999939",,"03885","RD 65","N",,,"295,556709159"
,8314,"1109",,"Route de Ganges","Ganges (Route de)","RTE","DE GANGES","Publique","DOUBLE SENS","168,6000061",,"02465",,"N",,,"168,70400008"
,8392,"1340",,"Rue Laetitia","Laetitia (Rue)","RUE","LAETITIA","Privée","DOUBLE SENS","89,59999847",,"03121",,"N",,,"89,6755573478"
,8432,"1645",23/11/90,"Rue des Papyrus","Papyrus (Rue des)","RUE","DES PAPYRUS","Publique","DOUBLE SENS","16,79999924",,"04114",,"N",,,"16,8472030058"
