"IDENT","NOM","VLEGALE","REF","DDEBUT","DFIN","SENS","PHJM","PHJS","TJM","COMMENTAIR","MOIS","ANNEE","TYPECOMPTA","IDENTSIG"
"2964TR282","Rue Henri Maspero",50,"1472",39611,39617,"Bouisses-Hilaire",15,25,141,"#N/A",6,2008,"Pneumatique",282
"2964TR282","Rue Henri Maspero",50,"1473",39611,39617,"Hilaire-Bouisses",20,22,157,"#N/A",6,2008,"Pneumatique",282
"2964TR2159","Rue Henri Maspero",50,"1471",39611,39617,"Hilaire-Bouisses",33,27,220,"#N/A",6,2008,"Pneumatique",2159
"2964TR2159","Rue Henri Maspero",50,"1470",39611,39617,"Bouisses-Hilaire",23,42,230,"#N/A",6,2008,"Pneumatique",2159
"1218TR3557","Rue Henri Lagatu",50,"818",38496,38502,"Chateau-Alco",21,454,602,"#N/A",5,2005,"Pneumatique",3557
"1218TR3557","Rue Henri Lagatu",50,"819",38496,38502,"Alco-Chateau",9,9,24,"#N/A",5,2005,"Pneumatique",3557
"2400TR3660","Rue Henri Lacordaire",50,"261",36083,36089,"Muscadet-Montalabert",72,356,1271,"#N/A",10,1998,"Pneumatique",3660
"2400TR3660","Rue Henri Lacordaire",50,"260",36083,36089,"Montalabert-Muscadet",499,260,1392,"#N/A",10,1998,"Pneumatique",3660
"1217TR820","Rue Henri Guinier",50,"1115",38973,38979,"Jean-France",371,392,4453,"#N/A",9,2006,"Pneumatique",820
"1215TR3261","Rue Henri Dunant",50,"174",35579,35585,"Martin-Mende",886,1265,12564,"#N/A",5,1997,"Pneumatique",3261
"1215TR3261","Rue Henri Dunant",50,"173",35579,35585,"Mende-Martin",1156,911,11323,"#N/A",5,1997,"Pneumatique",3261
"1206TR1852","Rue Hébert",50,"2089",40347,40353,"Hébert-Loup",39,59,499,"#N/A",6,2010,"Pneumatique",1852
"1206TR","Rue Hébert",50,"2091",40347,40353,"Loup-Hébert",26,36,174,"#N/A",6,2010,"Pneumatique",0
"1206TR","Rue Hébert",50,"2092",40347,40353,"Hébert-Loup",22,33,181,"#N/A",6,2010,"Pneumatique",0
"1206TR1852","Rue Hébert",50,"2090",40347,40353,"Loup-Hébert",42,61,509,"#N/A",6,2010,"Pneumatique",1852
"2523TR2225","Rue Gustave Eiffel",50,"1434",39525,39531,"Eiffel-Teste",249,157,1103,"#N/A",3,2008,"Pneumatique",2225
"2523TR2229","Rue Gustave Eiffel",50,"232",35906,35912,"Rosiers-Teste",71,68,420,"#N/A",4,1998,"Pneumatique",2229
"2523TR2229","Rue Gustave Eiffel",50,"231",35906,35912,"Teste-Rosiers",249,152,1198,"#N/A",4,1998,"Pneumatique",2229
"1195TR4672","Rue Guillaume Pellicier",50,"446",36998,37004,"Leroy-Salengro",790,952,11425,"#N/A",4,2001,"Pneumatique",4672
"1193TR6607","Rue Guillaume Janvier",50,"1119",38994,39000,"Angouleme-Toulouse",323,351,3026,"#N/A",10,2006,"Pneumatique",6607
"1193TR6607","Rue Guillaume Janvier",50,"1120",38994,39000,"Toulouse-Angouleme",388,361,3497,"#N/A",10,2006,"Pneumatique",6607
"1192TR1607","Rue Guillaume d'Autignac",50,"1990",40243,40249,"Luna-Républicaine",8,11,57,"#N/A",3,2010,"Pneumatique",1607
"1192TR1607","Rue Guillaume d'Autignac",50,"1987",40243,40249,"Vernols-Républicaine",14,29,147,"#N/A",3,2010,"Pneumatique",1607
"1192TR1607","Rue Guillaume d'Autignac",50,"1988",40243,40249,"Républicaine-Vernols",27,18,138,"#N/A",3,2010,"Pneumatique",1607
"1192TR1607","Rue Guillaume d'Autignac",50,"1989",40243,40249,"Républicaine-Luna",3,3,10,"#N/A",3,2010,"Pneumatique",1607
"2322TR1183","Rue Guglielmo Marconi",50,"2017",40269,40275,"Nobel-Einstein",72,66,346,"#N/A",4,2010,"Pneumatique",1183
"2322TR1183","Rue Guglielmo Marconi",50,"2016",40269,40275,"Einstein-Nobel",30,48,140,"#N/A",4,2010,"Pneumatique",1183
"2322TR1183","Rue Guglielmo Marconi",50,"1836",40065,40071,"Nobel-Einstein",34,99,240,"#N/A",9,2009,"Pneumatique",1183
"2322TR1183","Rue Guglielmo Marconi",50,"1835",40065,40071,"Einstein-Nobel",52,43,261,"#N/A",9,2009,"Pneumatique",1183
"2322TR1183","Rue Guglielmo Marconi",50,"1815",39990,39996,"Eintein-Nobel",25,16,50,"#N/A",6,2009,"Pneumatique",1183
"2322TR2322","Rue Guglielmo Marconi",50,"1816",39990,39996,"Nobel-Einstein",29,25,61,"#N/A",6,2009,"Pneumatique",2322
"1158TR5192","Rue Girard",50,"2019",40283,40289,"Fabre-Nouvelles",0,0,230,"#N/A",4,2010,"Magnétique",5192
"1158TR5192","Rue Girard",50,"2018",40283,40289,"Nouvelles-Fabre",0,0,149,"#N/A",4,2010,"Magnétique",5192
"1158TR5192","Rue Girard",50,"1919",40203,40209,"Evêque-Nouvelles",38,39,268,"#N/A",1,2010,"Pneumatique",5192
"1148TR4776","Rue Gerhardt",50,"252",36075,36081,"Doria-Jaumes",752,715,8784,"#N/A",10,1998,"Pneumatique",4776
"3137TR271","Rue Georges Méliès",50,"563",37635,37641,"France-Odysseum",19699,18574,18669,"#N/A",1,2003,"Pneumatique",271
"1140TR6729","Rue Georges Brassens",30,"1446",39585,39591,"Toulouse-Vilaret",249,244,2058,"#N/A",5,2008,"Pneumatique",6729
"1140TR6729","Rue Georges Brassens",30,"1448",39585,39591,"Toulouse-Vilaret",255,238,2075,"#N/A",5,2008,"Pneumatique",6729
"1140TR6729","Rue Georges Brassens",30,"1447",39585,39591,"Vilaret-Toulouse",199,295,2054,"#N/A",5,2008,"Pneumatique",6729
"1140TR6729","Rue Georges Brassens",30,"1449",39585,39591,"Vilaret-Toulouse",207,301,2129,"#N/A",5,2008,"Pneumatique",6729
"1140TR6729","Rue Georges Brassens",50,"203",35720,35726,"Angouleme-Toulouse",136,398,1910,"#N/A",10,1997,"Pneumatique",6729
"1140TR6729","Rue Georges Brassens",50,"202",35720,35726,"Toulouse-Angouleme",127,213,1504,"#N/A",10,1997,"Pneumatique",6729
"1141TR5929","Rue Georges Bizet",50,"1384",39465,39471,"Vachet-Arènes",21,28,186,"#N/A",1,2008,"Pneumatique",5929
"1141TR5929","Rue Georges Bizet",50,"1385",39465,39471,"Arènes-Vachet",44,37,268,"#N/A",1,2008,"Pneumatique",5929
"1133TR876","Rue Général Riu",50,"2046",40333,40339,"Strasbourg-René",21,22,143,"#N/A",6,2010,"Magnétique",876
"1129TR4717","Rue Général Maureilhan",10,"1513",39711,39717,"Courreau-Gambetta",18,9,44,"#N/A",9,2008,"Pneumatique",4717
"1127TR852","Rue Général Lafon",50,"1970",40239,40245,"Saint Jean-Leenhardt",22,17,133,"#N/A",3,2010,"Pneumatique",852
"1120TR487","Rue Gaucelin de la Garde",50,"1985",40243,40249,"Vernols-Républicaine",6,7,31,"#N/A",3,2010,"Pneumatique",487
"1120TR487","Rue Gaucelin de la Garde",50,"1986",40243,40249,"Républicaine-Vernols",9,16,93,"#N/A",3,2010,"Pneumatique",487
"3010TR2722","Rue Garibaldi",50,"1865",40088,40094,"Rome-Impasse",15,21,136,"#N/A",10,2009,"Pneumatique",2722
"3010TR2722","Rue Garibaldi",50,"1866",40088,40094,"Impasse-Rome",14,15,86,"#N/A",10,2009,"Pneumatique",2722
"3294TR6388","Rue Frédéric Pottecher",50,"1297",39347,39353,"Pottecher-Moulins",63,77,681,"R.A.S",9,2007,"Pneumatique",6388
"3294TR6388","Rue Frédéric Pottecher",50,"1298",39347,39353,"Moulins-Pottecher",10,19,111,"R.A.S",9,2007,"Pneumatique",6388
"1089TR5547","Rue Frédéric Fabrèges",50,"295",36181,36187,"Vieussens-Palavas",133,201,1105,"#N/A",1,1999,"Pneumatique",5547
"1089TR5547","Rue Frédéric Fabrèges",50,"294",36181,36187,"Palavas-Vieussens",76,98,587,"#N/A",1,1999,"Pneumatique",5547
"3265TR6225","Rue François Henry d'Harcourt",30,"1708",39876,39882,"Bulher-Laquintinie",84,59,415,"Rapport Lissé",3,2009,"Pneumatique",6225
"3265TR6225","Rue François Henry d'Harcourt",30,"1707",39876,39882,"Laquintinie-Buhler",45,137,58,"Rapport Lissé",3,2009,"Pneumatique",6225
"1079TR4901","Rue François Dezeuze",50,"1697",39871,39877,"Alpes-Laverune",270,484,3251,"Rapport Lissé",2,2009,"Pneumatique",4901
"1079TR4901","Rue François Dezeuze",50,"1696",39871,39877,"Laverune-Alpes",672,446,4207,"Rapport Lissé",2,2009,"Pneumatique",4901
"1074TR4276","Rue Francèze de Cézelli",50,"2072",40345,40351,"Lakanal-Boutonnet",30,31,194,"#N/A",6,2010,"Pneumatique",4276
"1067TR5318","Rue Four des Flammes",50,"1951",40217,40223,"Rock-Paume",73,59,526,"#N/A",2,2010,"Pneumatique",5318
"1043TR5187","Rue Foch",50,"1932",40203,40209,"Aiguillerie-Résistance",70,39,432,"#N/A",1,2010,"Pneumatique",5187
"1043TR5139","Rue Foch",50,"908",38678,38684,"Resistance-Zonep",113,96,887,"#N/A",11,2005,"Pneumatique",5139
"1043TR5187","Rue Foch",50,"909",38678,38684,"Zonep-Resistance",82,86,779,"#N/A",11,2005,"Pneumatique",5187
"1043TR5376","Rue Foch",50,"905",38678,38684,"Peyrou-Resistance",439,371,4302,"#N/A",11,2005,"Pneumatique",5376
"1043TR5376","Rue Foch",50,"904",38678,38684,"Resistance-Peyrou",341,307,3225,"#N/A",11,2005,"Pneumatique",5376
"1043TR5376","Rue Foch",50,"914",38678,38684,"Parking-Vialleton",113,113,1003,"#N/A",11,2005,"Pneumatique",5376
"1043TR5376","Rue Foch",50,"743",38251,38257,"Foch-Parking",120,97,861,"#N/A",9,2004,"Pneumatique",5376
"1043TR5375","Rue Foch",50,"746",38251,38257,"Triomphe-Prefecture",282,326,3576,"#N/A",9,2004,"Pneumatique",5375
"1043TR5375","Rue Foch",50,"747",38251,38257,"Prefecture-Triomphe",590,437,5149,"#N/A",9,2004,"Pneumatique",5375
"1043TR5187","Rue Foch",50,"753",38251,38257,"Aiguillerie-Foch",82,62,607,"#N/A",9,2004,"Pneumatique",5187
"1043TR5375","Rue Foch",50,"639",37904,37910,"Triomphe-Prefecture",563,505,5437,"#N/A",10,2003,"Pneumatique",5375
"1043TR5375","Rue Foch",50,"640",37904,37910,"Prefecture-Triomphe",174,183,1837,"#N/A",10,2003,"Pneumatique",5375
"1043TR5104","Rue Foch",50,"578",37666,37672,"Résistance-Franque",125,144,1115,"#N/A",2,2003,"Pneumatique",5104
"1043TR5104","Rue Foch",50,"579",37666,37672,"Franque-Résistance",533,455,4616,"#N/A",2,2003,"Pneumatique",5104
"1023TR84","Rue Ferdinand Fabre",50,"1926",40203,40209,"Tanneurs-Pasteur",134,79,718,"#N/A",1,2010,"Pneumatique",84
"1023TR84","Rue Ferdinand Fabre",50,"921",38692,38698,"Verdenson-Pasteur",124,76,664,"#N/A",12,2005,"Pneumatique",84
"1023TR84","Rue Ferdinand Fabre",50,"758",38272,38278,"Lakanal-Blanc",95,71,646,"#N/A",10,2004,"Pneumatique",84
"1002TR5199","Rue Fabre",50,"1917",40203,40209,"Montpellieret-Augustins",15,9,53,"#N/A",1,2010,"Pneumatique",5199
"977TR5672","Rue Ernest Michel",50,"1884",40142,40148,"Rondelet-Berthelot",381,449,4449,"#N/A",11,2009,"Pneumatique",5672
"977TR5593","Rue Ernest Michel",50,"12",35158,35164,"Rondelet-Berthelot",528,605,5383,"#N/A",4,1996,"Pneumatique",5593
"962TR4662","Rue Emile Zola",50,"1132",39003,39009,"Clapies-Cabanne",177,176,1529,"#N/A",10,2006,"Pneumatique",4662
"435TR490","Rue Emile Chartier dit Alain",50,"1971",40239,40245,"Luna-Rolland",20,34,85,"#N/A",3,2010,"Pneumatique",490
"435TR490","Rue Emile Chartier dit Alain",50,"1972",40239,40245,"Rolland-Luna",73,82,165,"#N/A",3,2010,"Pneumatique",490
"2938TR1184","Rue Edouard Villalonga",50,"1791",39969,39975,"Papin-Vinci",76,94,508,"#N/A",6,2009,"Pneumatique",1184
"2938TR1184","Rue Edouard Villalonga",50,"1790",39969,39975,"Vinci-Papin",140,106,713,"#N/A",6,2009,"Pneumatique",1184
"932TR5093","Rue Ecole de Médecine",50,"1929",40203,40209,"Henri IV-Pierre",139,68,579,"#N/A",1,2010,"Pneumatique",5093
"932TR5093","Rue Ecole de Médecine",50,"918",38692,38698,"Henri-Pierre",77,37,362,"#N/A",12,2005,"Pneumatique",5093
"2412TR2927","Rue du Vieil Aqueduc",50,"136",35556,35562,"Residence-Rue",115,87,554,"#N/A",5,1997,"Pneumatique",2927
"2412TR2927","Rue du Vieil Aqueduc",50,"137",35556,35562,"Rue-Residence",89,76,448,"#N/A",5,1997,"Pneumatique",2927
"2091TR2741","Rue du Vaccarès",50,"1727",39885,39891,"Impasse-Nice",4,6,29,"#N/A",3,2009,"Pneumatique",2741
"2091TR2741","Rue du Vaccarès",50,"1728",39885,39891,"Nice-Impasse",5,9,37,"#N/A",3,2009,"Pneumatique",2741
"2091TR2771","Rue du Vaccarès",50,"42",35297,35303,"Nice-Rousseau",6,7,52,"#N/A",8,1996,"Pneumatique",2771
"2091TR2771","Rue du Vaccarès",50,"41",35297,35303,"Rousseau-Nice",7,9,42,"#N/A",8,1996,"Pneumatique",2771
"2080TR298","Rue du Truel",9999,"CT24_2011-03-21.xls",40623,40629,"Duant-Pezet",288,172,1945,,3,2011,"Regulation",298
"2080TR298","Rue du Truel",50,"395",36697,36703,"Mende-Pezet",943,859,10184,"#N/A",6,2000,"Pneumatique",298
"2080TR3291","Rue du Truel",50,"396",36697,36703,"Pezet-Bataillon",573,422,3842,"#N/A",6,2000,"Pneumatique",3291
"2075TR4321","Rue du Triolet",50,"1812",39983,39989,"Hospices Diacon",545,435,5111,"#N/A",6,2009,"Pneumatique",4321
"2075TR4173","Rue du Triolet",50,"1348",39421,39427,"Hospices-Triolet",50,49,441,"R.A.S",12,2007,"Pneumatique",4173
"2075TR4173","Rue du Triolet",50,"1347",39421,39427,"Triolet-Hospices",7,8,31,"R.A.S",12,2007,"Pneumatique",4173
"2075TR3288","Rue du Triolet",50,"633",37894,37900,"Espeyran-Diacon",628,544,5936,"#N/A",9,2003,"Pneumatique",3288
"2075TR3288","Rue du Triolet",50,"189",35704,35710,"Espeyran-Diacon",495,412,4700,"#N/A",10,1997,"Pneumatique",3288
"1885TR4891","Rue du Roc de Pézenas",50,"1614",39787,39793,"Lavérune-Figuerolles",272,342,2288,"#N/A",12,2008,"Pneumatique",4891
"1885TR4891","Rue du Roc de Pézenas",50,"1615",39787,39793,"Figuerolles-Lavérune",291,266,1701,"#N/A",12,2008,"Pneumatique",4891
"1885TR4891","Rue du Roc de Pézenas",50,"311",36236,36242,"Laverune-Figuerolles",237,270,1983,"#N/A",3,1999,"Pneumatique",4891
"1885TR4891","Rue du Roc de Pézenas",50,"312",36236,36242,"Figuerolles-Laverune",237,270,762,"#N/A",3,1999,"Pneumatique",4891
"1835TR3977","Rue du Quatre Vingt Unième Régiment d'Infanterie",50,"1082",38877,38883,"Proudhon-Vincent",420,485,5219,"#N/A",6,2006,"Pneumatique",3977
"1835TR3977","Rue du Quatre Vingt Unième Régiment d'Infanterie",50,"242",35965,35971,"Fabre-Caizergues",856,713,6604,"#N/A",6,1998,"Pneumatique",3977
"1814TR3626","Rue du Professeur Joseph Anglada",50,"411",36838,36844,"Baitaillon-Gascogne",257,437,3939,"#N/A",11,2000,"Pneumatique",3626
"1814TR3626","Rue du Professeur Joseph Anglada",50,"412",36838,36844,"Gascogne-Bataillon",399,336,2858,"#N/A",11,2000,"Pneumatique",3626
"1808TR2548","Rue du Professeur Blayac",50,"880",38637,38643,"Blayac-Oxford",228,245,1486,"#N/A",10,2005,"Pneumatique",2548
"1808TR2512","Rue du Professeur Blayac",50,"58",35336,35342,"Alco-Europe",477,717,4764,"#N/A",9,1996,"Pneumatique",2512
"1808TR2512","Rue du Professeur Blayac",50,"57",35326,35332,"Europe-Alco",783,417,4933,"#N/A",9,1996,"Pneumatique",2512
"2241TR418","Rue du Professeur Antonin Balmès",30,"1497",39620,39626,"Jugurtha-Tiberiade",174,134,995,"Rapport Lissé",6,2008,"Pneumatique",418
"2241TR418","Rue du Professeur Antonin Balmès",30,"1498",39620,39626,"Tiberiade-Jugurtha",92,183,808,"Rapport Lissé",6,2008,"Pneumatique",418
"2241TR414","Rue du Professeur Antonin Balmès",30,"1484",39620,39626,"Tiberiade-Jugurtha",28,49,235,"#N/A",6,2008,"Pneumatique",414
"2241TR414","Rue du Professeur Antonin Balmès",30,"1483",39620,39626,"Jugurtha-Tiberiade",38,42,291,"#N/A",6,2008,"Pneumatique",414
"1793TR4181","Rue du Pous de Las Sers",50,"1676",39841,39847,"Soulas-Rech",32,37,216,"#N/A",1,2009,"Pneumatique",4181
"1793TR4181","Rue du Pous de Las Sers",50,"1675",39841,39847,"Rech-Soulas",18,24,164,"#N/A",1,2009,"Pneumatique",4181
"1781TR1989","Rue du Pont de Lavérune",50,"1694",39871,39877,"Yersin-Dezeuze",308,218,1997,"#N/A",2,2009,"Pneumatique",1989
"1781TR1989","Rue du Pont de Lavérune",50,"1695",39871,39877,"Dezeuze-Yersin",188,300,1995,"#N/A",2,2009,"Pneumatique",1989
"1781TR2011","Rue du Pont de Lavérune",50,"1545",39729,39735,"Dezeuze-Teste",315,551,3985,"#N/A",10,2008,"Pneumatique",2011
"1781TR2011","Rue du Pont de Lavérune",50,"1546",39729,39735,"Teste-Dezeuze",407,291,2846,"#N/A",10,2008,"Pneumatique",2011
"1781TR2011","Rue du Pont de Lavérune",50,"1053",38853,38859,"Yersin-Deuzeuze",445,294,3079,"#N/A",5,2006,"Pneumatique",2011
"1781TR2085","Rue du Pont de Lavérune",50,"1055",38853,38859,"Yersin-Bionne",62,174,595,"#N/A",5,2006,"Pneumatique",2085
"1781TR2085","Rue du Pont de Lavérune",50,"1054",38853,38859,"Bionne-Yersin",210,67,524,"#N/A",5,2006,"Pneumatique",2085
"1781TR2011","Rue du Pont de Lavérune",50,"1052",38853,38859,"Deuzeuze-Yersin",347,583,4417,"#N/A",5,2006,"Pneumatique",2011
"1781TR2143","Rue du Pont de Lavérune",50,"821",38496,38502,"Bionne-Yersin",110,323,723,"#N/A",5,2005,"Pneumatique",2143
"1781TR2143","Rue du Pont de Lavérune",50,"820",38496,38502,"Yersin-Bionne",141,296,738,"#N/A",5,2005,"Pneumatique",2143
"1638TR5108","Rue du Plan du Palais",50,"1935",40217,40223,"Foch-Rousseau",19,10,39,"#N/A",2,2010,"Pneumatique",5108
"1638TR5108","Rue du Plan du Palais",50,"1936",40217,40223,"Rousseau-Foch",9,11,37,"#N/A",2,2010,"Pneumatique",5108
"1749TR3190","Rue du Pioch de Boutonnet",30,"1794",39974,39980,"Justice-Aiguelongue",208,198,1791,"#N/A",6,2009,"Pneumatique",3190
"1749TR3190","Rue du Pioch de Boutonnet",30,"1795",39974,39980,"Aiguelongue-Justice",308,386,2462,"#N/A",6,2009,"Pneumatique",3190
"1749TR3128","Rue du Pioch de Boutonnet",50,"585",37699,37705,"Aiguelongue-Rostand",427,500,3564,"#N/A",3,2003,"Pneumatique",3128
"1749TR3128","Rue du Pioch de Boutonnet",50,"586",37699,37705,"Rostand-Aiguelongue",340,323,2884,"#N/A",3,2003,"Pneumatique",3128
"1749TR3128","Rue du Pioch de Boutonnet",50,"399",36698,36704,"Rostand-Aiguelongue",221,250,2439,"#N/A",6,2000,"Pneumatique",3128
"1749TR3128","Rue du Pioch de Boutonnet",50,"400",36698,36704,"Aiguelongue-Rostand",366,400,3331,"#N/A",6,2000,"Pneumatique",3128
"1749TR3183","Rue du Pioch de Boutonnet",50,"165",35578,35584,"Aiguelongue-Justice",117,107,1105,"#N/A",5,1997,"Pneumatique",3183
"1749TR3227","Rue du Pioch de Boutonnet",50,"161",35578,35584,"Nazareth-Justice",75,125,1084,"#N/A",5,1997,"Pneumatique",3227
"1749TR3227","Rue du Pioch de Boutonnet",50,"162",35578,35584,"Justice-Nazareth",154,130,1393,"#N/A",5,1997,"Pneumatique",3227
"1749TR3183","Rue du Pioch de Boutonnet",50,"166",35578,35584,"Justice-Aiguelongue",97,104,1058,"#N/A",5,1997,"Pneumatique",3183
"1745TR6668","Rue du Pilory",50,"17",35184,35190,"Guernica-Schuman",562,417,4477,"#N/A",4,1996,"Pneumatique",6668
"1744TR5000","Rue du Pila Saint Gély",50,"1922",40203,40209,"Aiguillerie-Blanc",39,23,176,"#N/A",1,2010,"Pneumatique",5000
"1744TR5000","Rue du Pila Saint Gély",50,"1923",40203,40209,"Blanc-Aiguillerie",25,10,91,"#N/A",1,2010,"Pneumatique",5000
"1744TR5000","Rue du Pila Saint Gély",50,"763",38272,38278,"Blanc-Aiguillerie",108,85,859,"#N/A",10,2004,"Pneumatique",5000
"1712TR5336","Rue du Petit Scel",50,"1945",40217,40223,"Foch-Scel",12,6,35,"#N/A",2,2010,"Pneumatique",5336
"1712TR5336","Rue du Petit Scel",50,"1944",40217,40223,"Scel-Foch",9,6,38,"#N/A",2,2010,"Pneumatique",5336
"1695TR1819","Rue du Père Cyprien Rome",50,"108",35500,35506,"Lilas-Laverune",93,134,781,"#N/A",3,1997,"Pneumatique",1819
"2183TR391","Rue du Pasteur Jean Cadier",30,"1496",39620,39626,"Tiberiade-Auric",35,44,376,"#N/A",6,2008,"Pneumatique",391
"2183TR391","Rue du Pasteur Jean Cadier",30,"1495",39620,39626,"Auric-Tiberiade",17,24,160,"#N/A",6,2008,"Pneumatique",391
"1566TR5848","Rue du Moulin des Sept Cans",50,"1770",39949,39955,"Dubout-Moulares",99,230,1405,"Rapport Lissé",5,2009,"Pneumatique",5848
"1565TR3946","Rue du Moulin de Sémalen",50,"1319",39396,39402,"Mermoz-Epidaure",127,143,915,"R.A.S",11,2007,"Pneumatique",3946
"1565TR3946","Rue du Moulin de Sémalen",50,"1320",39396,39402,"Epidaure-Mermoz",136,154,1224,"R.A.S",11,2007,"Pneumatique",3946
"1563TR319","Rue du Moulin de Gasconnet",50,"935",38727,38733,"Aiguelongue-Chenaie",502,382,3710,"#N/A",1,2006,"Pneumatique",319
"1563TR319","Rue du Moulin de Gasconnet",50,"707",38132,38138,"Montferrand-Aiguelongue",452,475,4261,"#N/A",5,2004,"Pneumatique",319
"1563TR319","Rue du Moulin de Gasconnet",50,"706",38132,38138,"Aiguelongue-Montferrand",562,534,5346,"#N/A",5,2004,"Pneumatique",319
"1563TR319","Rue du Moulin de Gasconnet",50,"198",35710,35716,"Aiguelongue-Montferrand",525,426,4239,"#N/A",10,1997,"Pneumatique",319
"1501TR434","Rue du Mas Saint Pierre",50,"1501",39620,39626,"Industrie-Eglise",350,366,2850,"Rapport Lissé",6,2008,"Pneumatique",434
"1501TR434","Rue du Mas Saint Pierre",50,"1502",39620,39626,"Eglise-Industrie",264,228,1802,"Rapport Lissé",6,2008,"Pneumatique",434
"2284TR1458","Rue du Mas Nouguier",50,"1578",39772,39778,"Comportes-Angoulème",124,114,1226,"#N/A",11,2008,"Pneumatique",1458
"1503TR1636","Rue du Mas de Villaret",50,"413",36840,36846,"Angouleme-Impasse",16,19,177,"#N/A",11,2000,"Pneumatique",1636
"1503TR1636","Rue du Mas de Villaret",50,"414",36840,36846,"Impasse-Angouleme",15,21,180,"#N/A",11,2000,"Pneumatique",1636
"2252TR1943","Rue du Mas de Perrette",50,"1824",39991,39997,"Gours-Bouisses",69,44,483,"#N/A",6,2009,"Pneumatique",1943
"2252TR1927","Rue du Mas de Perrette",50,"1826",39991,39997,"Gours-Bouisses",65,47,431,"#N/A",6,2009,"Pneumatique",1927
"2252TR1927","Rue du Mas de Perrette",50,"1825",39991,39997,"Bouisses-Gours",33,67,444,"#N/A",6,2009,"Pneumatique",1927
"2252TR1943","Rue du Mas de Perrette",50,"1823",39991,39997,"Bouisses-Gours",43,70,524,"#N/A",6,2009,"Pneumatique",1943
"1489TR661","Rue du Mas de Merle",50,"835",38520,38526,"Figuerolles-Figuairasse",164,196,1187,"Tube coupé",6,2005,"Pneumatique",661
"1489TR661","Rue du Mas de Merle",50,"229",35851,35857,"Finel-Figuairasse",140,191,1671,"#N/A",2,1998,"Pneumatique",661
"1486TR1653","Rue du Mas de Lemasson",50,"479",37166,37172,"Toulouse-Verdier",463,498,4792,"#N/A",10,2001,"Pneumatique",1653
"1481TR609","Rue du Mas de Carbonnier",30,"1809",39981,39987,"Impasse-Vauguières",5,9,37,"#N/A",6,2009,"Pneumatique",609
"1481TR609","Rue du Mas de Carbonnier",30,"1808",39981,39987,"Vauguières-Impasse",11,6,35,"#N/A",6,2009,"Pneumatique",609
"1480TR6697","Rue du Mas de Calenda",50,"449",36998,37004,"Bengalis-Castelnau",96,108,681,"#N/A",4,2001,"Pneumatique",6697
"1362TR1782","Rue du Lavandin",30,"1994",40247,40253,"Fontcouverte-Lavérune",101,131,1043,"#N/A",3,2010,"Pneumatique",1782
"1362TR1782","Rue du Lavandin",30,"1993",40247,40253,"Lavérune-Fontcouverte",117,113,989,"#N/A",3,2010,"Pneumatique",1782
"1362TR1782","Rue du Lavandin",30,"1688",39869,39875,"Laverune-Fontcouverte",107,103,936,"#N/A",2,2009,"Pneumatique",1782
"1362TR1782","Rue du Lavandin",30,"1689",39869,39875,"Fontcouverte-Laverune",99,135,1034,"#N/A",2,2009,"Pneumatique",1782
"1351TR5979","Rue du Lantissargues",50,"801",38442,38448,"Industrie-Saporta",102,95,693,"#N/A",3,2005,"Pneumatique",5979
"1351TR5979","Rue du Lantissargues",50,"802",38442,38448,"Saporta-Industrie",85,132,678,"#N/A",3,2005,"Pneumatique",5979
"1351TR5979","Rue du Lantissargues",50,"569",37642,37648,"Saporta-Industrie",150,145,1044,"#N/A",1,2003,"Pneumatique",5979
"1351TR5979","Rue du Lantissargues",50,"568",37642,37648,"Industrie-Saporta",195,527,2207,"#N/A",1,2003,"Pneumatique",5979
"1351TR5979","Rue du Lantissargues",50,"254",36070,36076,"Industrie-Restanque",162,489,2245,"#N/A",10,1998,"Pneumatique",5979
"1351TR5979","Rue du Lantissargues",50,"255",36070,36076,"Restanque-Industrie",97,124,1054,"#N/A",10,1998,"Pneumatique",5979
"1175TR5953","Rue du Grau",50,"1593",39781,39787,"Leclerc-Vachet",118,153,1123,"#N/A",11,2008,"Pneumatique",5953
"1175TR5953","Rue du Grau",50,"1592",39781,39787,"Vachet-Leclerc",246,325,2610,"#N/A",11,2008,"Pneumatique",5953
"1172TR829","Rue du Grand Saint Jean",50,"1137",39008,39014,"Strasbourg-Denis",840,1026,6447,"#N/A",10,2006,"Pneumatique",829
"1013TR4207","Rue du Faubourg Saint Jaumes",9999,"CT46_2011-03-21.xls",40623,40629,"Broussonnet-Chancel",112,105,1339,,3,2011,"Regulation",4207
"1013TR4206","Rue du Faubourg Saint Jaumes",50,"1686",39869,39875,"Rimet-Vialleton",526,529,6956,"#N/A",2,2009,"Pneumatique",4206
"1013TR4775","Rue du Faubourg Saint Jaumes",50,"253",36075,36081,"Bonnard-Vialleton",700,685,7912,"#N/A",10,1998,"Pneumatique",4775
"1012TR690","Rue du Faubourg Figuerolles",50,"1774",39962,39968,"Lavérune-Salengro",366,300,3531,"#N/A",5,2009,"Pneumatique",690
"1012TR690","Rue du Faubourg Figuerolles",50,"1775",39962,39968,"Salengro-Lavérune",394,572,5346,"#N/A",5,2009,"Pneumatique",690
"1012TR694","Rue du Faubourg Figuerolles",50,"1170",39065,39071,"Salengro-Laverune",332,495,4776,"#N/A",12,2006,"Pneumatique",694
"1012TR689","Rue du Faubourg Figuerolles",50,"1171",39065,39071,"Laverune-Salengro",405,304,2892,"#N/A",12,2006,"Pneumatique",689
