"IDENT","NOM","VLEGALE","REF","DDEBUT","DFIN","SENS","PHJM","PHJS","TJM","COMMENTAIR","MOIS","ANNEE","TYPECOMPTA","IDENTSIG"
"2481TR5402","Tunnel de la Comédie",50,"1699",39871,39877,"Tunnel-Citadelle",1301,1216,16008,"#N/A",2,2009,"Pneumatique",5402
"2481TR5401","Tunnel de la Comédie",50,"1702",39871,39877,"Parking-Tunnel",175,225,1843,"#N/A",2,2009,"Pneumatique",5401
"2481TR5401","Tunnel de la Comédie",50,"971",38759,38765,"Tunnel-Parking",183,228,1824,"#N/A",2,2006,"Pneumatique",5401
"2481TR5401","Tunnel de la Comédie",50,"972",38759,38765,"Parking-Tunnel",180,248,2194,"#N/A",2,2006,"Pneumatique",5401
"2140TR1764","Rue Vivaldi",50,"2024",40296,40302,"Fontcouverte-Schubert",6,7,28,"#N/A",4,2010,"Pneumatique",1764
"2140TR1764","Rue Vivaldi",50,"2023",40296,40302,"Schubert-Fontcouverte",47,37,334,"#N/A",4,2010,"Pneumatique",1764
"2720TR2423","Rue Virginie Montagnol",50,"1844",40075,40081,"Parking-Pilory",18,15,79,"#N/A",9,2009,"Pneumatique",2423
"2720TR2423","Rue Virginie Montagnol",50,"1843",40075,40081,"Pilory-Parking",25,36,197,"#N/A",9,2009,"Pneumatique",2423
"2524TR2226","Rue Viollet Le Duc",50,"1223",39157,39163,"Eiffel-Teste",67,54,255,"R.A.S",3,2007,"Pneumatique",2226
"2524TR2226","Rue Viollet Le Duc",50,"1222",39157,39163,"Teste-Eiffel",42,45,350,"R.A.S",3,2007,"Pneumatique",2226
"2524TR2226","Rue Viollet Le Duc",50,"233",35906,35912,"Eiffel-Teste",53,47,212,"#N/A",4,1998,"Pneumatique",2226
"2524TR2226","Rue Viollet Le Duc",50,"234",35906,35912,"Teste-Eiffel",64,57,446,"#N/A",4,1998,"Pneumatique",2226
"2953TR1299","Rue Vendémiaire",30,"1879",40135,40141,"Colomb-Thermidor",89,144,1047,"#N/A",11,2009,"Pneumatique",1299
"2953TR1300","Rue Vendémiaire",30,"1880",39692,40141,"Thermidor-Colomb",111,112,833,"#N/A",9,2009,"Pneumatique",1300
"2953TR1299","Rue Vendémiaire",50,"652",37930,37936,"Colomb-Thermidor",61,109,723,"#N/A",11,2003,"Pneumatique",1299
"2953TR1299","Rue Vendémiaire",50,"653",37930,37936,"Thermidor-Colomb",136,127,1097,"#N/A",11,2003,"Pneumatique",1299
"2096TR3031","Rue Valéry Larbaud",50,"38",35229,35235,"Senegonde-Méric",16,17,143,"#N/A",6,1996,"Pneumatique",3031
"2095TR5201","Rue Valedau",50,"1915",40203,40209,"Collot-Cour",18,15,102,"#N/A",1,2010,"Pneumatique",5201
"3108TR5988","Rue Topaze",50,"347",36489,36495,"Valery-Vaniere",80,53,391,"#N/A",11,1999,"Pneumatique",5988
"3108TR5988","Rue Topaze",50,"348",36489,36495,"Valery-Vaniere",44,56,298,"#N/A",11,1999,"Pneumatique",5988
"3108TR5988","Rue Topaze",50,"346",36489,36495,"Vaniere-Valery",31,29,158,"#N/A",11,1999,"Pneumatique",5988
"2055TR787","Rue Toiras",50,"1275",39253,39259,"Raffinerie-Vaissette",141,177,1254,"R.A.S",6,2007,"Pneumatique",787
"2043TR149","Rue Terral",50,"1947",40217,40223,"Ledru-Huile",20,12,66,"#N/A",2,2010,"Pneumatique",149
"2024TR4608","Rue Subleyras",50,"1134",39009,39015,"Louis-Marioge",17,24,163,"#N/A",10,2006,"Pneumatique",4608
"2210TR429","Rue Simone Signoret",30,"1481",39620,39626,"Tiberiade-Eglise",30,45,318,"#N/A",6,2008,"Pneumatique",429
"2210TR429","Rue Simone Signoret",30,"1480",39620,39626,"Eglise-Tiberiade",65,94,389,"#N/A",6,2008,"Pneumatique",429
"2210TR429","Rue Simone Signoret",30,"1450",39587,39593,"Eglise-Tyberiade",63,78,339,"#N/A",5,2008,"Pneumatique",429
"2210TR429","Rue Simone Signoret",30,"1451",39587,39593,"Tyberiade-Eglise",30,69,306,"#N/A",5,2008,"Pneumatique",429
"2209TR424","Rue Simone de Beauvoir",50,"1895",40184,40190,"Sartres-Signoret",30,30,274,"#N/A",1,2010,"Pneumatique",424
"2209TR424","Rue Simone de Beauvoir",50,"1896",40184,40190,"Signoret-Sartres",46,174,617,"#N/A",1,2010,"Pneumatique",424
"2209TR424","Rue Simone de Beauvoir",30,"1500",39620,39626,"Pons-Sartre",49,105,448,"#N/A",6,2008,"Pneumatique",424
"2209TR424","Rue Simone de Beauvoir",30,"1499",39620,39626,"Sartre-Pons",103,124,659,"#N/A",6,2008,"Pneumatique",424
"2002TR4133","Rue Sébastien Lenormand",50,"1735",39899,39905,"Grasset-Atgier",9999,9999,9999,"Compteur défectueux",3,2009,"Pneumatique",4133
"1960TR2907","Rue Saint-Priest",50,"2102",40359,40365,"Villa-Moulin",109,75,617,"#N/A",6,2010,"Pneumatique",2907
"1960TR2907","Rue Saint-Priest",50,"2101",40359,40365,"Moulin-Villa",134,291,1260,"#N/A",6,2010,"Pneumatique",2907
"1960TR2910","Rue Saint-Priest",50,"2099",40359,40365,"Moulin-Villa",281,250,2215,"#N/A",6,2010,"Pneumatique",2910
"1960TR2910","Rue Saint-Priest",50,"2100",40359,40365,"Villa-Moulin",309,205,1893,"#N/A",6,2010,"Pneumatique",2910
"1960TR3448","Rue Saint-Priest",50,"1968",40194,40200,"Soulas-Moulins",35,62,363,"#N/A",1,2010,"Pneumatique",3448
"1960TR3448","Rue Saint-Priest",50,"1969",40194,40200,"Moulins-Soulas",146,164,1112,"#N/A",1,2010,"Pneumatique",3448
"1960TR3449","Rue Saint-Priest",50,"1407",39514,39520,"Puech-Moulins",281,337,2231,"#N/A",3,2008,"Pneumatique",3449
"1960TR3449","Rue Saint-Priest",50,"1408",39514,39520,"Moulins-Puech",413,286,2609,"#N/A",3,2008,"Pneumatique",3449
"1960TR2908","Rue Saint-Priest",50,"1409",39514,39520,"Puech-Moulins",193,204,1322,"#N/A",3,2008,"Pneumatique",2908
"1960TR2908","Rue Saint-Priest",50,"1410",39514,39520,"Moulins-Puech",354,237,1900,"#N/A",3,2008,"Pneumatique",2908
"1960TR3449","Rue Saint-Priest",50,"1406",39512,39518,"Priest-Moulins",161,195,1534,"#N/A",3,2008,"Pneumatique",3449
"1960TR2907","Rue Saint-Priest",50,"700",38100,38106,"Moulins-Villa",143,282,1250,"#N/A",4,2004,"Pneumatique",2907
"1960TR2907","Rue Saint-Priest",50,"701",38100,38106,"Villa-Moulins",96,85,565,"#N/A",4,2004,"Pneumatique",2907
"1960TR2910","Rue Saint-Priest",50,"689",38063,38069,"Moulins-Villa",230,214,1904,"#N/A",3,2004,"Pneumatique",2910
"1960TR2908","Rue Saint-Priest",50,"690",38063,38069,"Villa-Moulins",153,150,1153,"#N/A",3,2004,"Pneumatique",2908
"1960TR2910","Rue Saint-Priest",50,"688",38063,38069,"Villa-Moulins",287,230,2174,"#N/A",3,2004,"Pneumatique",2910
"1960TR2908","Rue Saint-Priest",50,"691",38063,38069,"Moulins-Villa",252,197,1562,"#N/A",3,2004,"Pneumatique",2908
"1960TR3439","Rue Saint-Priest",50,"361",36563,36569,"Moulins-Soulas",54,116,741,"#N/A",2,2000,"Pneumatique",3439
"2660TR3634","Rue Sainte Barbe",50,"1761",39939,39945,"Adanson-Bologne",201,168,1174,"#N/A",5,2009,"Pneumatique",3634
"2660TR3634","Rue Sainte Barbe",50,"1762",39939,39945,"Bologne-Adanson",161,255,1213,"#N/A",5,2009,"Pneumatique",3634
"2660TR3634","Rue Sainte Barbe",50,"538",37525,37531,"Clairiere-Badie",39,37,359,"#N/A",9,2002,"Pneumatique",3634
"2660TR3634","Rue Sainte Barbe",50,"537",37525,37531,"Badie-Clairiere",39,45,355,"#N/A",9,2002,"Pneumatique",3634
"1967TR4085","Rue Saint Vincent de Paul",50,"1322",39400,39406,"Mende-81 emes",196,264,1455,"R.A.S",11,2007,"Pneumatique",4085
"1967TR4085","Rue Saint Vincent de Paul",50,"1321",39400,39406,"81emes-Mende",650,557,5290,"R.A.S",11,2007,"Pneumatique",4085
"1967TR4085","Rue Saint Vincent de Paul",50,"1047",38849,38855,"Epee-Mende",836,802,8111,"#N/A",5,2006,"Pneumatique",4085
"1967TR4084","Rue Saint Vincent de Paul",50,"528",37420,37426,"Infanterie-Mende",1136,1078,11332,"#N/A",6,2002,"Pneumatique",4084
"1967TR4084","Rue Saint Vincent de Paul",50,"81",35355,35361,"Caizergues-Mende",1181,949,10441,"#N/A",10,1996,"Pneumatique",4084
"1951TR5394","Rue Saint Louis",50,"1135",39003,39009,"Arceaux-Beaulieu",794,772,9839,"#N/A",10,2006,"Pneumatique",5394
