"REG","uu","dc","nomc","iris","nom","note","A","AH","AF","AHLt25","AFLt25","AH2549","AF2549","AHGe50","AFGe50","BE","XEH","XEF","BTc","BTp","BCsC","BCs4","BCs5","BCs6","BCs6Q","BCs6NQ","BTypeA","BDom2","BDom3","BDom4","BDom5","BDom6","BDom7","BDom8","BDom9","CA17AZ","CA17DE","CA17C1","CA17C2","CA17C3","CA17C4","CA17C5","CA17FZ","CA17GZ","CA17HZ","CA17IZ","CA17JZ","CA17KZ","CA17LZ","CA17MN","CA17OQ","CA17RU"
"Code région","Code unité urbaine (agglomération)","Code département / commune","Nom de la commune","Code IRIS","Nom de la zone","Disponibilité (voir documentation)","Salariés","Hommes","Femmes","Hommes de moins de 25 ans","Femmes de moins de 25 ans","Hommes de 25 à moins de 50 ans","Femmes de 25 à moins de 50 ans","Hommes de 50 ans et +","Femmes de 50 ans et +","Etrangers","Hommes étrangers","Femmes étrangères","Temps complet","Temps partiel","CSP des salariés : Chefs d’entreprises et cadres","CSP des salariés : Professions intermédiaires","CSP des salariés : Employés","CSP des salariés : Ouvriers","CSP des salariés : Ouvriers qualifiés","CSP des salariés : Ouvriers non qualifiés","CSP des salariés : Apprentis","Domaine d'emploi : Collectivités territoriales","Domaine d'emploi : Établissements publics locaux","Domaine d'emploi : Établissements sanitaires et médico-sociaux","Domaine d'emploi : Établissements publics nationaux","Domaine d'emploi : EPIC","Domaine d'emploi : Associations","Domaine d'emploi : Entreprises individuelles et particuliers employeurs","Domaine d'emploi : Sociétés","Activité A17 : AZ-Agriculture, sylviculture, et pêche","Activité A17 : DE-Industries extractives,  énergie, eau, gestion des déchets et dépollution","Activité A17 : C1-Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac","Activité A17 : C2-Cokéfaction et raffinage","Activité A17 : C3-Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines","Activité A17 : C4-Fabrication de matériels de transport","Activité A17 : C5-Fabrication d'autres produits industriels","Activité A17 : FZ-Construction","Activité A17 : GZ-Commerce ; réparation d'automobiles et de motocycles","Activité A17 : HZ-Transports et entreposage","Activité A17 : IZ-Hébergement et restauration","Activité A17 : JZ-Information et communication","Activité A17 : KZ-Activités financières et d'assurance","Activité A17 : LZ-Activités immobilières","Activité A17 : MN-Activités scientifiques et techniques ; services administratifs et de soutien","Activité A17 : OQ-Administration publique, enseignement, santé humaine et action sociale","Activité A17 : RU-Autres activités de services"
"91","34701","34172","Montpellier","0102","VERT BOIS",0,2155,1100,1055,337,456,679,499,84,100,469,313,156,1244,906,239,411,890,483,192,291,31,60,45,143,178,37,245,152,1295,49,7,21,0,30,3,21,61,283,41,305,72,38,17,617,447,143
"91","34701","34172","Montpellier","0103","SAINT-ELOI",0,1050,530,520,150,182,332,288,48,50,170,101,69,691,359,124,237,363,195,112,83,15,21,17,170,57,23,133,72,557,0,7,14,0,6,1,20,35,110,21,103,40,17,16,263,312,85
"91","34701","34172","Montpellier","0105","LAPEYRONIE",0,1151,576,575,137,166,395,338,44,71,190,144,46,749,402,182,275,373,195,91,104,10,37,19,196,75,17,133,61,613,18,5,11,1,14,1,15,36,133,12,109,40,27,7,269,392,61
"91","34701","34172","Montpellier","0106","OCCITANIE",0,1683,777,906,223,331,519,517,35,58,279,161,118,1134,548,187,376,624,312,157,155,29,52,29,190,123,31,180,92,986,7,6,15,0,29,1,26,53,229,46,154,60,45,20,443,449,100
"91","34701","34172","Montpellier","0108","EUROMÉDECINE",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","0109","MALBOSC",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91","34701","34172","Montpellier","0201","LUNARET",0,110,56,54,15,32,38,21,3,1,23,15,8,54,56,13,22,49,18,9,9,2,2,6,4,12,3,17,9,57,0,0,0,0,1,0,1,0,11,1,23,3,1,1,32,24,12
"91","34701","34172","Montpellier","0202","AIGUELONGUE",0,868,441,427,90,116,240,211,111,100,80,46,34,551,314,263,208,244,101,50,51,13,47,18,106,50,29,105,51,462,0,5,7,0,16,0,18,16,79,21,67,37,31,7,236,274,54
"91","34701","34172","Montpellier","0203","MERIC",0,1385,665,720,119,126,441,470,105,124,124,67,57,993,386,348,349,424,176,105,71,27,75,39,116,78,39,177,68,793,1,8,21,0,26,1,32,50,176,42,90,69,46,15,301,425,82
"91","34701","34172","Montpellier","0204","JUSTICE",0,1798,886,912,171,209,602,553,113,150,257,154,103,1222,572,285,388,640,377,196,181,29,110,45,152,89,38,241,109,1014,2,26,29,0,12,1,42,78,213,53,117,75,46,27,443,524,110
