"RÚgIE_ENTR","PROJET_O_N","DOM_PUBLIC","DOSSIER","O_N","NOM","CANTON","SS_QUARTIE","QUARTIER","QUARTIER0","SECTEUR","LIBSECTEUR","CAT?GORIE","LIBCATÚgOR","DATE_CR?AT","ADRESSE","PELOUSES","FLEURS","ARBUSTES","JEUX","ALL?ES","FRICHE","JARDINIERE","HAIES_LONG","WC_O_N","D?POT_JARD","ECLAIRAGE_","V?G?TAUX","BORNE_FONT","BASSINS_FO","DATE_MODIF","COORDONN?E","N_GEST","_LIBGESTI","N_MOEUVRE","_1_LIBGES","DATE_FICHE","GROUPE_ENT","LIBGROUPE","EAU_SURFAC","ROSIERS_SU","FEUILLUS_U","CONIFERE_U","PRAIRIE","PALMIERS_Q","BOISEMENT","XCOORD","YCOORD","ALLÚeS_NON","VIVACES","PROPRIÚt?","LIBPROPRI","UNIFIÚe","LIBTYPOLOG","SEV","NON_SEV","TOTALE","ARBRES","HORTICOLE","HISTORIQUE","ECOLOGIE","ACTIVIT?","COMPOSITIO","ZONE","CL¶tURÚ_O_","FERMETURE","LIBFERMETU","HANDICAPÚs","HANDICAP0","LIBEVOLUTI","ACCESSIBIL","MODIFICATI","TRAML1","BUS","MSEC","BALAYAGESE","NOMCOURT","LONGITUDE","LATITUDE"
"Non","Non","19920316",299,"Non","M.P.T. Boris Vian",5,14,"Les Aiguerelles","PrÞs d'ArÞnes","I","PrÞs d'ArÞnes","Mpt.","Maison Pour Tous",,"Rue de l'AmÚthyste",0,0,56,0,0,0,0,98,"Non","Non","Non","olivier, cerisier,mÚlia",0,0,35242,"M7",11,"Maisons pour tous",1,"SEV",33679,2,"Normal",0,0,0,0,90,0,0,"725529,91184034","145253,37229215",900,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",146,0,1046,0,0,0,0,0,0,"Sud","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"16 - Luculus (196 m)",0,"Non","M.P.T. B Vian","3,891378","43,596552"
"Non","Non","19910601",419,"Non","M.P.T. Fanfone Guillerme",7,5,"Alco","Les CÚvennes","H","CÚvennes","Mpt.","Maison Pour Tous","19910601","rue des avants monts",1720,0,30,0,0,0,0,102,"Non","Non","Non","pin noir,liquidamb,10 mÚlias",0,0,35242,"F12",11,"Maisons pour tous",1,"SEV",33792,2,"Normal",0,0,0,0,0,0,0,"721448,73033893","148044,50945288",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",1750,0,1750,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"16 - Sainte-GeneviÞve (117 m)",0,"Non","M.P.T. F Guillerme","3,841471","43,622353"
"Oui","Non","19900926",454,"Non","M.P.T. Saint-ExupÚry",8,4,"La Martelle","Les CÚvennes","H","CÚvennes","Mpt.","Maison Pour Tous","19900926","rue Oulette",0,0,10,0,0,0,0,0,"Non","Non","Oui","6 cyprÞs, 1 sophora",0,0,35242,"F7",1,"SEV",47,"UPEE7",33637,2,"Normal",0,0,1,6,0,0,0,"721286,23982641","145325,89393098",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",10,0,10,7,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",39538,,"11 - CollÞge M. Pagnol (240 m)",0,"Non","M.P.T. St-ExupÚry","3,838844","43,597913"
"Non","Non","19910501",463,"Non","M.P.T. Joseph Ricome",7,20,"Les Arceaux","Centre","B","Peyrou","Mpt.","Maison Pour Tous","19910501","Rue PagÞs",300,0,35,0,0,0,0,0,"Non","Non","Non","6 trachycarpus fortunei",0,0,35242,"i9",11,"Maisons pour tous",1,"SEV",33676,2,"Normal",0,10,0,0,0,6,0,"723415,64330873","146553,92701526",60,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",345,0,405,6,0,0,0,0,0,"Centre","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"11 - Renouvier (148 m)",0,"Non","M.P.T. Ricome","3,865496","43,608612"
"Non","Non","19930101",539,"Non","MÚdiathÞque Victor Hugo",6,11,"Croix d'Argent","Croix d'Argent","W","Croix d'Argent","Mpt.","Maison Pour Tous","19930101","Rue Guillaume Janvier",200,0,100,0,0,0,0,0,"Non","Non","Non","10 frÛnes, 5 pins",0,0,35242,"i7",14,"Sce Aff. Culturelles",1,"SEV",33633,2,"Normal",0,0,10,5,0,0,0,"723419,53215024","145169,18412881",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",300,0,300,15,0,0,0,0,0,"Sud","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,"2 - Mas Drevon (323 m)","6 - Guillaume Janvier (203 m)",0,"Non","MÚdiathÞque V Hugo","3,865455","43,596561"
"Non","Non","20000317",655,"Non","Boisement rue Ripoll Lemasson",6,10,"Lemasson","Croix d'Argent","W","Croix d'Argent","Mpt.","Maison Pour Tous","20000317","rue Ripoll",0,0,100,0,0,0,0,0,"Non","Non","Non",,0,0,,"J6",1,"SEV",1,"SEV",36605,3,"Rustique",0,0,0,0,474,0,0,"723901,22297746","144804,26365049",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",574,0,574,0,0,0,0,0,0,"Sud","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,"2 - Lemasson (178 m)","5 - Saint-Georges (201 m)",0,"Non","Bois Ripoll Lemasson","3,871106","43,592785"
"Oui","Non","19941118",764,"Non","M.P.T. AndrÚ Chamson",10,4,"La Martelle","Les CÚvennes","H","CÚvennes","Mpt.","Maison Pour Tous","19941118","Rue Gustave Eiffel",0,0,175,0,0,0,0,38,"Non","Non","Oui","8 melias, 10 m¹riers-platane",0,0,35242,"E9",1,"SEV",47,"UPEE7",34659,3,"Rustique",0,0,18,0,262,0,0,"720984,06633126","146573,26611895",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",437,0,437,18,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",39847,,"7 - La Colline (34 m)",0,"Non","M.P.T. A Chamson","3,835384","43,609189"
"Non","Non","20011009",947,"Non","MPT Franþois de Malherbe",8,15,"Figuerolles","Centre","B","Peyrou","Mpt.","Maison Pour Tous","20011009","Rue Franþois de Malherbe",0,0,100,0,0,0,0,30,"Non","Non","Non",,0,0,,"i9",11,"Maisons pour tous",1,"SEV",37194,2,"Normal",0,0,0,2,0,0,0,"722912,51130133","146214,33655862",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",100,0,100,2,0,0,0,0,0,"Centre","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",39374,,"11 - CitÚ GÚly (121 m)",0,"Non","MPT de Malherbe","3,859186","43,60564"
"Non","Non","19700101",145,"Non","Maternelle Madeleine Renaud (Salamanque)",9,2,"La Mosson","La Mosson","G","Mosson","Mat.","Maternelle","19700101","Rue de Barcelone",0,0,75,0,0,0,0,63,"Non","Non","Non",,0,0,34445,"B12",56,"Ecoles maternelles",1,"SEV",33634,2,"Normal",0,0,0,0,0,0,0,"719547,29705173","148191,12928791",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",75,0,75,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,"1 - Mosson (267 m)","15 - Trident (92 m)",0,"Non","Mat M Renaud","3,817949","43,623983"
"Non","Non","19700101",146,"Non","Maternelle Pablo Neruda (Barcelone)",9,2,"La Mosson","La Mosson","G","Mosson","Mat.","Maternelle","19700101","Rue de Salamanque",0,0,140,0,140,0,0,70,"Non","Non","Non",,0,0,34445,"B12",56,"Ecoles maternelles",1,"SEV",33633,2,"Normal",0,0,0,0,100,0,0,"719587,44671265","148094,22356182",0,0,1,"Ville de Montpellier","EV Útablissements sociaux ou Úducatifs","EV Útablissements sociaux ou Úducatifs",380,0,380,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,"1 - Mosson (187 m)","15 - Trident (162 m)",0,"Non","Mat P Neruda","3,818424","43,623105"
