Identifiant Observation,Ordre Observation,Nom Sélectionné,Numéro Nomenclatural Nom Selectionné,Nom Retenu,Numéro Nomenclatural Nom Retenu,Numéro Taxonomique,Famille,Référentiel Taxonomique,Code Insee,Commune,Lieu-Dit,Station,Milieu,Latitude,Longitude,Référentiel Géographique,Date Observation,Mots Clés,Commentaires,Date Création,Date Modification,Date Transmission
71,12,Allium ursinum,74946,Allium ursinum L.,74946,29938,Amaryllidaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Jardin botanique,,,"43,61528","3,87174",WGS84,2007-04-18 00:00:00,,234,2007-04-18 11:44:04,2010-05-06 18:34:30,2007-05-27 19:13:18
72,11,Scrophularia canina,61979,Scrophularia canina,61979,5459,Scrophulariaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Jardin botanique,,,,,,2007-04-18 00:00:00,,234,2007-04-18 11:43:20,2007-05-27 19:13:18,2007-05-27 19:13:18
85,1,Acer monspessulanum,182,Acer monspessulanum L.,182,8523,Sapindaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Jardin des plantes,,,,,,2007-05-10 00:00:00,,,2007-05-10 10:28:02,2007-05-10 10:29:23,2007-05-10 10:28:36
3710,9,Diplotaxis erucoides (L.) DC.,75095,Diplotaxis erucoides (L.) DC.,75095,30087,Brassicaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Plan des 4 seigneurs,,,,,,2008-03-05 00:00:00,,,2008-03-05 23:25:53,2008-03-05 23:27:12,2008-03-05 23:27:12
3711,10,Capsella bursa-pastoris (L.) Medik.,75016,Capsella bursa-pastoris (L.) Medik.,75016,30008,Brassicaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Quartier St Clément,,,,,,2008-03-06 00:00:00,,,2008-03-06 19:35:31,2008-03-07 21:29:57,2008-03-06 19:35:44
3757,51,Sonchus oleraceus L.,65205,Sonchus oleraceus L.,65205,1232,Asteraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Campus SupAgro-INRA,,,,,,2008-03-07 00:00:00,,,2008-03-07 21:25:47,2008-03-07 21:27:40,2008-03-07 21:27:40
3758,52,Cardamine hirsuta L.,12878,Cardamine hirsuta L.,12878,1592,Brassicaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Campus SupAgro-INRA,,,,,,2008-03-07 00:00:00,,,2008-03-07 21:27:09,2008-03-07 21:27:40,2008-03-07 21:27:40
3759,53,Veronica persica Poir.,71290,Veronica persica Poir.,71290,5522,Plantaginaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Campus SupAgro-INRA,,,,,,2008-03-07 00:00:00,,,2008-03-07 21:51:51,2008-03-07 21:52:15,2008-03-07 21:52:15
3788,80,Malva sylvestris L.,40893,Malva sylvestris L.,40893,3831,Malvaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Quartier St Clément,,,,,,2008-03-09 00:00:00,,,2008-03-09 11:15:48,2008-03-09 11:22:08,2008-03-09 11:22:08
3789,81,Euphorbia helioscopia L.,25914,Euphorbia helioscopia L.,25914,2710,Euphorbiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Quartier St Clément,,,,,,2008-03-09 00:00:00,,,2008-03-09 11:19:56,2008-03-09 11:22:08,2008-03-09 11:22:08
3804,82,Fumaria capreolata L.,75465,Fumaria capreolata L.,75465,30457,Papaveraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Quartier St Clément,,,,,,2008-03-09 00:00:00,,,2008-03-11 21:00:32,2008-03-11 21:00:40,2008-03-11 21:00:40
3814,83,Symphytum orientale L.,66629,Symphytum orientale L.,66629,1460,Boraginaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Jardin des plantes,,,,,,2008-03-14 00:00:00,,,2008-03-14 22:19:03,2008-03-14 22:19:17,2008-03-14 22:19:17
3877,84,Ornithogalum umbellatum L.,46526,Ornithogalum umbellatum L.,46526,6360,Asparagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Quartier St Clément,,,,,,2008-03-24 00:00:00,,,2008-03-24 20:58:21,2008-03-24 21:06:05,2008-03-24 21:06:05
4316,96,Scrophularia peregrina L.,62024,Scrophularia peregrina L.,62024,5465,Scrophulariaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Centre Ville,,,,,,2008-04-11 00:00:00,,,2008-04-11 21:22:40,2008-04-11 21:22:44,2008-04-11 21:22:44
6797,6495,Arundo donax L.,7099,Arundo donax L.,7099,6639,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-13 16:45:46,2008-06-19 16:02:36,2010-10-27 15:39:24
6800,6498,Bromus madritensis L.,10881,Bromus madritensis L.,10881,6708,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-13 16:47:05,2008-06-19 17:58:26,2010-10-27 15:39:24
6825,6509,Fumaria capreolata L.,75465,Fumaria capreolata L.,75465,30457,Papaveraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 07:45:15,2008-06-19 18:34:24,2010-10-27 15:39:24
6828,6512,Hordeum murinum L.,34857,Hordeum murinum L.,34857,6955,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 07:50:20,2008-06-19 16:01:43,2010-10-27 15:39:24
6832,6516,Malva sylvestris L.,40893,Malva sylvestris L.,40893,3831,Malvaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 07:51:58,2008-06-19 16:12:39,2010-10-27 15:39:24
6834,6518,Papaver rhoeas L.,75277,Papaver rhoeas L.,75277,30269,Papaveraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 07:53:44,2008-06-19 16:13:52,2010-10-27 15:39:24
6835,6519,Phalaris arundinacea L.,48632,Phalaris arundinacea L.,48632,7043,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 07:54:06,2008-06-19 17:57:22,2010-10-27 15:39:24
6843,6527,Urtica dioica L.,70396,Urtica dioica L.,70396,14875,Urticaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 07:58:43,2008-06-19 17:56:15,2010-10-27 15:39:24
6881,6564,Alliaria petiolata (M.Bieb.) Cavara & Grande,2913,Alliaria petiolata (M.Bieb.) Cavara & Grande,2913,1468,Brassicaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-05-21 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 08:22:57,2008-06-27 19:49:09,2010-10-27 15:39:24
6884,6567,Artemisia annua L.,6765,Artemisia annua L.,6765,430,Asteraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:25:55,2008-06-29 11:16:53,2010-10-27 15:39:24
6885,6568,Arum italicum Mill.,7024,Arum italicum Mill.,7024,8677,Araceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:26:41,2008-06-29 11:16:29,2010-10-27 15:39:24
6886,6569,Asparagus acutifolius L.,7214,Asparagus acutifolius L.,7214,6269,Asparagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:27:01,2008-06-29 11:16:01,2010-10-27 15:39:24
6887,6570,Avena fatua L.,75451,Avena sativa subsp. fatua (L.) Thell.,101790,6645,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:27:23,2008-06-29 11:15:39,2010-10-27 15:39:24
6888,6571,Ballota nigra L.,9097,Ballota nigra L.,9097,3523,Lamiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:28:32,2008-06-29 11:13:03,2010-10-27 15:39:24
6889,6572,Bellis perennis L.,9408,Bellis perennis L.,9408,493,Asteraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:28:50,2008-06-29 11:12:30,2010-10-27 15:39:24
6892,6575,Bromus madritensis L.,10881,Bromus madritensis L.,10881,6708,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:30:08,2008-06-29 11:12:07,2010-10-27 15:39:24
6893,6576,Bromus sterilis L.,11176,Bromus sterilis L.,11176,6720,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-05-21 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 08:30:33,2008-06-27 19:48:06,2010-10-27 15:39:24
6894,6577,Cardamine hirsuta L.,12878,Cardamine hirsuta L.,12878,1592,Brassicaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:30:53,2008-06-29 11:11:42,2010-10-27 15:39:24
6895,6578,Carduus pycnocephalus L.,75026,Carduus pycnocephalus L.,75026,30018,Asteraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:31:17,2008-06-29 11:11:14,2010-10-27 15:39:24
6897,6580,Carex cuprina (Sandor ex Heuff.) Nendtv. ex A.Kern.,13609,Carex cuprina (Sandor ex Heuff.) Nendtv. ex A.Kern.,13609,5877,Cyperaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:32:19,2008-06-29 11:10:43,2010-10-27 15:39:24
6899,6582,Chelidonium majus L.,16703,Chelidonium majus L.,16703,4026,Papaveraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:33:06,2008-06-29 11:10:12,2010-10-27 15:39:24
6900,6583,Clematis vitalba L.,18235,Clematis vitalba L.,18235,4436,Ranunculaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:33:22,2008-06-29 11:09:49,2010-10-27 15:39:24
6901,6584,Cornus sanguinea L.,75064,Cornus sanguinea L.,75064,30056,Cornaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:33:47,2008-06-29 11:09:24,2010-10-27 15:39:24
6902,6585,Crepis sancta subsp. nemausensis (Vill.) Babc.,19756,Crepis sancta subsp. nemausensis (Vill.) Babc.,19756,734,Asteraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:34:18,2008-06-29 11:09:00,2010-10-27 15:39:24
6903,6586,Diplotaxis erucoides (L.) DC.,75095,Diplotaxis erucoides (L.) DC.,75095,30087,Brassicaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:34:46,2008-06-29 11:08:19,2010-10-27 15:39:24
6907,6590,Erodium malacoides (L.) L'Hér.,75116,Erodium malacoides (L.) L'Hér.,75116,30108,Geraniaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:37:07,2008-06-29 11:07:47,2010-10-27 15:39:24
6908,6591,Euphorbia helioscopia L.,25914,Euphorbia helioscopia L.,25914,2710,Euphorbiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:37:29,2008-06-29 11:07:09,2010-10-27 15:39:24
6909,6592,Euphorbia peplus L.,25996,Euphorbia peplus L.,25996,7570,Euphorbiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:38:15,2008-06-29 11:06:46,2010-10-27 15:39:24
6910,6593,Ficus carica L.,75134,Ficus carica L.,75134,30126,Moraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:38:35,2008-06-29 11:06:25,2010-10-27 15:39:24
6911,6594,Fumaria capreolata L.,75465,Fumaria capreolata L.,75465,30457,Papaveraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:38:54,2008-06-29 11:06:03,2010-10-27 15:39:24
6913,6596,Galium aparine L.,28896,Galium aparine L.,28896,5037,Rubiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:39:28,2008-06-29 11:05:35,2010-10-27 15:39:24
6914,6597,Geranium molle L.,75468,Geranium molle L.,75468,30460,Geraniaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:39:48,2008-06-29 11:05:13,2010-10-27 15:39:24
6916,6599,Hedera helix L.,30892,Hedera helix L.,30892,329,Araliaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:40:28,2008-06-29 11:03:49,2010-10-27 15:39:24
6917,6600,Hordeum murinum L.,34857,Hordeum murinum L.,34857,6955,Poaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:40:52,2008-06-29 11:03:29,2010-10-27 15:39:24
6918,6601,Iris foetidissima L.,35917,Iris foetidissima L.,35917,6097,Iridaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:41:20,2008-06-29 11:03:09,2010-10-27 15:39:24
6920,6603,Lamium purpureum L.,37538,Lamium purpureum L.,37538,3568,Lamiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:41:54,2008-06-29 11:02:48,2010-10-27 15:39:24
6921,6604,Lapsana communis L.,37660,Lapsana communis L.,37660,997,Asteraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:42:12,2008-06-29 11:02:22,2010-10-27 15:39:24
6923,6606,Laurus nobilis L.,38070,Laurus nobilis L.,38070,3750,Lauraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:42:47,2008-06-29 11:01:44,2010-10-27 15:39:24
6924,6607,Malva sylvestris L.,40893,Malva sylvestris L.,40893,3831,Malvaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-05-21 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 08:43:21,2008-06-27 19:45:22,2010-10-27 15:39:24
6925,6608,Medicago minima (L.) L.,41349,Medicago minima (L.) L.,41349,3032,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:43:46,2008-06-29 11:01:18,2010-10-27 15:39:24
6927,6610,Melittis melissophyllum L.,75243,Melittis melissophyllum L.,75243,30235,Lamiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:44:34,2008-06-29 11:00:51,2010-10-27 15:39:24
6928,6611,Mercurialis annua L.,42320,Mercurialis annua L.,42320,2751,Euphorbiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:47:51,2008-06-29 11:00:23,2010-10-27 15:39:24
6929,6612,Nigella damascena L.,44101,Nigella damascena L.,44101,4465,Ranunculaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:48:29,2008-06-29 10:58:47,2010-10-27 15:39:24
6930,6613,Ornithogalum umbellatum L.,46526,Ornithogalum umbellatum L.,46526,6360,Asparagaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:48:49,2008-06-29 10:58:26,2010-10-27 15:39:24
6931,6614,Osyris alba L.,47074,Osyris alba L.,47074,5184,Santalaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:49:12,2008-06-29 10:58:06,2010-10-27 15:39:24
6933,6616,Phillyrea angustifolia L.,48852,Phillyrea angustifolia L.,48852,3958,Oleaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:50:20,2008-06-29 10:57:42,2010-10-27 15:39:24
6934,6617,Pistacia lentiscus L.,49751,Pistacia lentiscus L.,49751,55,Anacardiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:50:38,2008-06-29 10:57:09,2010-10-27 15:39:24
6935,6618,Plantago lanceolata L.,49948,Plantago lanceolata L.,49948,4094,Plantaginaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-05-21 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 08:50:58,2008-06-27 19:55:22,2010-10-27 15:39:24
6937,6620,Polygonum persicaria L.,51630,Persicaria maculosa Gray,48340,4236,Polygonaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 08:51:48,2008-06-29 10:56:38,2010-10-27 15:39:24
6938,6621,Ranunculus acris L.,54682,Ranunculus acris L.,54682,4490,Ranunculaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:03:45,2008-06-29 10:56:19,2010-10-27 15:39:24
6939,6622,Ranunculus ficaria L.,54960,Ranunculus ficaria L.,54960,4516,Ranunculaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:04:02,2008-06-29 10:56:01,2010-10-27 15:39:24
6941,6624,Rubus cf. ulmifolius,0,,0,0,,,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-05-21 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 09:04:52,2008-06-27 19:50:10,2010-10-27 15:39:24
6942,6625,Rumex pulcher L.,58852,Rumex pulcher L.,58852,4280,Polygonaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:05:08,2008-06-29 10:55:26,2010-10-27 15:39:24
6943,6626,Sambucus nigra L.,60241,Sambucus nigra L.,60241,1968,Adoxaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:05:33,2008-06-29 10:54:57,2010-10-27 15:39:24
6944,6627,Sanguisorba minor Scop.,60289,Sanguisorba minor Scop.,60289,4976,Rosaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:05:51,2008-07-29 12:13:54,2010-10-27 15:39:24
6945,6628,Scirpoides holoschoenus (L.) Soják,61535,Scirpoides holoschoenus (L.) Soják,61535,6047,Cyperaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-05-21 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 09:06:09,2008-06-27 20:13:11,2010-10-27 15:39:24
6947,6630,Senecio vulgaris L.,63096,Senecio vulgaris L.,63096,1203,Asteraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:06:50,2008-06-29 10:54:09,2010-10-27 15:39:24
6948,6631,Silene latifolia Poir.,64191,Silene latifolia Poir.,64191,14524,Caryophyllaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:07:19,2008-06-29 10:53:44,2010-10-27 15:39:24
6949,6632,Smyrnium olusatrum L.,64837,Smyrnium olusatrum L.,64837,301,Apiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:07:35,2008-06-29 10:53:22,2010-10-27 15:39:24
6952,6635,Syringa vulgaris L.,66663,Syringa vulgaris L.,66663,3962,Oleaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:15:50,2008-06-29 10:53:00,2010-10-27 15:39:24
6953,6636,Tordylium maximum L.,68543,Tordylium maximum L.,68543,306,Apiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:16:08,2008-06-29 10:52:37,2010-10-27 15:39:24
6954,6637,Ulmus minor Mill.,70296,Ulmus minor Mill.,70296,14872,Ulmaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:16:35,2008-06-29 10:52:13,2010-10-27 15:39:24
6955,6638,Urtica dioica L.,70396,Urtica dioica L.,70396,14875,Urticaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:16:53,2008-06-29 10:51:46,2010-10-27 15:39:24
6956,6639,Veronica persica Poir.,71290,Veronica persica Poir.,71290,5522,Plantaginaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-05-21 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-16 09:17:19,2008-06-27 19:49:35,2010-10-27 15:39:24
6957,6640,Viburnum tinus L.,71463,Viburnum tinus L.,71463,1973,Adoxaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:17:35,2008-06-29 10:51:20,2010-10-27 15:39:24
6958,6641,Vicia hybrida L.,71622,Vicia hybrida L.,71622,3243,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:17:51,2008-06-29 10:51:02,2010-10-27 15:39:24
6959,6642,Vicia sativa L.,71760,Vicia sativa L.,71760,14908,Fabaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:18:06,2008-06-29 10:50:40,2010-10-27 15:39:24
6960,6643,Vinca minor L.,71984,Vinca minor L.,71984,325,Apocynaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Rieucoulon,DDA9,,,,,2008-06-26 00:00:00,A verifier,Thibaut SUISSE,2008-06-16 09:18:20,2008-06-29 10:49:43,2010-10-27 15:39:24
6968,1,Cotula australis (Sieber ex Spreng.) Hook.f.,19245,Cotula australis (Sieber ex Spreng.) Hook.f.,19245,9581,Asteraceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Antigone,,Bac à palmier,,,,2008-06-17 00:00:00,,,2008-06-17 19:41:08,2008-06-17 19:58:22,2008-06-17 19:58:22
7202,6876,Plantago lanceolata L.,49948,Plantago lanceolata L.,49948,4094,Plantaginaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-19 16:17:32,2008-06-19 16:17:32,2010-10-27 15:39:24
7203,6877,Rumex pulcher L.,58852,Rumex pulcher L.,58852,4280,Polygonaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-19 16:17:43,2008-06-19 16:17:43,2010-10-27 15:39:24
7204,6878,Galium aparine L.,28896,Galium aparine L.,28896,5037,Rubiaceae,bdtfx:v1.01,INSEE-C:34172,Montpellier,Le Lez,DDA9,,,,,2008-05-20 00:00:00,A verifier,Audrey BENAVENT et Julien BARATAUD,2008-06-19 16:18:13,2008-06-19 16:18:13,2010-10-27 15:39:24
