"Nom","Nom scientifique","Classe","Ordre","Famille","Zone","Zone détails","Poids","Catégorie","Gestation","Nombre de petits","Longévité","Organismes de protection",,"Points de vue"
"Loup ibérique","Canis lupus signatus (Burchell)","Mammifère","Carnivore","Canidé","Europe","Forêts","25-55 kg","Carnivore","2 mois","3-8","15 ans","UICN/CITES/EEP",,
"Loup à crinière","Chrysocyon brachyurus (Illiger)","Mammifère","Carnivore","Canidé","Amérique du sud","Végétation épaisse","20 kg","Omnivore","3 mois","2-3","15 ans","UICN/CITES/EEP",,
"Loutre d’Europe","Lutra lutra (Linné)","Mammifère","Carnivore","Mustélidé","Europe, Asie, Afrique du nord","Eau douce","7-10 kg","Carnivore","2 mois","2-6","20 ans","UICN/CITES/EEP",,
"Lycaon","Lycaon pictus pictus (Temminck)","Mammifère","Carnivore","Canidé","Afrique","Savane, Forêts claires","18-36 kg","Carnivore","2-3 mois","2-8","12 ans","UICN/EEP",,
"Ara macao","Ara macao (Linné)","Oiseau","Psittaciforme","Psittacidé","Amérique du sud","Forêts variées","900-1400 g","Frugivore, Granivore","28 jours d'incubation","1-4","80 ans","UICN/CITES",,
"Macaque magot","Macaca sylvanus (Linné)","Mammifère","Primate","Cercopithécidé","Afrique du nord","Forêts","5-7 kg","Végétatien, Insectivore","7 mois","1","20 ans","UICN/CITES/ESB",,
"Maki catta","Lemur catta (Linné)","Mammifère","Primate","Lémuridé","Madagascar","Forêts, sous-bois","2 kg","Frugivore","4-5 mois","1-2","20 ans","UICN/CITES/ESB",,
"Maki couronné","Eulemur coronatus (Gray)","Mammifère","Primate","Lémuridé","Madagascar","Forêts","2 kg","Frugivore","4 mois","1","25 ans","UICN/CITES/ESB",,
"Maki mongoz","Eulemur mongoz (Linné)","Mammifère","Primate","Lémuridé","Madagascar","Forêts denses","2 kg","Frugivore","4 mois","1","25 ans","UICN/CITES/EEP",,
"Maki vari roux","Varecia rubra (Geoffroy)","Mammifère","Primate","Lémuridé","Madagascar","Forêts humides","4-5 kg","Frugivore","4-5 mois","1-4","20 ans","UICN",,
"Maki aux yeux turquoise","Eulemur flavifrons (Gray)","Mammifère","Primate","Lémuridé","Madagascar","Forêts humides","2 kg","Omnivore","4-5 mois","1-2","30 ans","UICN/CITES/EEP",,
