"REG","uu","dc","nomc","iris","nom","note","A","BCatABC","BCatA","BCatB","BCatC","BCatD","BCatE","AH","AF","AHLt25","AFLt25","AH2549","AF2549","AHGe50","AFGe50","BE","BEH","BEF","BFor6","BFor5","BFor4","BFor3","BFor12","BDur1","BDur2","BDur3","BDur4","BIns1","BIns2","BIns3","BRecu","BQal1","BQal2","BQal3","BQal4","BQal5","Bind","Brmi"
"Code région","Code unité urbaine (agglomération)","Code département / commune","Nom de la commune","Code IRIS","Nom de la zone","Disponibilité (voir documentation)","DEFM toutes catégories","Catégorie A, B ou C","Catégorie A","Catégorie B","Catégorie C","Catégorie D","Catégorie E","Hommes","Femmes","Hommes de moins de 25 ans","Femmes de moins de 25 ans","Hommes de 25 à moins de 50 ans","Femmes de 25 à moins de 50 ans","Hommes de 50 ans et +","Femmes de 50 ans et +","Etrangers","Hommes étrangers","Femmes étrangères","Niveau de formation : Sortie avant troisième","Niveau de formation : CEP SES","Niveau de formation : BEPC BEP CAP","Niveau de formation : Bac, BTn, BT, BP","Niveau de formation : Bac+2 et plus","Durée du chômage : Moins de 6 mois","Durée du chômage : 6 mois à moins d'un an","Durée du chômage : un an à moins de deux ans","Durée du chômage : plus de deux ans","Motif d'inscription : 1ère entrée sur le marché du travail","Motif d'inscription : Licenciement","Motif d'inscription : Fin de CDD","Réinscription depuis moins de 7 mois d’intervalle","Niveau de qualification : Manoeuvres ou ouvriers spécialisés","Niveau de qualification : Ouvriers qualifiés","Niveau de qualification : Employés non qualifiés","Niveau de qualification : Employés qualifiés","Niveau de qualification : Cadres, techniciens, agents de maitrise","Indemnisés","Titulaires du Revenu Minimum d'Insertion ou du revenu de Solidarité active"
"91","34701","34172","Montpellier","0109","MALBOSC",4,469,409,297,48,64,25,35,226,183,47,38,158,124,21,21,44,30,14,25,19,126,95,144,205,84,76,44,19,67,91,144,29,39,80,170,90,250,87
"91","34701","34172","Montpellier","0201","LUNARET",0,10,10,8,1,1,0,0,7,3,3,0,4,3,0,0,1,1,0,0,1,1,3,4,6,3,1,0,0,4,3,4,1,0,1,6,1,4,4
"91","34701","34172","Montpellier","0202","AIGUELONGUE",0,142,120,81,13,26,15,7,62,58,18,14,40,37,4,7,11,4,7,3,2,16,35,63,63,22,21,14,14,14,34,29,7,3,19,43,47,71,20
"91","34701","34172","Montpellier","0203","MERIC",0,249,215,148,31,36,13,21,103,112,14,23,74,77,15,12,11,7,4,8,7,44,61,95,104,37,40,34,3,36,66,70,3,11,33,99,69,145,32
"91","34701","34172","Montpellier","0204","JUSTICE",0,442,398,294,51,53,20,24,210,188,25,36,157,126,28,26,51,29,22,40,30,118,76,131,191,75,74,58,14,67,97,141,16,55,75,164,84,227,88
"91","34701","34172","Montpellier","0301","AGROPOLIS",0,243,211,152,28,31,13,19,125,86,30,25,84,56,11,5,44,31,13,21,10,61,41,78,116,34,36,25,14,26,69,65,15,26,43,79,47,126,32
"91","34701","34172","Montpellier","0401","BLAYAC",0,422,389,298,37,54,11,22,234,155,41,38,152,96,41,21,162,109,53,103,51,121,57,56,205,69,79,36,18,66,80,134,41,87,93,137,29,229,86
"91","34701","34172","Montpellier","0402","BOLOGNE",0,280,257,202,20,35,9,14,159,98,33,22,101,59,25,17,79,58,21,66,34,86,28,42,123,44,52,38,10,51,48,88,30,47,65,97,17,156,60
"91","34701","34172","Montpellier","0403","OXFORD",0,431,395,302,48,45,10,26,234,161,39,40,157,89,38,32,138,94,44,117,43,118,65,47,206,62,70,57,20,67,73,157,54,93,113,112,18,208,96
"91","34701","34172","Montpellier","0404","LE MAIL SUD",0,302,282,221,26,35,5,15,181,101,42,25,110,67,29,9,112,79,33,81,33,95,41,31,144,48,53,37,15,55,48,97,39,69,77,82,13,153,73
"91","34701","34172","Montpellier","0405","LE MAIL NORD",0,428,397,305,52,40,7,24,261,136,49,28,168,90,44,18,215,155,60,130,65,118,49,33,218,66,66,47,21,66,67,161,61,96,122,100,15,207,122
"91","34701","34172","Montpellier","0501","LES GARRIGUES",0,570,508,397,45,66,18,44,289,219,67,58,181,133,41,28,159,106,53,118,54,173,102,61,264,90,93,61,40,87,108,191,45,91,147,186,35,261,125
"91","34701","34172","Montpellier","0502","LES GEMEAUX",0,429,388,308,45,35,8,33,215,173,45,44,138,102,32,27,105,60,45,86,49,141,66,45,208,45,79,56,28,56,60,146,49,62,133,116,27,185,112
"91","34701","34172","Montpellier","0503","LES TOURS",0,298,271,208,23,40,14,13,162,109,27,30,107,68,28,11,72,53,19,47,29,104,51,39,138,45,47,41,15,39,56,114,31,58,63,93,25,146,70
"91","34701","34172","Montpellier","0602","CELLENEUVE",4,308,268,206,27,35,18,22,152,116,17,30,117,70,18,16,59,45,14,31,15,104,62,56,132,59,42,35,4,51,55,93,27,35,52,122,32,170,74
"91","34701","34172","Montpellier","0603","LA FONTAINE",4,273,235,175,27,33,17,21,112,123,13,31,92,69,7,23,34,23,11,19,9,76,57,74,114,56,36,29,9,41,48,72,10,26,41,117,40,129,67
"91","34701","34172","Montpellier","0701","LES TONNELLES",0,287,258,203,23,32,12,17,145,113,12,22,116,82,17,9,79,56,23,28,19,82,50,79,120,54,60,24,11,48,57,83,22,43,44,111,38,148,69
"91","34701","34172","Montpellier","0702","PILORY",0,435,396,318,33,45,21,18,219,177,32,46,157,117,30,14,123,79,44,69,38,116,86,87,210,82,62,42,30,64,82,136,42,60,107,139,47,220,103
"91","34701","34172","Montpellier","0703","ALCO",0,626,567,419,72,76,18,41,315,252,57,83,220,142,38,27,232,144,88,134,39,149,100,143,296,119,95,57,31,76,138,194,62,105,130,184,83,321,115
"91","34701","34172","Montpellier","0704","SOULAS",0,258,232,168,30,34,12,14,118,114,18,21,88,80,12,13,28,17,11,16,8,53,46,109,132,31,41,28,11,38,67,66,9,22,43,93,65,141,39
"91","34701","34172","Montpellier","0705","CASSEYROLS",0,593,531,395,57,79,22,40,303,228,45,39,229,161,29,28,133,90,43,63,34,148,110,174,267,102,98,64,25,70,135,176,38,82,118,198,93,298,156
"91","34701","34172","Montpellier","0706","BEL AIR",0,99,87,64,12,11,7,5,42,45,9,12,27,29,6,4,11,6,5,5,6,29,14,33,45,14,19,9,7,10,24,22,6,6,18,39,18,48,13
"91","34701","34172","Montpellier","0707","LE PETIT BARD",0,585,548,417,59,72,9,28,383,165,97,60,236,85,50,20,324,241,83,182,64,163,75,60,290,97,95,66,43,69,112,211,95,157,135,131,26,303,132
"91","34701","34172","Montpellier","0801","LA PISCINE",0,279,244,175,32,37,14,21,118,126,12,26,92,79,14,21,33,22,11,19,11,63,64,87,121,49,42,32,12,45,51,67,17,21,39,119,47,149,53
"91","34701","34172","Montpellier","0802","AGRICULTURE",0,292,259,190,28,41,16,17,146,113,19,26,105,69,22,18,55,36,19,28,14,61,60,94,131,45,48,35,17,44,64,78,20,24,50,98,65,140,60
"91","34701","34172","Montpellier","0803","ASTRUC",0,277,241,173,36,32,13,23,136,105,11,13,115,77,10,15,43,27,16,17,17,58,51,96,121,46,42,32,14,35,54,82,14,26,46,96,56,136,64
"91","34701","34172","Montpellier","0901","LES GREZES",0,261,230,171,28,31,15,16,129,101,21,12,89,77,19,12,33,26,7,29,15,64,38,83,108,44,47,31,10,50,47,62,15,23,30,111,50,148,45
"91","34701","34172","Montpellier","0902","BOUISSES",0,358,309,211,49,49,20,29,159,150,26,26,117,97,16,27,40,23,17,24,17,95,66,105,147,57,60,45,16,54,70,82,8,36,59,142,62,182,53
"91","34701","34172","Montpellier","1001","LA COLLINE",0,460,410,280,59,71,20,30,217,193,32,38,157,128,28,27,72,41,31,35,36,115,98,124,204,89,63,54,21,70,88,136,26,34,72,210,66,249,80
"91","34701","34172","Montpellier","1002","NOTRE DAME DE LA PAIX",0,218,194,141,29,24,10,14,117,77,15,8,83,57,19,12,42,29,13,22,9,57,39,65,90,37,37,30,11,34,43,62,21,13,35,80,42,117,36
"91","34701","34172","Montpellier","1101","ESTANOVE",0,196,175,117,23,35,12,9,90,85,10,15,67,54,13,16,17,13,4,4,8,49,34,80,77,30,37,31,4,48,39,41,4,14,25,79,53,121,27
"91","34701","34172","Montpellier","1102","LEPIC",0,309,267,206,30,31,18,24,157,110,16,20,120,81,21,9,47,28,19,24,14,89,55,83,129,52,47,39,12,43,68,84,12,39,53,114,47,169,48
"91","34701","34172","Montpellier","1103","PARC MONTCALM",0,233,207,157,22,28,11,15,105,102,11,17,81,76,13,9,25,17,8,15,12,54,45,81,102,43,34,28,7,43,37,60,9,16,40,98,43,137,32
"91","34701","34172","Montpellier","1201","SABATHE",0,330,288,194,47,47,15,27,149,139,15,26,115,103,19,10,52,31,21,35,19,101,49,83,143,50,58,37,11,48,61,93,17,36,40,147,47,163,63
"91","34701","34172","Montpellier","1202","TASTAVIN",0,170,151,109,16,26,10,9,85,66,16,6,57,53,12,7,37,22,15,19,13,49,36,34,80,29,21,21,3,22,34,51,10,22,33,57,28,91,24
