Communes;Sortants en 1990;Sortants en 1999;Sortants en 2006;Var relative 2006/1999;Var absolue
Montpellier;12301;16053;21126;31,60%;5073
Frontignan;2751;3877;5408;39,50%;1531
Lattes;2903;4259;5386;26,50%;1127
Béziers;3118;4051;5232;29,20%;1181
Lunel;2550;3608;4477;24,10%;869
Mauguio;2785;4096;4306;5,10%;210
Castelnau le Lez;2810;4009;4197;4,70%;188
Sète;2523;3003;4067;35,40%;1064
