"CIRCULATIO,C,50","CODCOMM,C,6","DOMAINE,C,50","HIERARCHIE,C,50","ID_ARC,N,10,0","F_ID_NODE,N,10,0","LONGUEUR,N,19,8","NOTES,C,80","NUM_D_D,N,10,0","NUM_D_F,N,10,0","NUM_G_D,N,10,0","NUM_G_F,N,10,0","NUMERO,C,20","OCCUPATION,C,50","PERIMETRE,N,19,8","RIVOLI,C,4","SUF_D_D,C,3","SUF_D_F,C,3","SUF_G_D,C,3","SUF_G_F,C,3","SURFACE,N,19,8","SYMBOL,N,10,0","T_ID_NODE,N,10,0","TYPE,C,50","DUOP,C,1","PROPRIO,C,50","ZAC,C,100","SHAPE_LEN,N,19,11","tarifs2011,C,50"
"DOUBLE SENS","340172","Publique",,8274,2546,"15,10000038",,0,0,0,0,,,0,"3103",,,,,0,0,6539,,"N",,,"15,0892366122",
"DOUBLE SENS","340172","Publique départementale",,8292,6557,"295,3999939","RD 65",0,0,0,0,,,0,"1568",,,,,0,0,2549,,"N",,,"295,556709159",
"DOUBLE SENS","340172","Publique",,8314,6579,"168,6000061",,0,0,0,0,,,0,"1109",,,,,0,0,2542,,"N",,,"168,70400008",
"DOUBLE SENS","340172","Privée",,8392,3249,"89,59999847",,0,0,0,0,,,0,"1340",,,,,0,0,6677,,"N",,,"89,6755573478",
"DOUBLE SENS","340172","Publique",,8432,6717,"16,79999924",,0,0,0,0,,,0,"1645",,,,,0,0,4945,,"N",,,"16,8472030058",
"DOUBLE SENS","340172","Privée",,8433,6717,"89,40000153",,0,0,0,0,"FILAIRE_8433",,0,"3307",,,,,0,0,6718,,"N",,,"89,4281169766",
"DOUBLE SENS","340172","Publique",,8452,3667,"144,6000061",,0,0,0,0,,,0,"1817",,,,,0,0,3665,,"N",,,"144,692784089",
"DOUBLE SENS","340172","Privée",,8472,6737,79,,0,0,0,0,,,0,"2192",,,,,0,0,2953,,"N",,,"79,0143260586",
"DOUBLE SENS","340172","Privée",,8473,6737,"42,79999924",,0,0,0,0,,,0,"2192",,,,,0,0,6738,,"N",,,"42,8107314928",
"SENS UNIQUE","340172","Privée",,8492,6757,"47,70000076",,0,0,0,0,,,0,"1177",,,,,0,0,2990,,"N",,,"47,7458642176",
"SENS UNIQUE","340172","Privée",,8493,6757,"38,59999847",,0,0,0,0,,,0,"1177",,,,,0,0,6758,,"N",,,"38,6297132231",
"SENS UNIQUE","340172","Privée",,8494,6758,"71,90000153",,0,0,0,0,,,0,"1177",,,,,0,0,6757,,"N",,,"71,924890573",
"DOUBLE SENS","340172","Publique",,8512,6777,"12,89999962","Classée par acte notarié le 31/01/2008",0,0,0,0,,,0,"1582",,,,,0,0,6779,,"N",,,"12,9046977221",
