"osm_id,N,10,0","addr_hou_1,C,254","amenity,C,254","name,C,254","z_order,N,10,0","Cood_X,C,50","Cood_Y,C,50"
500168203,,      pharmacy,,0,"3,80439119947043","43,6469795960461"
595183633,,      pharmacy,                                      Pharmacie des Quatre Saisons,0,"3,81394159946909","43,6418226960464"
697364922,,      pharmacy,                                      Pharmacie Mosson,0,"3,81663729946872","43,6222547960475"
697349748,,      pharmacy,                                      Pharmacie du Grand Mail,0,"3,81701009946867","43,6249103960474"
280292429,,      pharmacy,                                      Pharmacie du Lac,0,"3,81708379946866","43,6360189960468"
280292873,,      pharmacy,                                      Pharmacie de l'Europe,0,"3,81984759946828","43,6419448960465"
697315375,,      pharmacy,                                      Pharmacie Saint Paul,0,"3,82104859946811","43,631170196047"
234530963,,      pharmacy,,0,"3,82806359946713","43,5772788960501"
1503101236,,      pharmacy,                                      Pharmacie La valsière,0,"3,83166819946662","43,6481225960461"
1575985456,,      pharmacy,                                      Pharmacie Rainero,0,"3,83303179946644","43,6332804960469"
603946466,,      pharmacy,                                      Pharmacie Montpellier Village,0,"3,83653189946595","43,596335496049"
1505439851,,      pharmacy,,0,"3,83946489946554","43,6124426960481"
645553954,,      pharmacy,                                      Pharmacie Cellario-Falgas,0,"3,84284969946507","43,5938050960491"
469755692,,      pharmacy,                                      Pharmacie d'Alco,0,"3,84451339946484","43,6227952960475"
