"ID_ARC,N,10,0","VOI_NOM,C,80","ACC_OIMP,C,10","ACV_ILAR,N,19,8","ACC_OPAI,C,10","ACV_PLAR,N,19,8","ACC_1I2P,C,21","Shape_LEN,N,19,11","SHAPE_FID,N,9,0"
9333,"Rue des Augustins","Non","0,75","Non","2,25","Non_Non","55,8912040938",6904
18379,"Place Yitzhak Rabin","Non",0,"Non","1,9","Non_Non","9,1889170706",7540
13154,"Rue des Manguiers","Oui","2,3","Non",0,"Oui_Non","470,707475974",6628
4594,"Rue des Rêves","Non","0,5","Non","0,5","Non_Non","106,958862701",4283
4229,"Rue Ferdinand Fabre","Non","4,5","Non",2,"Non_Non","22,1848388752",5074
1976,"Rue André-Marie Ampère","Non","1,4","Non","2,85","Non_Non","130,939920648",3209
1349,"Rue Rogier de Mirepoix","Non",0,"Non",0,"Non_Non","116,317542368",3066
4630,"Rue Gustave","Non","1,7","Non","0,65","Non_Non","25,1552516443",5194
15856,"Voie non dénommée","Non",0,"Non","5,15","Non_Non","47,3385108081",7200
2140,"Rue du Pont de Lavérune","Non","1,4","Non","1,45","Non_Non","134,746609389",3586
7016,"Cour du Raisin","Non",0,"Oui","12,2","Non_Oui","98,5828122365",6533
1092,"Rue des Marels","Non","1,2","Non",0,"Non_Non","663,335938684",3105
1407,"Rue du Mas de Bringaud","Non","1,4","Non",0,"Non_Non","199,397965887",2780
3409,"Avenue du Professeur Emile Jeanbrau","Non","1,35","Non","1,1","Non_Non","207,325100125",4486
4207,"Rue du Faubourg Saint Jaumes","Non","1,3","Non","4,35","Non_Non","115,536139541",5064
1822,"Route de Lavérune","Non","1,45","Non","1,4","Non_Non","62,7807191728",3133
7014,"Rue de la Spirale","Non","0,9","Oui",5,"Non_Oui","38,7218769923",6602
1783,"Rue de Font Couverte","Non","1,8","Non","1,45","Non_Non","88,660859743",3389
6386,"Avenue des Moulins","Non","10,15","Oui","3,85","Non_Oui","62,5785442289",6594
3388,"Boulevard des Sports","Non","1,1","Non","6,2","Non_Non","54,3785495806",4470
7387,"Boulevard Sarrail",,0,"Oui",2,"_Oui","11,8881662358",6618
2912,"Rue Claude Berthollet","Non","2,8","Non","3,25","Non_Non","100,299447914",4009
12972,"Rue des Azalées","Non","0,8","Non",3,"Non_Non","18,6682339063",6330
4796,"Boulevard Benjamin Milhaud","Non",0,"Non","1,5","Non_Non","132,803194344",4965
5164,"Boulevard de Bonnes Nouvelles","Non","4,8","Non","0,2","Non_Non","246,020419539",5409
3256,"Impasse Joseph Berthelé","Non",0,"Non","2,1","Non_Non","63,2268599351",4379
17433,"Allée Alegria Beracasa",,0,,0,"_","435,058048055",7219
2011,"Rue du Pont de Lavérune","Non","1,3","Non","1,65","Non_Non","136,63241777",3741
3266,"Rue Cité Bousquet","Non",1,"Non",0,"Non_Non","52,752570913",4386
5818,"Boulevard d'Orient","Oui","3,5","Oui",5,"Oui_Oui","34,4693374095",5438
2519,"Rue de Cambridge","Oui","5,8","Oui","4,4","Oui_Oui","79,2006878231",3872
14673,"Avenue Pablo Neruda",,0,,0,"_","205,250689119",6831
10573,"Allée André Pilleboue","Non",0,"Non","1,3","Non_Non","189,282353953",7114
1225,"Rue Jean Pierre Biscay","Non","6,7","Non",0,"Non_Non","109,072583506",3001
1563,"Rue de la Costa Brava","Oui","5,2","Non","1,4","Oui_Non","30,6039672508",6858
6258,"Allée des Magnolias","Oui","3,3","Non","1,88","Oui_Non","119,870669277",5738
5909,"Rue des Tulipes","Non","1,25","Non","1,25","Non_Non","82,0686300734",5557
5546,"Rue des Pâquerettes","Non","1,8","Non","1,65","Non_Non","100,061093018",5465
2989,"Rue de l'Espérou","Oui","3,1","Non","2,15","Oui_Non","127,62431362",4080
6082,"Rue Léon Blum","Non","4,05","Non","2,4","Non_Non","83,0973335636",5566
4637,"Rue Delmas","Non","0,7","Non","0,8","Non_Non","82,299571015",5201
8674,"Avenue Maurice Planès","Non","0,95","Non","1,3","Non_Non","207,755033311",6873
2486,"Place Robert Schuman","Non",0,"Non",0,"Non_Non","47,3422609739",6495
3670,"Rue des Ibis",,0,,0,"_","36,2463907203",4530
5426,"Rue Aristide Ollivier","Non",1,"Non","0,5","Non_Non","32,6349331009",5785
2679,"Rue Arnault Peyre","Oui","6,45","Oui","2,9","Oui_Oui","74,1151127288",3753
31,"Rue de l'Opale","Non","0,6","Non","0,65","Non_Non","45,6157277176",2191
730,"Rue de la Fontaine Saint Berthomieu","Non",0,"Non",0,"Non_Non","167,696007529",2523
15853,"Voie non dénommée","Non",0,"Non",0,"Non_Non","30,9425162947",7148
5631,"Boulevard Berthelot","Non","1,45","Non","1,4","Non_Non","129,302680669",5529
5997,"Avenue de Toulouse","Oui",3,"Non",3,"Oui_Non","180,954967823",5962
3966,"Avenue de Saint Lazare","Non","1,15","Non","1,15","Non_Non","87,443113736",4716
3371,"Rue de Salaison","Non","1,15","Non","1,5","Non_Non","78,7216212541",4461
5375,"Rue Foch","Non",11,"Oui","11,5","Non_Oui","45,1676157865",5377
5594,"Rue Ernest Michel","Non","1,8","Non","1,4","Non_Non","83,3695036033",4296
18454,"Rue Proudhon","Non","1,8","Oui","3,4","Non_Oui","13,9169245144",7551
2461,"Rue Serge Lifar","Non","2,65","Non","1,65","Non_Non","95,3810051339",3829
3574,"Rue du Dauphiné","Non","1,2","Non",1,"Non_Non","44,5306081838",4334
4205,"Rue Edouard Roche","Non","1,2","Non","1,2","Non_Non","75,772515385",5062
6192,"Avenue Aglaé Adanson","Non","5,9","Oui","3,85","Non_Oui","66,3108934589",5872
8734,"Rond point Paul Fajon","Non",0,"Non","1,1","Non_Non","46,2435462271",6880
2622,"Avenue Guilhem de Poitiers","Oui","1,75","Non","1,2","Oui_Non","2,5951029883",3921
1265,"Avenue Raymond Dugrand",,0,,0,"_","914,709349351",3032
1719,"Rue du Cinquante Sixième Régiment d'Artillerie","Non","1,2","Non","1,2","Non_Non","176,123239877",5717
10873,"Avenue de Lodève","Non","6,9","Oui","3,1","Non_Oui","104,320336949",7262
1836,"Rue Fabre d'Eglantine","Non","0,8","Non","1,75","Non_Non","55,5906603739",3142
623,"Rue de la Cantaperdrix","Non","1,8","Non","1,7","Non_Non","76,8682404893",2409
227,"Voie non dénommée","Non",0,"Non","1,6","Non_Non","52,2543365193",2363
14074,"Rue des Marels","Oui",8,"Non","1,5","Oui_Non","113,765426845",6747
5937,"Rue Jean Vachet","Oui","1,85","Non","1,3","Oui_Non","24,8022390169",5916
1625,"Avenue de Villeneuve-Angoulème","Oui","2,7","Non","10,7","Oui_Non","208,642512658",3291
2938,"Avenue du Doyen Turchini","Non","4,25","Oui","6,6","Non_Oui","215,232622201",4066
13713,"Rue Emile Zola","Oui","2,25","Non","1,8","Oui_Non","33,2558769581",6729
10033,"Rue Françoise Dolto","Non","1,4","Non","1,55","Non_Non","16,9072452694",6998
12493,"Avenue Raymond Dugrand",,0,,0,"_","143,585569535",7513
2891,"Avenue du Pic Saint Loup","Non","1,15","Non",0,"Non_Non","330,879387948",3996
2,"Rue Doyen de Rouville","Non","1,3","Non","1,4","Non_Non","77,9877588632",2177
351,"Rue Gabriel Luscan","Non",0,"Non","4,8","Non_Non","28,8422515884",6681
59,"Avenue de la Pompignane","Non","4,8","Non","5,8","Non_Non","48,0725967954",2201
6096,"Avenue des Etats du Languedoc","Oui","2,3","Non",3,"Oui_Non","238,832514501",5879
4742,"Rue du Carré du Roi","Non","3,5","Non","0,7","Non_Non","25,5523770519",5282
4826,"Rue de Font Carrade","Non",2,"Non","1,45","Non_Non","119,156223714",7186
6684,"Avenue de la Liberté","Non","1,6","Oui",2,"Non_Oui","237,378918406",6086
5220,"Boulevard Sarrail","Oui","2,8","Non",0,"Oui_Non","78,2952232084",5413
382,"Rue Jean Paul Sartre","Non","1,9","Non","1,65","Non_Non","25,3502828038",2262
10992,"Rue du Mas Saint Pierre",,0,,0,"_","126,453723801",7267
3796,"Rue Paul Riquet","Non",1,"Non","1,15","Non_Non","71,3086950302",4621
17796,"Rond-Point du Souvenir Francais","Non","10,05","Oui","5,9","Non_Oui","18,3555579012",6503
2056,"Impasse des Chanterelles","Non",0,"Non",0,"Non_Non","20,1024889031",3423
14752,"Avenue de la Recambale","Non","5,2","Non",0,"Non_Non","131,410260483",6911
7208,"Rue Cité Benoit","Non",1,"Non","1,15","Non_Non","245,630117195",6613
2493,"Avenue de l'Europe","Non",0,"Oui",11,"Non_Oui","268,971521286",3850
13552,"Rue du Professeur Jean Granier","Non","0,55","Non","0,6","Non_Non","46,3687910997",6654
4890,"Rue du Velay","Non","0,95","Non",1,"Non_Non","231,037932942",5331
1229,"Avenue du Pont Trinquat","Non",4,"Non","1,05","Non_Non","108,528430644",3005
6769,"Rue de la Cardonille","Oui","9,7","Oui","4,7","Oui_Oui","123,277428571",6549
5766,"Rue Frédéric Bazille","Non","0,5","Non","5,8","Non_Non","12,5010490156",5749
6381,"Rue du Pont de Lavérune","Non","1,1","Non",0,"Non_Non","100,881600913",7448
5088,"Place du Château","Non",0,"Non",0,"Non_Non","13,386959554",5384
2617,"Avenue du Biterrois","Oui","2,73","Non","2,75","Oui_Non","105,15799289",3917
3393,"Rue Gabriel Luscan","Non","4,65","Non","4,65","Non_Non","31,6875875126",4474
6457,"Rue de la Castelle","Oui","4,4","Non","4,2","Oui_Non","187,12716548",6083
625,"Avenue de la Colline","Non","1,25","Non",0,"Non_Non","66,5020480825",2411
2571,"Rue de Liège","Oui","8,35","Oui","5,05","Oui_Oui","23,1132058004",3889
3535,"Rue Edmond Lautard","Non","1,8","Non","1,75","Non_Non","86,982863238",4300
5092,"Rue Béchamp","Non","0,8","Non","0,6","Non_Non","54,714500398",5387
3643,"Rond-point d'Alco","Non",2,"Non","2,5","Non_Non","107,645072",4780
4399,"Rue Paul Rimbaud","Non","2,4","Non","2,6","Non_Non","22,1433701577",5110
4015,"Rue Renaud de Villeneuve","Non",0,"Non",0,"Non_Non","54,9225826362",4560
328,"Rue Georges Cuvier","Non","2,15","Non","0,7","Non_Non","54,342013318",2579
4785,"Rue Gerhardt","Non","1,6","Non","0,5","Non_Non","49,1908701675",4954
4886,"Rue des Chasseurs","Oui","1,85","Non","1,7","Oui_Non","180,201483498",5327
1120,"Rue de Pinville","Non","1,4","Non","2,4","Non_Non","261,346504733",3122
4596,"Rue Marcel de Serres","Oui","2,1","Non","2,15","Oui_Non","116,064422266",4285
2716,"Place d'Italie","Oui","3,85","Oui","3,55","Oui_Oui","75,2381894526",3785
139,"Rue des Erables","Non","1,65","Oui","1,7","Non_Oui","61,7866737432",2162
3801,"Rue de Pinville","Oui","1,85","Oui","1,8","Oui_Oui","85,2230130866",4626
3629,"Rond-point d'Alco","Non","0,8","Non","2,05","Non_Non","73,0077440734",4769
5644,"Boulevard Renouvier","Oui",3,"Non","2,5","Oui_Non","33,8503604177",5576
5698,"Avenue de Villeneuve-Angoulème","Non","1,4","Oui","2,2","Non_Oui","53,3243581302",5653
18,"Rue des Tourmalines","Non","0,65","Non","0,65","Non_Non","76,4411082756",2185
3330,"Rue Jules Isaac","Oui","2,4","Non",3,"Oui_Non","59,5144301712",4428
2509,"Avenue de l'Europe","Oui","5,45","Oui","10,9","Oui_Oui","77,1763048994",3865
16074,,"Non",0,"Non",0,"Non_Non","44,9900738764",7299
1577,"Rue de la Costa Brava","Oui","3,8","Non","1,5","Oui_Non","34,976395942",3258
251,"Rue du Pas du Loup","Non","1,8","Non","1,05","Non_Non","132,635077827",2131
816,"Rue Général René","Non",0,"Non",0,"Non_Non","127,283144805",2836
5689,"Rue de Bercy","Non",1,"Non","0,9","Non_Non","88,2705460881",5648
1856,"Rue Madeleine de Scudéry","Non","1,45","Non","1,45","Non_Non","138,989295862",6436
3092,"Allée Jeanne Bourgeois dite Mistinguett","Non",0,"Non",0,"Non_Non","30,733910874",4138
4849,"Place Jean Antoine de Baïf","Oui","2,5","Non","1,3","Oui_Non","36,003032939",5297
5507,"Rue Sainte Catherine","Non","1,05","Non","1,05","Non_Non","76,8643328017",6280
537,"Rue Charles Vanel","Non","3,15","Oui","2,5","Non_Oui","41,7243954134",2519
4465,"Rue des Avant-Monts","Non","1,45","Non","1,25","Non_Non","115,181933043",5354
8067,"Impasse Flouch","Non",0,"Non",0,"Non_Non","40,1751398755",6758
1652,"Rue Granier","Non","0,5","Non","0,7","Non_Non","166,320661332",3311
1233,"Rue Edmond Halley","Non","0,95","Oui","2,35","Non_Oui","67,644134992",3009
13072,"Rue des Bouissettes","Non","1,3","Non","3,1","Non_Non","44,7910377054",6340
1478,"Boulevard Paul Valéry",,0,,0,"_","45,725662392",2966
267,"Place Odysseum","Non","9,5","Non",12,"Non_Non","38,4107471388",2556
5635,"Avenue Georges Clémenceau","Non",2,"Oui","1,7","Non_Oui","53,5605342203",5533
12473,"Avenue Albert Einstein","Oui","6,2","Non","2,7","Oui_Non","94,9876780161",7512
15973,"Avenue du Pirée","Oui","6,6","Non",2,"Oui_Non","37,0793108335",7208
2630,"Place de la Sénéchaussée de Beaucaire",,0,,0,"_","115,903268073",3928
2042,"Rue Louis Capitan","Non","1,5","Non","1,35","Non_Non","86,3710469778",3413
5941,"Rue des Jacinthes","Non","0,65","Non","0,75","Non_Non","74,8660035525",5920
2751,"Rue d'Ajaccio","Oui","2,85","Non",0,"Oui_Non","83,5694337589",3486
3621,"Rue des Palmiers","Non","1,85","Non","1,65","Non_Non","51,6004958167",7344
3748,"Impasse Estève","Non","0,45","Non","0,6","Non_Non","98,884991729",4538
1574,"Rue de la Marquerose","Non","1,5","Non","1,5","Non_Non","231,56523124",5698
1330,"Avenue de Palavas","Non","2,2","Non",0,"Non_Non","42,749898532",2457
1716,"Rue des Vignes","Non","1,4","Non","1,25","Non_Non","110,609392015",5714
17840,"Rond-Point Odette Branger Capion","Oui",4,"Oui","1,8","Oui_Oui","9,4882627194",6517
1955,"Allée du Vieux Mas","Non","0,9","Non","0,9","Non_Non","183,542982336",3189
695,"Rue du Faubourg Figuerolles","Non","1,5","Non","1,8","Non_Non","41,8060532518",2696
4482,"Rue d'Alco","Non","2,3","Non","2,2","Non_Non","171,516852382",5363
1623,"Rue Georges Brassens","Non","1,8","Non","2,55","Non_Non","52,8637854048",3290
1658,"Rue François Mireur","Oui","1,55","Non","1,45","Oui_Non","90,4177245838",3317
4799,"Rue des Genévriers","Oui","2,9","Non","2,9","Oui_Non","66,2665157078",4968
3372,"Rue Jules Isaac","Non",1,"Non","1,5","Non_Non","119,985276906",4462
1823,"Rue Robespierre","Non","2,1","Non","2,45","Non_Non","58,5451950364",3134
3999,"Rue Charles de Tourtoulon","Non","0,7","Non","0,8","Non_Non","49,8597547643",4748
3401,"Avenue Abbé Paul Parguel","Oui","2,95","Oui","4,75","Oui_Oui","33,6459428581",4479
1952,"Rue des Gours","Oui","1,9","Non","1,4","Oui_Non","92,8596442786",3186
4683,"Rue du Père Fabre","Non","0,85","Non",1,"Non_Non","30,6263223148",5253
14434,"Rond-point Evariste Galois","Non",4,"Non","6,4","Non_Non","98,9762739892",6809
11832,"Rue Camille Desmoulins","Non",5,"Non","4,5","Non_Non","170,142224484",7378
1237,"Impasse Galilée","Non","0,7","Non","1,7","Non_Non","57,1415232454",3012
3471,"Rue André Chamson","Non","0,9","Non","2,05","Non_Non","189,894414071",7335
2584,"Rue d'Uppsala","Oui","3,95","Oui","4,7","Oui_Oui","66,4633775195",3900
6074,"Avenue du Pirée","Oui","4,8","Non","2,5","Oui_Non","30,1024334015",5560
3760,"Avenue de Saint Maur","Non","1,15","Non","0,3","Non_Non","101,057528498",4546
6759,"Avenue Saint Charles","Oui","9,6","Non","3,45","Oui_Non","124,310372522",6183
12456,"Avenue Théroigne de Méricourt","Non","5,5","Oui","11,3","Non_Oui","96,2323162071",1824
3438,"Impasse Font Trouvé","Non",0,"Non",0,"Non_Non","153,969258096",4492
4633,"Rue Paladilhe","Non",1,"Non","1,4","Non_Non","84,050257982",5197
2419,"Rue Virginie Montagnol","Non","1,35","Non","1,4","Non_Non","42,7762955695",3810
2610,"Allée de la Pinède","Non",0,"Non",0,"Non_Non","510,371982857",3912
6614,"Rue du Pous de Las Sers","Non","1,9","Non",0,"Non_Non","23,5721719752",6205
4687,"Rue Haguenot","Non",0,"Non",0,"Non_Non","163,867418106",5257
1800,"Rue du Pas du Loup","Oui","2,65","Non","1,4","Oui_Non","28,8176966564",3394
3276,"Avenue Emile Diacon","Non","4,95","Non","2,55","Non_Non","188,80053837",4392
10612,"Rue des Mas de Richemont","Non","1,5","Non","3,65","Non_Non","62,8086730088",7118
2659,"Place du Minervois","Non","4,6","Oui","2,8","Non_Oui","63,7185176302",3947
1546,"Place des Lys","Non",0,"Non","5,25","Non_Non","63,4216806269",3231
2588,"Rue de Bologne","Oui",2,"Oui","4,2","Oui_Oui","78,213910552",3904
1741,"Rue de Font Couverte","Non","1,25","Non","1,35","Non_Non","73,1876767322",3354
3174,"Rue des Martinets","Non","1,45","Oui","1,65","Non_Oui","58,2358189323",4167
593,"Rue des Papyrus","Oui","1,55","Oui","1,35","Oui_Oui","23,5107435412",2394
2525,"Avenue de Louisville","Oui","4,95","Oui","5,3","Oui_Oui","28,793487265",3878
2168,"Impasse de la Pointe Vigne","Non","0,3","Non","0,35","Non_Non","60,9316558353",3606
4725,"Rue de la Merci","Non","1,2","Non","1,25","Non_Non","253,71979453",6426
4667,"Rue Général Chanzy","Non","0,1","Non","0,1","Non_Non","73,2058016021",5237
1908,"Rue Rouget de Lisle","Non","1,6","Oui","1,9","Non_Oui","244,322092901",3174
2558,"Rue Charles Bonaparte","Oui",8,"Non","2,2","Oui_Non","34,1975743505",6962
2904,"Rond-point de l'Appel du 18 Juin","Non",0,"Oui","2,4","Non_Oui","34,4979104653",4002
5957,"Rue de Cherchell","Non","1,55","Non","5,35","Non_Non","181,564602342",5931
3780,"Avenue Xavier de Ricard","Non",0,"Non","1,7","Non_Non","250,312553954",4612
3577,"Rue de Gascogne","Non","0,95","Non","1,4","Non_Non","43,2347949459",4337
1491,"Rue de la Jeune Parque","Oui","3,9","Non","3,8","Oui_Non","130,878303224",2975
5528,"Boulevard Vieussens","Non","1,4","Non","1,55","Non_Non","44,1317924115",5448
17154,,,0,,0,"_","50,2515697604",7156
856,"Rue Louise Guiraud","Non",1,"Non","0,9","Non_Non","25,2238193462",2438
7887,"Rue des Tourterelles","Non","0,8","Non","0,3","Non_Non","110,964647219",6709
7667,"Place Gaby Morlay","Non","0,95","Non",1,"Non_Non","25,414200401",6703
4079,"Quai du Verdanson","Non","1,3","Non",10,"Non_Non","78,7066807796",4893
754,"Rue de la Raffinerie","Non","2,3","Non","1,2","Non_Non","69,4334453568",2730
19373,"Rue du Caducée",,0,,0,"_","616,242979056",7616
3709,"Rue Henri Bergson","Oui","1,6","Non",1,"Oui_Non","60,719039898",4220
726,"Rue des Cigales","Non","1,45","Non","1,3","Non_Non","59,1880931952",2725
16003,"Carrefour de l'Aéroport International","Non",0,"Non",2,"Non_Non","19,0666781129",7218
220,"Rue de la Valsière","Oui","4,65","Oui","2,9","Oui_Oui","68,0613261269",2357
3077,"Rue de Ferran","Non","1,15","Non","1,25","Non_Non","64,8729130922",6348
3669,"Rue des Hérons","Non","1,1","Non","1,55","Non_Non","84,2857669079",4529
4202,"Rue Auguste Broussonnet","Non","1,3","Non","1,5","Non_Non","86,9569770016",5059
4654,"Rue Subleyras","Non","1,2","Non","0,9","Non_Non","60,2163397583",5224
8653,"Rue Rossini","Non","1,15","Non","1,2","Non_Non","67,0534677619",6869
3782,"Rue Val Marie","Non","1,1","Non","0,9","Non_Non","177,491874989",4614
13333,"Avenue du Pirée","Oui",11,"Oui","4,8","Oui_Oui","178,615773604",6640
1358,"Rue de l'Emeraude","Non","0,65","Non","0,65","Non_Non","76,3735152022",2542
5525,"Rue des Boutons d'Or","Non","1,8","Non","1,75","Non_Non","107,613484063",5445
5540,"Rue des Narcisses","Non","2,05","Non","2,15","Non_Non","41,9345457247",5460
3817,"Rue Boussinesq","Non","2,3","Non","2,55","Non_Non","75,6174946406",4638
4680,"Rue Haguenot","Non",0,"Non",0,"Non_Non","55,2485002135",5250
3874,"Rue du Mas Saint Pierre","Non","2,15","Non",0,"Non_Non","74,103884419",4671
1057,"Avenue Albert Einstein","Non",2,"Oui","2,25","Non_Oui","239,433673277",2633
4275,"Rue de la Tuilerie","Non","0,4","Non","0,4","Non_Non","70,9179574024",4797
6012,"Passerelle Athena","Non",0,"Non",6,"Non_Non","72,1620417049",476
415,"Rue Olof Palme","Non","2,4","Non","1,4","Non_Non","6,428743406",2283
2306,"Rue de l'Oasis","Non","1,45","Non","1,3","Non_Non","41,0014121593",3709
5931,"Avenue des Prés d'Arènes","Non","1,35","Non","1,55","Non_Non","42,0759019385",5910
16092,"Rue de Cheng-Du","Non","1,3","Oui","7,65","Non_Oui","133,183637554",7301
3304,"Rue de l'Hirondelle","Non","1,05","Non","1,05","Non_Non","78,8775770643",4406
68,"Avenue Jean Mermoz","Non","1,6","Non",2,"Non_Non","34,6613011654",2209
2375,"Rue de la Fontaine de Celleneuve","Non",0,"Non",0,"Non_Non","91,0467987549",3574
1460,"Rue Gaston Bachelard","Non",3,"Oui","5,8","Non_Oui","45,836152996",3090
2488,"Espace Mosson","Non",0,"Non",0,"Non_Non","813,547603453",3846
3649,"Rue des Muriers","Non","1,4","Non","1,7","Non_Non","236,222249167",1173
647,"Rue des Renoncules","Non","0,6","Non","0,7","Non_Non","356,765873865",2661
5643,"Boulevard Renouvier","Non","3,15","Oui",4,"Non_Oui","49,8647463618",5575
5649,"Avenue Lepic","Non","6,65","Non",6,"Non_Non","158,485615557",5610
5547,"Rue Frédéric Fabrèges","Non","2,85","Non","2,95","Non_Non","50,1086769733",5466
3044,"Rue de la Roqueturière","Oui","3,5","Oui","2,6","Oui_Oui","17,4634838661",4102
5926,"Rue Jean Vachet","Oui","9,5","Non","0,9","Oui_Non","92,2948874134",5905
687,"Rue Leconte de Lisle","Non",1,"Non","0,9","Non_Non","26,3346920248",2689
4606,"Rue du Progrès","Non","2,6","Non","0,5","Non_Non","68,7987731086",5171
364,"Rue de la Fond Froide","Non",0,"Non",0,"Non_Non","12,3239064927",2247
3390,"Rue Louise Michel","Non","2,4","Non","1,1","Non_Non","66,4448975526",4472
4142,"Rue de l'Ecole Normale","Non","1,8","Non","1,5","Non_Non","139,369408846",5005
6269,"Rue Mion Saint Michel","Non","1,3","Non","1,2","Non_Non","206,958850786",5830
5759,"Rue du Grand Saint Jean","Non","6,5","Non","4,25","Non_Non","35,2850174972",5744
424,"Rue Simone de Beauvoir","Non","4,1","Non","1,2","Non_Non","103,233297589",2416
16175,"Rue Fabre d'Eglantine","Non",0,"Non",0,"Non_Non","31,2759539001",7306
1945,"Rue du Mas de Perrette","Non","1,4","Non","1,4","Non_Non","36,6246500948",3179
3139,"Rue des Hermines","Non","1,3","Non","1,3","Non_Non","216,310415027",7089
4113,"Rue du Faubourg Boutonnet","Non","7,15","Non","1,3","Non_Non","64,3824525756",7228
1670,"Rue Jules Troubat","Non","1,4","Oui","1,7","Non_Oui","28,657864199",3329
10613,"Rue des Mas de Richemont","Non",0,"Non",0,"Non_Non","28,3037214433",7119
5920,"Rue des Cyprès","Non","0,75","Non","0,65","Non_Non","25,2175536888",5901
767,"Place Roger Salengro",,0,"Non",0,"_Non","96,9694986642",2743
12975,"Avenue de l'Ecole d'Agriculture-Gabriel Buchet","Non","5,05","Oui","4,9","Non_Oui","17,3624556757",6333
11793,"Rue du Moulin de Sémalen","Non","3,7","Oui","3,4","Non_Oui","75,6899551157",7374
6007,"Rue du Mas Saint Pierre","Non",0,"Non",1,"Non_Non","120,149934674",6584
5860,"Chemin de Moularès","Oui","6,55","Non",3,"Oui_Non","84,5160020835",5599
2687,"Place d'Italie","Oui","6,2","Non",0,"Oui_Non","33,1998942198",3760
2237,"Avenue de Lodève","Non","1,9","Oui","3,05","Non_Oui","78,4385594284",3631
4820,"Rue de Clémentville","Non","1,1","Non","1,15","Non_Non","149,119229506",7182
5429,"Rue Jeanne d'Arc","Non","1,3","Non","1,25","Non_Non","166,737085761",5787
3289,"Route de Mende","Oui","1,55","Oui","2,9","Oui_Oui","106,781980467",4398
1706,"Impasse Saint Cléophas","Non","1,35","Non","1,2","Non_Non","70,1137282048",3237
2524,"Avenue de Louisville","Oui",7,"Oui","4,9","Oui_Oui","195,490579308",3877
5755,"Rue Albert Samain","Non",2,"Non","1,5","Non_Non","72,134625667",5742
16937,"Rue Michel Teule","Non",0,"Oui","1,7","Non_Oui","38,5114522142",7502
3947,"Rue d'Epidaure","Non","1,7","Non","6,7","Non_Non","172,305413475",4705
2717,"Rue Jean Cavaillès","Non","1,7","Oui","2,5","Non_Oui","66,9413536861",3786
16040,"Avenue Jean Mermoz","Oui","3,1","Non",0,"Oui_Non","99,285861056",7290
90,"Boulevard du Jeu de Paume","Non","3,45","Oui","2,3","Non_Oui","86,5814152827",2220
1467,"Place Antonio Gaudi","Non","0,85","Non","0,95","Non_Non","31,9672499144",3096
2534,"Avenue de Barcelone","Non","2,8","Oui","4,55","Non_Oui","142,667457753",6947
1566,"Boulevard Pedro de Luna","Oui","1,9","Non","1,85","Oui_Non","119,086335538",6026
4203,"Avenue Chancel","Non",4,"Oui",7,"Non_Oui","102,64826434",5060
18437,"Place Charles Camproux","Oui","1,95","Non",2,"Oui_Non","15,0056556454",7548
5436,"Avenue du Pont Juvénal","Oui","4,2","Non","1,6","Oui_Non","111,657067838",5792
18814,"Place d'Aviler","Oui","8,5","Non",0,"Oui_Non","19,4104354709",7586
2228,"Rue de la Croix des Rosiers","Non",0,"Non",0,"Non_Non","92,1411287799",3623
1806,"Place Albert Louvel","Non","7,05","Non","1,1","Non_Non","55,3898196188",3396
2479,"Route de Lodève","Non","1,45","Non","1,25","Non_Non","31,9816784777",3841
6697,"Rue du Mas de Calenda","Non","4,35","Oui","6,05","Non_Oui","165,571164779",6093
3303,"Avenue de Saint Lazare","Non","4,1","Oui",4,"Non_Oui","142,85176197",6498
3324,"Place Jules Vallès",,0,,0,"_","61,9247277129",4423
1809,"Boulevard Paul Valéry","Non","2,7","Non","3,35","Non_Non","122,656509839",3399
1411,"Rue Chanoine Bessède","Non","2,35","Non","1,45","Non_Non","96,9179365777",2782
1099,"Rue du Mas du Limousin","Non",3,"Non","2,5","Non_Non","412,421674983",3112
7867,"Rue de Montasinos","Non","7,7","Non",0,"Non_Non","121,629914868",6707
1638,"Avenue de Villeneuve-Angoulème","Oui",10,"Non","2,3","Oui_Non","92,3675461171",3299
3511,"Rue Jean François Champollion","Non","0,9","Non","0,8","Non_Non","30,0672783865",3663
498,"Rue du Pas du Loup","Non",2,"Non","2,4","Non_Non","169,786591969",2492
16253,"Rue Henri Lagatu","Non","1,5","Non","1,5","Non_Non","80,8851691872",7312
2367,"Impasse de la Badiane","Non",0,"Non",0,"Non_Non","140,584752153",3567
312,"Avenue du Val de Montferrand","Non",0,"Non","1,1","Non_Non","40,3472878566",6663
13594,"Rue de Montels-Eglise","Non","1,5","Non","2,1","Non_Non","73,1940317405",7161
5086,"Rue Placentin","Non","1,6","Non",0,"Non_Non","27,1394864515",5382
4532,"Rue de la Croix de Las Cazes","Non","1,05","Non","1,25","Non_Non","207,153697306",5140
5669,"Avenue Georges Clémenceau","Oui","2,3","Non",2,"Oui_Non","70,653408386",5629
4841,"Avenue de la Liberté","Non",0,"Non",0,"Non_Non","28,918959048",7504
3633,"Rue de l'Agathois","Oui",4,"Oui","2,9","Oui_Oui","96,8861069769",4773
16173,"Rue Chateaubriand","Non",0,"Non",0,"Non_Non","30,7334668687",7305
6693,"Parking le nouveau Saint Roch","Non",0,"Non",150,"Non_Non","69,0989502575",6089
