"ID_ARC,N,10,0","VOI_NOM,C,80","ACC_OIMP,C,10","ACV_ILAR,N,19,8","ACC_OPAI,C,10","ACV_PLAR,N,19,8","ACC_1I2P,C,21","Shape_LEN,N,19,11","SHAPE_FID,N,9,0"
3735,"Rue du Clos de la Cerisaie",,0,,0,"_","94,0474576271",86
3768,"Passage des Ombrettes",,0,,0,"_","62,9793400075",87
3810,"Rue Laetitia",,0,,0,"_","169,415907836",88
3841,"Rue du Palais des Guilhem",,0,,0,"_","31,1017730713",89
3842,"Rue de Ratte",,0,,0,"_","63,1360380156",90
3950,"Rue Laetitia",,0,,0,"_","47,1609171718",91
4369,"Rue Calypso",,0,,0,"_","208,685878034",92
5728,"Boulevard de la Perruque","Non","4,55","Non","1,85","Non_Non","68,4003848453",5672
558,"Rue Jacques Bounin","Oui","2,45","Oui","4,4","Oui_Oui","132,42871652",2371
8813,"Rond-Point Alexandre Yersin","Non",19,"Non","4,4","Non_Non","19,6955348637",6886
4807,"Rue de Clémentville","Non","8,1","Oui","7,6","Non_Oui","79,2761059541",4976
3278,"Avenue Emile Diacon","Oui","5,8","Oui","4,6","Oui_Oui","126,360811882",4394
3310,"Avenue Saint Maurice de Sauret","Non",0,"Non",0,"Non_Non","93,8617409823",4409
6057,"Allée Alegria Beracasa","Non",0,"Non","3,05","Non_Non","70,4342586316",6532
1605,"Rue Bérenger Frédol","Non","7,15","Non","2,05","Non_Non","51,8235314569",3278
19316,"Rue Haroun Tazieff",,0,,0,"_","66,7752110775",7612
6157,"Rue Michel de l'Hospital","Non",0,"Non",0,"Non_Non","41,7836877973",5858
14332,"Rue des Amouriers","Non","0,65","Non","0,9","Non_Non","19,1878607502",6806
2991,"Allée Agnès Mac Laren","Non",0,"Non",0,"Non_Non","209,943161633",4082
5101,"Rue Foch","Oui","10,2","Oui","11,5","Oui_Oui","21,0454374364",5392
268,"Place Odysseum","Non",0,"Non",12,"Non_Non","11,7870145184",2557
6544,"Rue de la Portalière des Masques","Non",1,"Non","1,6","Non_Non","120,004088136",6154
8512,"Impasse du Muscadet","Non",0,"Non",0,"Non_Non","12,9046977221",6786
10315,"Place Altamira","Non",0,"Non",0,"Non_Non","28,1083651954",7102
6105,"Avenue des Etats du Languedoc","Non","1,3","Non","4,9","Non_Non","73,2465456056",5990
6456,"Rue de la Jasse de Maurin","Non","4,1","Non","4,3","Non_Non","292,096941017",6082
140,"Avenue de l'Ecole d'Agriculture-Gabriel Buchet","Non","1,3","Non","1,45","Non_Non","83,5726855456",2163
2358,"Rue des Ecoles","Non",0,"Non",0,"Non_Non","52,2176134289",3560
7830,"Allée Artémisia Gentileschi","Non",30,"Non",0,"Non_Non","120,172261458",1524
