"ID","AREA,N,19,11","PERIMETER,N,19,11","BATIMENTS_,N,9,0","PATRLIB,C,36","CLEFPATR,C,8","CDCOL,C,1","CDPAT,C,5","CDELEM,C,2","CLASS,C,5","SYMBOLE,N,4,0","Shape_Leng,N,19,11","Shape_Area,N,19,11"
380,"290,825828058","73,7405717162",381,"Collège Fontcarrade","70010900","7","00109","00","BT",104,"73,7699668643","291,0566632"
381,"357,562437478","92,5999650999",382,"Crèche Antigone","00020400","0","00204","00","BC",109,"92,6366782111","357,844790148"
382,"115,124456269","45,0853160015",383,"Collège Fontcarrade","70010900","7","00109","00","BT",104,"45,103242491","115,21630554"
383,"346,512568749","74,6297386179",384,,"99999999",,,,"NP",170,"74,6591229484","346,785321529"
384,"129,008090635","45,621341483",385,"Hôtel de Région","99999999","0","00000","0","BT",104,"45,6394045981","129,110702996"
385,"236,014943857","65,7123898165",386,"Espace Montpellier Jeunesse",,,,,"BM",109,"65,7382240753","236,201041119"
386,"93,5155313036","39,5307394275",387,"Collège Fontcarrade","70010900","7","00109","00","BT",104,"39,5464571246","93,5902658347"
387,"718,957800021","115,548044997",388,"Collège Fontcarrade","70010900","7","00109","00","BT",104,"115,59346853","719,525878589"
388,"392,050278189","79,8374985464",389,"Poste - Antigone","70021700","7","00217","00","NP",170,"79,8691764503","392,361510273"
389,"95,9863844521","68,1165506198",390,"Eglise Don Bosco","88888888","0","00000","0","CE",0,"68,143711098","96,0628022875"
390,"516,593959378","123,130019807",391,,"99999999","0","00000","0","NP",170,"123,17889631","517,002284842"
391,"681,386368855","133,247399543",392,,"99999999","0","00000","0","NP",170,"133,299974623","681,924821209"
392,"815,689521903","119,615166629",393,"Maison des Sports LR",,,,,"BT",104,"119,662335965","816,332421368"
393,"728,515046876","116,596994199",394,,"99999999","0","00000","0","NP",170,"116,642785779","729,089412913"
394,"589,328109443","97,6855033686",395,"Ecole élémentaire Gambetta","00031304","0","00313","04","BC",109,"97,7241312853","589,794053332"
395,"812,888106124","119,031490543",396,"FRANCE TELECOM - Antigone","70023400","7","00234","00","NP",170,"119,07835291","813,530821211"
396,"586,27417507","99,6095876022",397,"Ecole maternelle Francis Garnier","00030902","0","00309","02","BC",109,"99,6487455524","586,736093085"
397,"1183,2054249","257,059674232",398,"Eglise Don Bosco","99999999",,,,"BT",104,"257,161531099","1184,13707272"
398,"1522,46455323","256,75616788",399,,"99999999","0","00000","0","NP",170,"256,857713722","1523,66822053"
399,"545,625706356","92,1908764455",400,,"70006000","7","00060","00","NP",170,"92,2272924356","546,055760295"
400,"2250,01887819","381,480001637",401,,"99999999","0","00000","0","NP",170,"381,629508549","2251,79893663"
401,"118,630434359","44,4401905295",402,"Maison Asso Guy de Montpellier","00114600","0","01146","00","BC",109,"44,457762004","118,724160437"
