"CAR_NUM,C,50","CAR_LIEU,C,254","SON_NIVEAU,C,50","Coord_X,C,50","Coord_Y,C,50"
104,Place Albert 1er,Aucun,"3,87470610391228","43,6162132208744"
320,Saint Jaumes / Bonnard,Aucun,"3,86984558202703","43,6149420815581"
112,Henry IV / Armand Gautier,Aucun,"3,87349141917144","43,6143197951226"
932,Saint Charles / Bertrand / Sainte-Lucie,Partiel,"3,87345789969839","43,6169818320299"
500,Aéroport International / Poséidon,Partiel,"3,89463453108616","43,6089929091842"
300,Antigone / Léon Blum,Partiel,"3,89071155868388","43,6089774017343"
207,Antigone / Parkings,Partiel,"3,88917625994171","43,609104723067"
755,Marie De Montpellier / Fac De Droit,Partiel,"3,89897834677206","43,6015744949668"
952,Mondial / Vauguières,Aucun,"3,91148091243903","43,603658079617"
872,Mondial / Mas Rouge,Partiel,"3,90857326372515","43,6033467152106"
875-1,Place Ernest Granier,Aucun,"3,90050533399097","43,6018827766249"
301,Jacques Cartier / Léon Blum,Tout,"3,89048616931514","43,6070234942817"
524,Jacques Cartier / Poséidon,Tout,"3,89399422202775","43,606790456682"
750,Marie De Montpellier / Antonelli / Chélia,Aucun,"3,89618515192845","43,6003035387046"
518,Dubout / Orient / Comte de Melgueil,Partiel,"3,89028460351555","43,6036823975346"
519,Dubout / Sept Cans,Aucun,"3,89166748346568","43,6016622565936"
520,Moularès / Comte De Melgueil,Partiel,"3,89309304499829","43,603849888611"
522,Droits De L'Homme / Consuls De Mer,Partiel,"3,89492846652132","43,6039632909004"
521,Droits De L'Homme / Moularès,Aucun,"3,89447905538938","43,6024986602736"
701,Moularès / Pirée,Aucun,"3,89517338687416","43,6014941656779"
523,Droits De L'Homme / Juvénal,Aucun,"3,89416653703397","43,6059328522459"
940,Droits De L'Homme / Barques,Aucun,"3,89482418474139","43,6044715120248"
938,Aéroport International / Acropole,Aucun,"3,89262333047137","43,6088713242316"
756,Marie De Montpellier / Syracuse,Aucun,"3,89729952577451","43,6008931351745"
946,Mondial / Manuguerra,Aucun,"3,90648571747426","43,603334479391"
871,Mondial / Pénélope,Aucun,"3,91333889990795","43,6034373361937"
208,Passage Piéton / Etats Du Languedoc,Aucun,"3,88650851599939","43,6066345394211"
308,Place De Strasbourg,Partiel,"3,88036834660879","43,6029960595823"
309,Gare Routière / Grand Saint Jean,Aucun,"3,87958180255451","43,603407684998"
201,République / Pagézy,Aucun,"3,87934955137239","43,6053672291109"
202,Pagézy / Maguelone,Tout,"3,87998501007706","43,6063412328148"
204,Pont De Lattes / Rue Farges,Aucun,"3,88314878198116","43,6047007131306"
305,Orient / Strasbourg / Barcelone,Tout,"3,88821255022127","43,6035233940235"
702,Moularès / Antonelli,Tout,"3,89385741775522","43,5991790705438"
203,Jules Ferry / Verdun,Tout,"3,88218839541929","43,6056291660615"
304,Juvénal / Etats Du Languedoc,Aucun,"3,88811050862858","43,6054406200338"
303,Juvénal / Léon Blum / Vaissière,Aucun,"3,88937878277181","43,6055102733817"
517,Orient / Protestants,Aucun,"3,88665494344955","43,6026342811007"
641,Maurin / Payroliers,Aucun,"3,87562957290015","43,5972791798009"
