"CAR_NUM,C,50","CAR_LIEU,C,254","SON_NIVEAU,C,50","Coord_X,C,50","Coord_Y,C,50"
94,Accès Riverains Rue De Substantion,Aucun,"3,88256074195805","43,6161456930434"
84,Accès Riverains Mail des Abbesses,Aucun,"3,88303426133406","43,6218938353114"
837,Lodève / Piéton Mosson,Aucun,"3,81851968561362","43,615496241138"
818,Lodève / TRAM Spaak,Aucun,"3,82191636943807","43,6152924859273"
815,Zamenhof / Pilory / Fabre de St Castor,Aucun,"3,82613026824968","43,6171032638926"
850,Bretelle Spaak / Bus Mosson,Aucun,"3,8166612375754","43,6176605093447"
853,déchetterie / place Schumann,Aucun,"3,81611897459138","43,6187026059943"
861,Heidelberg / place Schuman,Aucun,"3,81777761911035","43,6198360048876"
907,Sainte Barbe / CEMH,Aucun,"3,82427683044712","43,6305383652559"
789,Bringuier / Araucarias,Aucun,"3,83965009731721","43,6150532580081"
802,Moulins / Alco,Aucun,"3,83533690995816","43,622420928325"
809,Moulins / Delteil,Aucun,"3,83417277065307","43,6212454215608"
811,Pilory / Moulins / Giono,Aucun,"3,83260399272475","43,6198468292547"
553,Lodève / Masséna,Aucun,"3,84658170406661","43,6115727344842"
551,Lodève / Piéton Lycée / Gendarmerie,Aucun,"3,84842267927734","43,6108739017991"
552,Masséna / Augereau,Aucun,"3,84682216180296","43,6098158649052"
550,Lodève / Forgues,Aucun,"3,85330370396132","43,6101588267948"
332,Lodève / Nogaret,Aucun,"3,86277414888653","43,6098312090984"
331,Lodève / Volontaires / Brailles,Aucun,"3,86446311531306","43,6096070863008"
329,Gambetta / Zola,Aucun,"3,86775342771908","43,6088790907925"
978,Maurin / J.Cugnot,Tout,"3,87568777076293","43,5945438989978"
974,Pedro De Luna / Ecole Républicaine,Partiel,"3,87140560586166","43,5947045020145"
975,Pedro De Luna / Costa Dorada / Vercors,Partiel,"3,87223511568178","43,594215749501"
976,Pedro De Luna / Costa Brava,Tout,"3,87350089591278","43,5934449244793"
966,Villeneuve D'Angoulême / Roseau / Brassens,Partiel,"3,86634098609584","43,5933772680424"
