"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"AGATHOIS            ","Rue de l'Agathois                                               ",1,99999,"I","Ecole Elémentaire André  BOULLOCHE                          "
"AGATHOIS            ","Rue de l'Agathois                                               ",2,99998,"P","Ecole Elémentaire André  BOULLOCHE                          "
"AGAVE               ","Allée de l'agave                                                ",2,99998,"P","Ecole Elémentaire François RABELAIS                         "
"AGAVE               ","Allée de l'agave                                                ",1,99999,"I","Ecole Elémentaire François RABELAIS                         "
"AGDAL               ","Rue de l'Agdal                                                  ",1,99999,"I","Ecole Elémentaire François RABELAIS                         "
"AGDAL               ","Rue de l'Agdal                                                  ",2,99998,"P","Ecole Elémentaire François RABELAIS                         "
"AGDE                ","Rue du Plan d'Agde                                              ",1,99999,"I","Ecole Elémentaire LAMARTINE                                 "
"AGDE                ","Rue du Plan d'Agde                                              ",2,99998,"P","Ecole Elémentaire LAMARTINE                                 "
"AGENAIS             ","Rue de l'Agenais                                                ",1,99999,"I","Ecole Elémentaire André  BOULLOCHE                          "
"AGENAIS             ","Rue de l'Agenais                                                ",2,99998,"P","Ecole Elémentaire André  BOULLOCHE                          "
"AGRICULTURE         ","Avenue de l'Ecole d'Agriculture-Gabriel Buchet                  ",36,99998,"P","Ecole Elémentaire Berthe MORISOT                            "
"AGRICULTURE         ","Avenue de l'Ecole d'Agriculture-Gabriel Buchet                  ",13,37,"I","Ecole Elémentaire Paul LANGEVIN                             "
"AGRICULTURE         ","Avenue de l'Ecole d'Agriculture-Gabriel Buchet                  ",2,34,"P","Ecole Elémentaire Jeanne d'ARC                              "
"AGRICULTURE         ","Avenue de l'Ecole d'Agriculture-Gabriel Buchet                  ",1,11,"I","Ecole Elémentaire Jeanne d'ARC                              "
"AGRICULTURE         ","Avenue de l'Ecole d'Agriculture-Gabriel Buchet                  ",39,99999,"I","Ecole Elémentaire Charles BAUDELAIRE                        "
"AGROPOLIS           ","Avenue Agropolis                                                ",1,99999,"I","Ecole Elémentaire Jules FERRY                               "
"AGROPOLIS           ","Avenue Agropolis                                                ",2,99998,"P","Ecole Elémentaire Jules FERRY                               "
"AGUESSEAU           ","Place d'Aguesseau                                               ",1,99999,"I","Ecole Elémentaire Jean MERMOZ                               "
"AGUESSEAU           ","Place d'Aguesseau                                               ",2,99998,"P","Ecole Elémentaire Jean MERMOZ                               "
"AIGLON              ","Rue de l'Aiglon                                                 ",1,99999,"I","Ecole Elémentaire Sigmund FREUD                             "
"AIGLON              ","Rue de l'Aiglon                                                 ",2,99998,"P","Ecole Elémentaire Sigmund FREUD                             "
"AIGOUAL             ","Rue de l'Aigoual                                                ",2,99998,"P","Ecole Elémentaire CALMETTE (Docteur)                        "
"AIGOUAL             ","Rue de l'Aigoual                                                ",1,99999,"I","Ecole Elémentaire CALMETTE (Docteur)                        "
"AIGREFEUILLE        ","Rue d'Aigrefeuille                                              ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"AIGREFEUILLE        ","Rue d'Aigrefeuille                                              ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"AIGRETTES           ","Rue des Aigrettes                                               ",1,99999,"I","Ecole Elémentaire Jean MOULIN                               "
"AIGRETTES           ","Rue des Aigrettes                                               ",2,99998,"P","Ecole Elémentaire Jean MOULIN                               "
"AIGUELONGUE         ","Rue de l'Aiguelongue                                            ",247,99999,"I","Ecole Elémentaire Jules FERRY                               "
"AIGUELONGUE         ","Rue de l'Aiguelongue                                            ",248,99998,"P","Ecole Elémentaire Jules FERRY                               "
"AIGUELONGUE         ","Rue de l'Aiguelongue                                            ",1,245,"I","Ecole Elementaire  POTTIER /SIBELIUS                        "
"AIGUELONGUE         ","Rue de l'Aiguelongue                                            ",2,246,"P","Ecole Elementaire  POTTIER /SIBELIUS                        "
"AIGUERELLES         ","Rue des Aiguerelles                                             ",1,99999,"I","Ecole Elémentaire Paul BERT / V.HUGO                        "
"AIGUERELLES         ","Rue des Aiguerelles                                             ",2,99998,"P","Ecole Elémentaire Paul BERT / V.HUGO                        "
"AIGUILLERIE         ","Rue de l'Aiguillerie                                            ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"AIGUILLERIE         ","Rue de l'Aiguillerie                                            ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"AIGUILLERIE VIEILLE ","Rue Vieille Aiguillerie                                         ",2,99998,"P","Ecole Elémentaire Jules VERNE                               "
"AIGUILLERIE VIEILLE ","Rue Vieille Aiguillerie                                         ",1,99999,"I","Ecole Elémentaire Jules VERNE                               "
"AIMES               ","Allée Professeur Aimes                                          ",1,99999,"I","Ecole Elémentaire Sigmund FREUD                             "
"AIMES               ","Allée Professeur Aimes                                          ",2,99998,"P","Ecole Elémentaire Sigmund FREUD                             "
"AIRE                ","Rue de l'Aire                                                   ",1,99999,"I","Ecole Elémentaire Jules SIMON                               "
"AIRE                ","Rue de l'Aire                                                   ",2,99998,"P","Ecole Elémentaire Jules SIMON                               "
"AJACCIO             ","Rue d'Ajaccio                                                   ",1,99999,"I","Ecole Elémentaire Marc BLOCH                                "
"AJACCIO             ","Rue d'Ajaccio                                                   ",2,99998,"P","Ecole Elémentaire Marc BLOCH                                "
"ALAUZET             ","Rue Alauzet                                                     ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"ALAUZET             ","Rue Alauzet                                                     ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"ALBATROS            ","Rue des Albatros                                                ",1,99999,"I","Ecole Elémentaire PAINLEVE                                  "
"ALBATROS            ","Rue des Albatros                                                ",2,99998,"P","Ecole Elémentaire PAINLEVE                                  "
"ALBE                ","Rue d'Albe                                                      ",1,99999,"I","Ecole Elémentaire VOLTAIRE                                  "
"ALBE                ","Rue d'Albe                                                      ",2,99998,"P","Ecole Elémentaire VOLTAIRE                                  "
"ALBERES             ","Allée des Albères                                               ",2,99998,"P","Ecole Elémentaire CALMETTE (Docteur)                        "
"ALBERES             ","Allée des Albères                                               ",1,99999,"I","Ecole Elémentaire CALMETTE (Docteur)                        "
"ALBERT 1ER          ","Place Albert 1er                                                ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"ALBERT 1ER          ","Place Albert 1er                                                ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"ALBERT MARCELLIN    ","Rue Marcellin Albert                                            ",1,99999,"I","Ecole Elémentaire Léo MALET                                 "
"ALBERT MARCELLIN    ","Rue Marcellin Albert                                            ",2,99998,"P","Ecole Elémentaire Léo MALET                                 "
"ALBIGEOIS           ","Rue de l'Albigeois                                              ",1,99999,"I","Ecole Elémentaire André  BOULLOCHE                          "
"ALBIGEOIS           ","Rue de l'Albigeois                                              ",2,99998,"P","Ecole Elémentaire André  BOULLOCHE                          "
"ALBISSON            ","Rue d'Albisson                                                  ",1,99999,"I","Ecole Elémentaire LAMARTINE                                 "
"ALBISSON            ","Rue d'Albisson                                                  ",2,99998,"P","Ecole Elémentaire LAMARTINE                                 "
"ALCO                ","Rue d'Alco                                                      ",479,99999,"I","Ecole Elémentaire Louis ARMSTRONG                           "
"ALCO                ","Rue d'Alco                                                      ",488,856,"P","Ecole Elémentaire Julie DAUBIE                              "
"ALCO                ","Rue d'Alco                                                      ",858,99998,"P","Ecole Elémentaire Emile COMBES                              "
"ALCO                ","Rue d'Alco                                                      ",1,477,"I","Ecole Elémentaire Charles BAUDELAIRE                        "
"ALCO                ","Rue d'Alco                                                      ",2,486,"P","Ecole Elémentaire Charles BAUDELAIRE                        "
"ALCO                ","Rond-point d'Alco                                               ",1,99999,"I","Ecole Elémentaire André  BOULLOCHE                          "
"ALCO                ","Rond-point d'Alco                                               ",2,99998,"P","Ecole Elémentaire André  BOULLOCHE                          "
"ALCYONE             ","Rue Alcyone                                                     ",1,99999,"I","Ecole Elémentaire PAINLEVE                                  "
"ALCYONE             ","Rue Alcyone                                                     ",2,99998,"P","Ecole Elémentaire PAINLEVE                                  "
"ALEMBERT            ","Rue d'Alembert                                                  ",1,99999,"I","Ecole Elémentaire DIDEROT                                   "
"ALEMBERT            ","Rue d'Alembert                                                  ",2,99998,"P","Ecole Elémentaire DIDEROT                                   "
"ALEXANDRE LANGLADE  ","Rue Alexandre Langlade                                          ",1,99999,"I","Ecole Elémentaire RONSARD                                   "
"ALEXANDRE LANGLADE  ","Rue Alexandre Langlade                                          ",2,99998,"P","Ecole Elémentaire RONSARD                                   "
"ALEXANDRIE          ","Carrefour d'Alexandrie                                          ",1,99999,"I","Ecole Primaire Michel de l' Hospital (Element)              "
"ALEXANDRIE          ","Carrefour d'Alexandrie                                          ",2,99998,"P","Ecole Primaire Michel de l' Hospital (Element)              "
"ALEXIS              ","Rue Saint Alexis                                                ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"ALEXIS              ","Rue Saint Alexis                                                ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"ALGER               ","Rue d'Alger                                                     ",1,99999,"I","Ecole Elémentaire Paul BERT / V.HUGO                        "
"ALGER               ","Rue d'Alger                                                     ",2,99998,"P","Ecole Elémentaire Paul BERT / V.HUGO                        "
"ALISIERS            ","Rue des Alisiers                                                ",1,99999,"I","Ecole Elémentaire Louis ARMSTRONG                           "
"ALISIERS            ","Rue des Alisiers                                                ",2,99998,"P","Ecole Elémentaire Louis ARMSTRONG                           "
