"RUETRI","RUE","NORUED","NORUEF","PAIRIM","CDETABM"
"BELLEAU             ","Rue Rémy Belleau                                                ",1,99999,"I","Ecole Elémentaire Frédéric BAZILLE                          "
"BELLEAU             ","Rue Rémy Belleau                                                ",2,99998,"P","Ecole Elémentaire Frédéric BAZILLE                          "
"BELMONT             ","Rue Belmont                                                     ",1,99999,"I","Ecole Elémentaire Jules VERNE                               "
"BELMONT             ","Rue Belmont                                                     ",2,99998,"P","Ecole Elémentaire Jules VERNE                               "
"BELUGOU             ","Passage David Bélugou                                           ",1,99999,"I","Ecole Elémentaire Paul BERT / V.HUGO                        "
"BELUGOU             ","Passage David Bélugou                                           ",2,99998,"P","Ecole Elémentaire Paul BERT / V.HUGO                        "
"BELVEDERE           ","Rue du Belvédère                                                ",1,99999,"I","Ecole Elémentaire Charles BAUDELAIRE                        "
"BELVEDERE           ","Rue du Belvédère                                                ",2,99998,"P","Ecole Elémentaire Charles BAUDELAIRE                        "
"BEN BARKA           ","Rue Mehdi Ben Barka                                             ",1,99999,"I","Ecole Elémentaire RONSARD                                   "
"BEN BARKA           ","Rue Mehdi Ben Barka                                             ",2,99998,"P","Ecole Elémentaire RONSARD                                   "
"BENAMOUR ADOLPHE RUE","Rue Adolphe Benamour                                            ",1,99999,"I","Ecole Elémentaire Jacques BREL                              "
"BENAMOUR ADOLPHE RUE","Rue Adolphe Benamour                                            ",2,99998,"P","Ecole Elémentaire Jacques BREL                              "
"BENCKER             ","Impasse Bencker                                                 ",1,99999,"I","Ecole Elémentaire Jacques BREL                              "
"BENCKER             ","Impasse Bencker                                                 ",2,99998,"P","Ecole Elémentaire Jacques BREL                              "
"BENE                ","Place Jean Bène                                                 ",1,99999,"I","Ecole Elémentaire Jean JAURES                               "
"BENE                ","Place Jean Bène                                                 ",2,99998,"P","Ecole Elémentaire Jean JAURES                               "
"BENENSON            ","Rue Peter Benenson                                              ",2,99998,"P","Ecole Elémentaire Antoine BALARD                            "
"BENENSON            ","Rue Peter Benenson                                              ",1,99999,"I","Ecole Elémentaire Antoine BALARD                            "
"BENEZECH            ","Rue Christian Bénézech                                          ",2,99998,"P","Ecole Primaire OLYMPE DE GOUGES (Element )                  "
"BENEZECH            ","Rue Christian Bénézech                                          ",1,99999,"I","Ecole Primaire OLYMPE DE GOUGES (Element )                  "
"BENGALIS            ","Rue des Bengalis                                                ",1,99999,"I","Ecole Elémentaire Sigmund FREUD                             "
"BENGALIS            ","Rue des Bengalis                                                ",2,99998,"P","Ecole Elémentaire Sigmund FREUD                             "
"BENOIT              ","Rue Cité Benoit                                                 ",1,99999,"I","Ecole Elémentaire Jules SIMON                               "
"BENOIT              ","Rue Cité Benoit                                                 ",2,28,"P","Ecole Elémentaire Jules SIMON                               "
"BENOIT              ","Rue Cité Benoit                                                 ",30,99998,"P","Ecole Elémentaire Jean MERMOZ                               "
"BERACASA            ","Allée Alegria Beracasa                                          ",1,99999,"I","Ecole Elémentaire Jean MERMOZ                               "
"BERACASA            ","Allée Alegria Beracasa                                          ",2,99998,"P","Ecole Elémentaire Jean MERMOZ                               "
"BERANGER            ","Allée Béranger                                                  ",1,99999,"I","Ecole Elémentaire Julie DAUBIE                              "
"BERANGER            ","Allée Béranger                                                  ",2,99998,"P","Ecole Elémentaire Julie DAUBIE                              "
"BERARD              ","Rue Auguste Berard                                              ",1,99999,"I","Ecole Elémentaire Emile COMBES                              "
"BERARD              ","Rue Auguste Berard                                              ",2,99998,"P","Ecole Elémentaire Emile COMBES                              "
"BERCY               ","Rue de Bercy                                                    ",1,99999,"I","Ecole Elémentaire SEVIGNE                                   "
"BERCY               ","Rue de Bercy                                                    ",2,99998,"P","Ecole Elémentaire SEVIGNE                                   "
"BERGAMOTES          ","Avenue des Bergamotes                                           ",2,99998,"P","Ecole Elémentaire VOLTAIRE                                  "
"BERGAMOTES          ","Avenue des Bergamotes                                           ",1,99999,"I","Ecole Elémentaire VOLTAIRE                                  "
"BERGER              ","Rue du Berger                                                   ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"BERGER              ","Rue du Berger                                                   ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"BERGERAC            ","Rue Cyrano de Bergerac                                          ",1,99999,"I","Ecole Elémentaire Sigmund FREUD                             "
"BERGERAC            ","Rue Cyrano de Bergerac                                          ",2,99998,"P","Ecole Elémentaire Sigmund FREUD                             "
"BERGERONNETTES      ","Rue des Bergeronnettes                                          ",1,99999,"I","Ecole Elémentaire Jean MOULIN                               "
"BERGERONNETTES      ","Rue des Bergeronnettes                                          ",2,99998,"P","Ecole Elémentaire Jean MOULIN                               "
"BERGSON             ","Rue Henri Bergson                                               ",1,99999,"I","Ecole Elémentaire PAINLEVE                                  "
"BERGSON             ","Rue Henri Bergson                                               ",2,99998,"P","Ecole Elémentaire PAINLEVE                                  "
"BERLIOZ             ","Rue Hector Berlioz                                              ",1,99999,"I","Ecole Elémentaire Léo MALET                                 "
"BERLIOZ             ","Rue Hector Berlioz                                              ",2,99998,"P","Ecole Elémentaire Léo MALET                                 "
"BERNARD             ","Rue Comte Bernard                                               ",1,99999,"I","Ecole Elémentaire Jules FERRY                               "
"BERNARD             ","Rue Comte Bernard                                               ",2,99998,"P","Ecole Elémentaire Jules FERRY                               "
"BERNARD TRISTAN     ","Plan Tristan Bernard                                            ",1,99999,"I","Ecole Elémentaire DIDEROT                                   "
"BERNARD TRISTAN     ","Plan Tristan Bernard                                            ",2,99998,"P","Ecole Elémentaire DIDEROT                                   "
"BERNHARDT           ","Passage Sarah Bernhardt                                         ",1,99999,"I","Ecole Elémentaire Jacques BREL                              "
"BERNHARDT           ","Passage Sarah Bernhardt                                         ",2,99998,"P","Ecole Elémentaire Jacques BREL                              "
"BERTHELE            ","Impasse Joseph Berthelé                                         ",1,99999,"I","Ecole Elementaire  POTTIER /SIBELIUS                        "
"BERTHELE            ","Impasse Joseph Berthelé                                         ",2,99998,"P","Ecole Elementaire  POTTIER /SIBELIUS                        "
"BERTHELOT           ","Boulevard Berthelot                                             ",1,99999,"I","Ecole Elémentaire Marie CURIE                               "
"BERTHELOT           ","Boulevard Berthelot                                             ",2,99998,"P","Ecole Elémentaire Marie CURIE                               "
"BERTHOLLET          ","Rue Claude Berthollet                                           ",1,99999,"I","Ecole Elémentaire François RABELAIS                         "
"BERTHOLLET          ","Rue Claude Berthollet                                           ",2,99998,"P","Ecole Elémentaire François RABELAIS                         "
"BERTHOUD            ","Rue Louis Martin Berthoud                                       ",1,99999,"I","Ecole Primaire François MITTERAND (élément)                 "
"BERTHOUD            ","Rue Louis Martin Berthoud                                       ",2,99998,"P","Ecole Primaire François MITTERAND (élément)                 "
"BERTIN-SANS         ","Avenue Emile Bertin-Sans                                        ",1,99999,"I","Ecole Elementaire  POTTIER /SIBELIUS                        "
"BERTIN-SANS         ","Avenue Emile Bertin-Sans                                        ",2,99998,"P","Ecole Elementaire  POTTIER /SIBELIUS                        "
"BERTRAND            ","Rue Louis Bertrand                                              ",1,99999,"I","Ecole Elémentaire Marie CURIE                               "
"BERTRAND            ","Rue Louis Bertrand                                              ",2,99998,"P","Ecole Elémentaire Marie CURIE                               "
"BESSEDE             ","Rue Chanoine Béssède                                            ",1,99999,"I","Ecole Elémentaire DIDEROT                                   "
"BESSEDE             ","Rue Chanoine Béssède                                            ",2,99998,"P","Ecole Elémentaire DIDEROT                                   "
"BEUVE-MERY          ","Rue Hubert Beuve-Mery                                           ",1,99999,"I","Ecole Elémentaire Léo MALET                                 "
"BEUVE-MERY          ","Rue Hubert Beuve-Mery                                           ",2,99998,"P","Ecole Elémentaire Léo MALET                                 "
"BEZE                ","Allée Théodore de Bèze                                          ",1,99999,"I","Ecole Elémentaire Julie DAUBIE                              "
"BEZE                ","Allée Théodore de Bèze                                          ",2,99998,"P","Ecole Elémentaire Julie DAUBIE                              "
"BICENTENAIRE        ","Place du Bicentenaire                                           ",1,99999,"I","Ecole Elémentaire Paul BERT / V.HUGO                        "
"BICENTENAIRE        ","Place du Bicentenaire                                           ",2,99998,"P","Ecole Elémentaire Paul BERT / V.HUGO                        "
"BIGOT               ","Impasse Bigot                                                   ",1,99999,"I","Ecole Elémentaire GALILEE                                   "
"BIGOT               ","Impasse Bigot                                                   ",2,99998,"P","Ecole Elémentaire GALILEE                                   "
"BIGOT               ","Rue Bigot                                                       ",1,99999,"I","Ecole Elémentaire GALILEE                                   "
"BIGOT               ","Rue Bigot                                                       ",2,99998,"P","Ecole Elémentaire GALILEE                                   "
"BIONNE              ","Rue de Bionne                                                   ",408,99998,"P","Ecole Elémentaire SPINOZA                                   "
"BIONNE              ","Rue de Bionne                                                   ",699,99999,"I","Ecole Elémentaire SPINOZA                                   "
"BIONNE              ","Rue de Bionne                                                   ",2,406,"P","Ecole Elémentaire Léo MALET                                 "
"BIONNE              ","Rue de Bionne                                                   ",1,697,"I","Ecole Elémentaire Léo MALET                                 "
"BIQUET              ","Passage Biquet                                                  ",1,99999,"I","Ecole Elémentaire SEVIGNE                                   "
"BIQUET              ","Passage Biquet                                                  ",2,99998,"P","Ecole Elémentaire SEVIGNE                                   "
"BIRAUD              ","Rue Maurice Biraud                                              ",1,99999,"I","Ecole Elémentaire RONSARD                                   "
"BIRAUD              ","Rue Maurice Biraud                                              ",2,99998,"P","Ecole Elémentaire RONSARD                                   "
"BIR-HAKEIM          ","Square Bir-Hakeim                                               ",1,99999,"I","Ecole Elémentaire Jeanne d'ARC                              "
"BIR-HAKEIM          ","Square Bir-Hakeim                                               ",2,99998,"P","Ecole Elémentaire Jeanne d'ARC                              "
"BIRMINGHAM          ","Cour de Birmingham                                              ",1,99999,"I","Ecole Elémentaire ROOSEVELT                                 "
"BIRMINGHAM          ","Cour de Birmingham                                              ",2,99998,"P","Ecole Elémentaire ROOSEVELT                                 "
"BISCAY              ","Rue Jean Pierre Biscay                                          ",1,99999,"I","Ecole Elémentaire Jean MACE                                 "
"BISCAY              ","Rue Jean Pierre Biscay                                          ",2,99998,"P","Ecole Elémentaire Jean MACE                                 "
"BISCAYEURS          ","Impasse des Biscayeurs                                          ",1,99999,"I","Ecole Elémentaire SPINOZA                                   "
"BISCAYEURS          ","Impasse des Biscayeurs                                          ",2,99998,"P","Ecole Elémentaire SPINOZA                                   "
"BITERROIS           ","Avenue du Biterrois                                             ",1,99999,"I","Ecole Elémentaire Léopold SEDAR SENGHOR                     "
"BITERROIS           ","Avenue du Biterrois                                             ",2,99998,"P","Ecole Elémentaire ROOSEVELT                                 "
"BIZERAY             ","Impasse Bizeray                                                 ",1,99999,"I","Ecole Elémentaire Marie CURIE                               "
"BIZERAY             ","Impasse Bizeray                                                 ",2,99998,"P","Ecole Elémentaire Marie CURIE                               "
"BIZET               ","Rue Georges Bizet                                               ",2,99998,"P","Ecole Elémentaire DIDEROT                                   "
"BIZET               ","Rue Georges Bizet                                               ",1,99999,"I","Ecole Elémentaire Jacques BREL                              "
"BLAISE              ","Rue Saint Blaise                                                ",1,99999,"I","Ecole Elémentaire GAMBETTA                                  "
"BLAISE              ","Rue Saint Blaise                                                ",2,99998,"P","Ecole Elémentaire GAMBETTA                                  "
"BLANC LOUIS         ","Boulevard Louis Blanc                                           ",1,99999,"I","Ecole Elémentaire Jules VERNE                               "
"BLANC LOUIS         ","Boulevard Louis Blanc                                           ",2,99998,"P","Ecole Elémentaire Jules VERNE                               "
"BLANC PERE PIERRE   ","Rue Père Pierre Blanc                                           ",1,99999,"I","Ecoles SUN YAT SEN / DANTE ALIGHIERI                        "
"BLANC PERE PIERRE   ","Rue Père Pierre Blanc                                           ",2,99998,"P","Ecoles SUN YAT SEN / DANTE ALIGHIERI                        "
"BLANCHE             ","Allée Francis Blanche                                           ",1,99999,"I","Ecole Elémentaire RONSARD                                   "
"BLANCHE             ","Allée Francis Blanche                                           ",2,99998,"P","Ecole Elémentaire RONSARD                                   "
"BLANCHET            ","Allée Pierre Blanchet                                           ",1,99999,"I","Ecole Elémentaire Charles DAVILER                           "
"BLANCHET            ","Allée Pierre Blanchet                                           ",2,99998,"P","Ecole Elémentaire Charles DAVILER                           "
"BLANQUETTE          ","Impasse de la Blanquette                                        ",2,99998,"P","Ecole Elémentaire CALMETTE (Docteur)                        "
"BLANQUETTE          ","Impasse de la Blanquette                                        ",1,99999,"I","Ecole Elémentaire CALMETTE (Docteur)                        "
"BLANQUIERS          ","Rue des Blanquiers                                              ",1,99999,"I","Ecole Elémentaire Marie CURIE                               "
"BLANQUIERS          ","Rue des Blanquiers                                              ",2,99998,"P","Ecole Elémentaire Marie CURIE                               "
"BLAYAC              ","Rue du Professeur Blayac                                        ",1,99999,"I","Ecole Elémentaire Simon BOLIVAR                             "
"BLAYAC              ","Rue du Professeur Blayac                                        ",2,99998,"P","Ecole Elémentaire Simon BOLIVAR                             "
"BLAZY               ","Impasse Blazy                                                   ",1,99999,"I","Ecole Elémentaire Jean MOULIN                               "
"BLAZY               ","Impasse Blazy                                                   ",2,99998,"P","Ecole Elémentaire Jean MOULIN                               "
"BLEUETS             ","Rue des Bleuets                                                 ",1,99999,"I","Ecoles SUN YAT SEN / DANTE ALIGHIERI                        "
"BLEUETS             ","Rue des Bleuets                                                 ",2,99998,"P","Ecoles SUN YAT SEN / DANTE ALIGHIERI                        "
"BLIER               ","Rue Bernard Blier                                               ",1,99999,"I","Ecole Elémentaire RONSARD                                   "
"BLIER               ","Rue Bernard Blier                                               ",2,99998,"P","Ecole Elémentaire RONSARD                                   "
"BLUM                ","Rue Léon Blum                                                   ",117,99999,"I","Ecole Elémentaire PERICLES                                  "
"BLUM                ","Rue Léon Blum                                                   ",118,99998,"P","Ecole Elémentaire PERICLES                                  "
"BLUM                ","Rue Léon Blum                                                   ",1,115,"I","Ecole Elémentaire Jean MERMOZ                               "
"BLUM                ","Rue Léon Blum                                                   ",2,116,"P","Ecole Elémentaire Jean MERMOZ                               "
"BOCAUD              ","Rue Bocaud                                                      ",2,99998,"P","Ecole Elémentaire Jules VERNE                               "
"BOCAUD              ","Rue Bocaud                                                      ",1,99999,"I","Ecole Elémentaire Jules VERNE                               "
"BOE DIT JASMIN      ","Rue Jacques Boe dit Jasmin                                      ",1,99999,"I","Ecole Elémentaire GALILEE                                   "
"BOE DIT JASMIN      ","Rue Jacques Boe dit Jasmin                                      ",2,99998,"P","Ecole Elémentaire KUROSAWA                                  "
"BOFFRAND            ","Allée Germain Boffrand                                          ",1,99999,"I","Ecole Elémentaire Léo MALET                                 "
"BOFFRAND            ","Allée Germain Boffrand                                          ",2,99998,"P","Ecole Elémentaire Léo MALET                                 "
"BOHR                ","Allée Niels Bohr                                                ",1,99999,"I","Ecole Elémentaire Blaise PASCAL                             "
"BOHR                ","Allée Niels Bohr                                                ",2,99998,"P","Ecole Elémentaire Blaise PASCAL                             "
"BOIELDIEU           ","Allée François-Adrien Boieldieu                                 ",1,99999,"I","Ecole Elémentaire VOLTAIRE                                  "
"BOIELDIEU           ","Allée François-Adrien Boieldieu                                 ",2,99998,"P","Ecole Elémentaire VOLTAIRE                                  "
"BOILEAU NICOLASPLACE","Place Nicolas Boileau                                           ",1,99999,"I","Ecole Elémentaire François RABELAIS                         "
"BOILEAU NICOLASPLACE","Place Nicolas Boileau                                           ",2,99998,"P","Ecole Elémentaire François RABELAIS                         "
"BOIRARGUES          ","Avenue  de Boirargues                                           ",2,99998,"P","Ecole Primaire Michel de l' Hospital (Element)              "
"BOIRARGUES          ","Avenue  de Boirargues                                           ",1,99999,"I","Ecole Primaire Michel de l' Hospital (Element)              "
"BOIS                ","Rue du Petit Bois                                               ",1,99999,"I","Ecoles SUN YAT SEN / DANTE ALIGHIERI                        "
"BOIS                ","Rue du Petit Bois                                               ",2,99998,"P","Ecoles SUN YAT SEN / DANTE ALIGHIERI                        "
"BOIS ALLEES DU      ","Terrasse des Allées du Bois                                     ",1,99999,"I","Ecole Elémentaire Léopold SEDAR SENGHOR                     "
"BOIS ALLEES DU      ","Terrasse des Allées du Bois                                     ",2,99998,"P","Ecole Elémentaire Léopold SEDAR SENGHOR                     "
"BOIS JOLI           ","Impasse du Bois Joli                                            ",1,99999,"I","Ecole Elémentaire Jules FERRY                               "
"BOIS JOLI           ","Impasse du Bois Joli                                            ",2,99998,"P","Ecole Elémentaire Jules FERRY                               "
"BOISSIER            ","Rue Pierre Boissier                                             ",1,99999,"I","Ecoles SUN YAT SEN / DANTE ALIGHIERI                        "
"BOISSIER            ","Rue Pierre Boissier                                             ",2,99998,"P","Ecoles SUN YAT SEN / DANTE ALIGHIERI                        "
"BOLAND              ","Rue Adrienne Boland                                             ",1,99999,"I","Ecole Elémentaire Alain SAVARY                              "
"BOLAND              ","Rue Adrienne Boland                                             ",2,99998,"P","Ecole Elémentaire Alain SAVARY                              "
"BOLOGNE             ","Rue de Bologne                                                  ",1,99999,"I","Ecole Elémentaire Léopold SEDAR SENGHOR                     "
"BOLOGNE             ","Rue de Bologne                                                  ",2,99998,"P","Ecole Elémentaire André  BOULLOCHE                          "
"BON                 ","Rue Pierre Bon                                                  ",1,99999,"I","Ecole Elémentaire PAINLEVE                                  "
"BON                 ","Rue Pierre Bon                                                  ",2,99998,"P","Ecole Elémentaire PAINLEVE                                  "
"BONAFOS             ","Allées Maurice Bonafos                                          ",1,99999,"I","Ecole Elémentaire Georges SIMENON                           "
"BONAFOS             ","Allées Maurice Bonafos                                          ",2,99998,"P","Ecole Elémentaire Georges SIMENON                           "
"BONAPARTE           ","Rue Charles Bonaparte                                           ",1,99999,"I","Ecole Elémentaire HEIDELBERG                                "
"BONAPARTE           ","Rue Charles Bonaparte                                           ",2,99998,"P","Ecole Elémentaire LOUISVILLE                                "
"BONHEUR             ","Passage Gaston Bonheur                                          ",1,99999,"I","Ecole Elémentaire Jeanne d'ARC                              "
"BONHEUR             ","Passage Gaston Bonheur                                          ",2,99998,"P","Ecole Elémentaire Jeanne d'ARC                              "
"BONIFACE            ","Cour Pierre Boniface                                            ",1,99999,"I","Ecole Elémentaire GARIBALDI                                 "
"BONIFACE            ","Cour Pierre Boniface                                            ",2,99998,"P","Ecole Elémentaire GARIBALDI                                 "
"BONNARD             ","Rue Bonnard                                                     ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"BONNARD             ","Rue Bonnard                                                     ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"BONNET              ","Rue Emile Bonnet                                                ",1,99999,"I","Ecole Elementaire  POTTIER /SIBELIUS                        "
"BONNET              ","Rue Emile Bonnet                                                ",2,99998,"P","Ecole Elementaire  POTTIER /SIBELIUS                        "
"BONNET              ","Rue du Père Bonnet                                              ",1,99999,"I","Ecole Elémentaire GAMBETTA                                  "
"BONNET              ","Rue du Père Bonnet                                              ",2,99998,"P","Ecole Elémentaire GAMBETTA                                  "
"BONNIE              ","Rue Bonnié                                                      ",1,99999,"I","Ecole Elémentaire SEVIGNE                                   "
"BONNIE              ","Rue Bonnié                                                      ",2,99998,"P","Ecole Elémentaire SEVIGNE                                   "
"BONNIER             ","Square de Bonnier                                               ",1,99999,"I","Ecole Elémentaire Simon BOLIVAR                             "
"BONNIER             ","Square de Bonnier                                               ",2,99998,"P","Ecole Elémentaire Simon BOLIVAR                             "
"BONNIER D'ALCO      ","Rue Bonnier d'Alco                                              ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"BONNIER D'ALCO      ","Rue Bonnier d'Alco                                              ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"BONNIER DE LA MOSSON","Allée Joseph Bonnier de la Mosson                               ",1,99999,"I","Ecole Elémentaire Léo MALET                                 "
"BONNIER DE LA MOSSON","Allée Joseph Bonnier de la Mosson                               ",2,99998,"P","Ecole Elémentaire Léo MALET                                 "
"BOOTH               ","Rue William et Catherine Booth                                  ",1,99999,"I","Ecole Primaire Winston CHURCHILL                            "
"BOOTH               ","Rue William et Catherine Booth                                  ",2,99998,"P","Ecole Primaire Winston CHURCHILL                            "
"BORDES              ","Rue Charles Bordes                                              ",1,99999,"I","Ecole Elémentaire Jules SIMON                               "
"BORDES              ","Rue Charles Bordes                                              ",2,99998,"P","Ecole Elémentaire Jules SIMON                               "
"BORN                ","Rue Bertrand de Born                                            ",1,43,"I","Ecole Elémentaire KUROSAWA                                  "
"BORN                ","Rue Bertrand de Born                                            ",2,44,"P","Ecole Elémentaire KUROSAWA                                  "
"BORN                ","Rue Bertrand de Born                                            ",46,99998,"P","Ecole Elémentaire GALILEE                                   "
"BORN                ","Rue Bertrand de Born                                            ",45,99999,"I","Ecole Elémentaire GALILEE                                   "
"BORNIER             ","Rue Bornier                                                     ",1,99999,"I","Ecole Elémentaire SEVIGNE                                   "
"BORNIER             ","Rue Bornier                                                     ",2,99998,"P","Ecole Elémentaire SEVIGNE                                   "
"BORROMEE            ","Rue Charles Borromée                                            ",1,99999,"I","Ecole Elémentaire Léo MALET                                 "
"BORROMEE            ","Rue Charles Borromée                                            ",2,99998,"P","Ecole Elémentaire Léo MALET                                 "
"BOSCO               ","Rue Don Bosco                                                   ",2,99998,"P","Ecole Elémentaire Jules SIMON                               "
"BOSCO               ","Rue Don Bosco                                                   ",1,99999,"I","Ecole Elémentaire Jean JAURES                               "
"BOSQUET             ","Rue Bosquet                                                     ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"BOSQUET             ","Rue Bosquet                                                     ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"BOSQUET             ","Impasse Bosquet                                                 ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"BOSQUET             ","Impasse Bosquet                                                 ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"BOSSERVILLE         ","Allée de Bosserville                                            ",1,99999,"I","Ecole Elémentaire Marie CURIE                               "
"BOSSERVILLE         ","Allée de Bosserville                                            ",2,99998,"P","Ecole Elémentaire Marie CURIE                               "
"BOTTICELLI          ","Rue Sandro Botticelli                                           ",1,99999,"I","Ecole Elémentaire PAINLEVE                                  "
"BOTTICELLI          ","Rue Sandro Botticelli                                           ",2,99998,"P","Ecole Elémentaire PAINLEVE                                  "
"BOUALEM             ","Avenue Bachaga Boualem                                          ",1,99999,"I","Ecole Primaire Michel de l' Hospital (Element)              "
"BOUALEM             ","Avenue Bachaga Boualem                                          ",2,99998,"P","Ecole Primaire Michel de l' Hospital (Element)              "
"BOUCHER             ","Rue Hélène Boucher                                              ",1,99999,"I","Ecole Elémentaire Alain SAVARY                              "
"BOUCHER             ","Rue Hélène Boucher                                              ",2,99998,"P","Ecole Elémentaire Alain SAVARY                              "
"BOUCLIER DE BRENNUS ","Rue du Bouclier de Brennus                                      ",2,99998,"P","Ecole Primaire OLYMPE DE GOUGES (Element )                  "
"BOUCLIER DE BRENNUS ","Rue du Bouclier de Brennus                                      ",1,99999,"I","Ecole Primaire OLYMPE DE GOUGES (Element )                  "
"BOUGAINVILLEES      ","Rue des Bougainvillées                                          ",1,99999,"I","Ecole Elémentaire VOLTAIRE                                  "
"BOUGAINVILLEES      ","Rue des Bougainvillées                                          ",2,99998,"P","Ecole Elémentaire VOLTAIRE                                  "
"BOUILLON            ","Passage des Frères Bouillon                                     ",1,99999,"I","Ecole Elémentaire Sigmund FREUD                             "
"BOUILLON            ","Passage des Frères Bouillon                                     ",2,99998,"P","Ecole Elémentaire Sigmund FREUD                             "
"BOUISSES            ","Rue des Bouisses                                                ",2,248,"P","Ecole Elémentaire Alain SAVARY                              "
"BOUISSES            ","Rue des Bouisses                                                ",1,99999,"I","Ecole Elémentaire SPINOZA                                   "
"BOUISSES            ","Rue des Bouisses                                                ",250,99998,"P","Ecole Elémentaire SPINOZA                                   "
"BOUISSETTES         ","Rue des Bouissettes                                             ",1,99999,"I","Ecole Elémentaire SPINOZA                                   "
"BOUISSETTES         ","Rue des Bouissettes                                             ",2,99998,"P","Ecole Elémentaire SPINOZA                                   "
"BOUISSON-BERTRAND   ","Avenue Bouisson-Bertrand                                        ",1,99999,"I","Ecole Elémentaire CONDORCET                                 "
"BOUISSON-BERTRAND   ","Avenue Bouisson-Bertrand                                        ",2,99998,"P","Ecole Elémentaire CONDORCET                                 "
"BOULET              ","Allée Paul Boulet                                               ",1,99999,"I","Ecole Elémentaire Jules VERNE                               "
"BOULET              ","Allée Paul Boulet                                               ",2,99998,"P","Ecole Elémentaire Jules VERNE                               "
"BOULINGRIN          ","Allée du Boulingrin                                             ",1,99999,"I","Ecole Elémentaire Georges SIMENON                           "
"BOULINGRIN          ","Allée du Boulingrin                                             ",2,99998,"P","Ecole Elémentaire Georges SIMENON                           "
"BOULLOCHE           ","Rue André Boulloche                                             ",2,99998,"P","Ecole Elémentaire CALMETTE (Docteur)                        "
"BOULLOCHE           ","Rue André Boulloche                                             ",1,99999,"I","Ecole Elémentaire CALMETTE (Docteur)                        "
"BOUNIN              ","Rue Jacques Bounin                                              ",1,99999,"I","Ecole Elémentaire RONSARD                                   "
"BOUNIN              ","Rue Jacques Bounin                                              ",2,99998,"P","Ecole Elémentaire RONSARD                                   "
"BOUQUETINS          ","Rue des Bouquetins                                              ",1,99999,"I","Ecole Elémentaire Jean ZAY                                  "
"BOUQUETINS          ","Rue des Bouquetins                                              ",2,99998,"P","Ecole Elémentaire Jean ZAY                                  "
"BOURDET             ","Rue Claude Bourdet                                              ",1,99999,"I","Ecole Primaire Winston CHURCHILL                            "
"BOURDET             ","Rue Claude Bourdet                                              ",2,99998,"P","Ecole Primaire Winston CHURCHILL                            "
"BOURDON             ","Rue Sébastien Bourdon                                           ",1,99999,"I","Ecole Elémentaire SEVIGNE                                   "
"BOURDON             ","Rue Sébastien Bourdon                                           ",2,99998,"P","Ecole Elémentaire SEVIGNE                                   "
"BOURGEOIS           ","Rond-point Léon Bourgeois                                       ",2,99998,"P","Ecole Elémentaire Berthe MORISOT                            "
"BOURGEOIS           ","Rond-point Léon Bourgeois                                       ",1,99999,"I","Ecole Elémentaire Berthe MORISOT                            "
"BOURGEOIS DITE MISTI","Allée Jeanne Bourgeois dite Mistinguett                         ",1,99999,"I","Ecole Elémentaire Sigmund FREUD                             "
"BOURGEOIS DITE MISTI","Allée Jeanne Bourgeois dite Mistinguett                         ",2,99998,"P","Ecole Elémentaire Sigmund FREUD                             "
"BOURGINE            ","Rue de la Bourgine                                              ",1,99999,"I","Ecole Elémentaire DIDEROT                                   "
"BOURGINE            ","Rue de la Bourgine                                              ",2,99998,"P","Ecole Elémentaire DIDEROT                                   "
"BOURRELY            ","Rue Bourrely                                                    ",1,99999,"I","Ecole Elémentaire Marie CURIE                               "
"BOURRELY            ","Rue Bourrely                                                    ",2,99998,"P","Ecole Elémentaire Marie CURIE                               "
"BOURRIER            ","Rue Guy et Robert Bourrier                                      ",1,99999,"I","Ecole Elémentaire Jean MERMOZ                               "
"BOURRIER            ","Rue Guy et Robert Bourrier                                      ",2,99998,"P","Ecole Elémentaire Jean MERMOZ                               "
"BOURSEUL            ","Impasse Charles Bourseul                                        ",1,99999,"I","Ecole Elémentaire PAINLEVE                                  "
"BOURSEUL            ","Impasse Charles Bourseul                                        ",2,99998,"P","Ecole Elémentaire PAINLEVE                                  "
"BOURVIL             ","Rue Bourvil                                                     ",1,99999,"I","Ecole Elémentaire RONSARD                                   "
"BOURVIL             ","Rue Bourvil                                                     ",2,99998,"P","Ecole Elémentaire RONSARD                                   "
"BOUSCHET DE BERNARD ","Place Bouschet de Bernard                                       ",1,99999,"I","Ecole Elémentaire GAMBETTA                                  "
"BOUSCHET DE BERNARD ","Place Bouschet de Bernard                                       ",2,99998,"P","Ecole Elémentaire GAMBETTA                                  "
"BOUSCHET DE BERNARD ","Rue Bouschet de Bernard                                         ",1,99999,"I","Ecole Elémentaire SEVIGNE                                   "
