"osm_id,N,10,0","aeroway,C,254","amenity,C,254","z_order,N,10,0","Coord_X,C,50","Coord_Y,C,50"
1078409380,,      recycling,0,"3,79641349947153","43,6465124960462"
281558032,,      recycling,0,"3,81692579946868","43,6197361960477"
1329597479,,      recycling,0,"3,82079579946814","43,6450662960463"
1575980533,,      recycling,0,"3,83375859946633","43,6341481960469"
234642087,,      recycling,0,"3,83388559946632","43,5714214960504"
281587230,,      recycling,0,"3,84083869946535","43,6000862960488"
623878803,,      recycling,0,"3,84297029946505","43,6402142960465"
623878961,,      recycling,0,"3,84525549946473","43,6407558960465"
775116474,,      recycling,0,"3,85065119946398","43,6390261960466"
440971002,,      recycling,0,"3,85767379946301","43,5863092960495"
440971001,,      recycling,0,"3,85939039946277","43,5852958960497"
310242784,,      recycling,0,"3,86214719946238","43,6117659960482"
251353918,,      recycling,0,"3,86614769946183","43,613620496048"
1387799994,,      recycling,0,"3,86764399946162","43,6175526960478"
305442044,,      recycling,0,"3,86771879946161","43,6034448960486"
126671505,,      recycling,0,"3,86899679946143","43,6240670960474"
1342189481,,      recycling,0,"3,86900099946143","43,6202744960476"
1263318177,,      recycling,0,"3,8706278994612","43,5982365960489"
248093015,,      recycling,0,"3,87076949946119","43,6162390960479"
105440533,,      recycling,0,"3,87156759946107","43,6284461960472"
500956860,,      recycling,0,"3,87181769946104","43,6031195960486"
1354577228,,      recycling,0,"3,87245819946095","43,6230595960475"
106000939,,      recycling,0,"3,87268689946092","43,6230118960475"
579783678,,      recycling,0,"3,87317169946085","43,6171617960478"
105440531,,      recycling,0,"3,8735369994608","43,6279614960472"
105440514,,      recycling,0,"3,87536519946054","43,6267313960473"
105965590,,      recycling,0,"3,87594279946046","43,6205551960476"
105964242,,      recycling,0,"3,87716539946029","43,6217986960476"
130255822,,      recycling,0,"3,87772029946022","43,6241749960475"
70945257,,      recycling,0,"3,87813159946016","43,6294838960472"
105441203,,      recycling,0,"3,87838469946012","43,6319766960469"
71249464,,      recycling,0,"3,87858539946009","43,6350792960468"
1165308454,,      recycling,0,"3,87869449946008","43,6096609960482"
635872127,,      recycling,0,"3,87907469946003","43,6185682960478"
130800981,,      recycling,0,"3,87976049945993","43,6216286960476"
579739330,,      recycling,0,"3,88017299945987","43,6166199960479"
69161418,,      recycling,0,"3,88137149945971","43,6331673960469"
1575489414,,      recycling,0,"3,88138209945971","43,6281573960472"
479160975,,      recycling,0,"3,8814349994597","43,6122293960481"
70873887,,      recycling,0,"3,88187269945963","43,6272454960473"
1575491540,,      recycling,0,"3,88188639945964","43,6272254960473"
479160971,,      recycling,0,"3,88397419945935","43,6164780960478"
69101752,,      recycling,0,"3,88398319945934","43,631456596047"
70941165,,      recycling,0,"3,88486989945922","43,6303775960471"
256110629,,      recycling,0,"3,88494499945921","43,6063873960485"
500948843,,      recycling,0,"3,88659179945898","43,595832896049"
281265129,,      recycling,0,"3,88741699945887","43,6000215960488"
267845880,,      recycling,0,"3,88847039945872","43,6070346960484"
281766358,,      recycling,0,"3,8886592994587","43,6078557960483"
130440189,,      recycling,0,"3,88889919945866","43,6257677960473"
265390171,,      recycling,0,"3,89380199945798","43,6060547960484"
267855579,,      recycling,0,"3,89663929945758","43,6062427960484"
280708479,,      recycling,0,"3,89854529945732","43,6086451960483"
280973245,,      recycling,0,"3,89884459945728","43,6069052960484"
280973178,,      recycling,0,"3,89917079945723","43,6060351960484"
280931788,,      recycling,0,"3,90271979945674","43,6172811960478"
1530396304,,      recycling,0,"3,90606509945627","43,6053387960485"
1166359836,,      recycling,0,"3,9115671994555","43,6059089960484"
281675565,,      recycling,0,"3,91425429945513","43,6090296960483"
