"RÚgIE_ENTR","PROJET_O_N","DOM_PUBLIC","DOSSIER","O_N","NOM","CANTON","SS_QUARTIE","QUARTIER","QUARTIER0","SECTEUR","LIBSECTEUR","CAT?GORIE","LIBCATÚgOR","DATE_CR?AT","ADRESSE","PELOUSES","FLEURS","ARBUSTES","JEUX","ALL?ES","FRICHE","JARDINIERE","HAIES_LONG","WC_O_N","D?POT_JARD","ECLAIRAGE_","V?G?TAUX","BORNE_FONT","BASSINS_FO","DATE_MODIF","COORDONN?E","N_GEST","_LIBGESTI","N_MOEUVRE","_1_LIBGES","DATE_FICHE","GROUPE_ENT","LIBGROUPE","EAU_SURFAC","ROSIERS_SU","FEUILLUS_U","CONIFERE_U","PRAIRIE","AUTEUR_FIC","PALMIERS_Q","BOISEMENT","XCOORD","YCOORD","ALLÚeS_NON","VIVACES","PROPRIÚt?","LIBPROPRI","UNIFIÚe","LIBTYPOLOG","SEV","NON_SEV","TOTALE","ARBRES","HORTICOLE","HISTORIQUE","ECOLOGIE","ACTIVIT?","COMPOSITIO","ZONE","CL¶tURÚ_O_","FERMETURE","LIBFERMETU","HANDICAPÚs","HANDICAP0","LIBEVOLUTI","ACCESSIBIL","MODIFICATI","TRAML1","BUS","MSEC","BALAYAGESE","NOMCOURT","LONGITUDE","LATITUDE"
"Non","Non","19760101",250,"Non","Square de la piscine Mosson",9,2,"La Mosson","La Mosson","G","Mosson","Square","Square (inf Ó 1ha)","19760101","Avenue d'Heildelberg, n? 645",1435,0,70,0,0,0,0,70,"Non","Non","Non","Tilleuls argentÚs",0,0,35076,"B12",1,"SEV",1,"SEV",33634,2,"Normal",0,0,7,0,0,"Martin Rabaud",0,0,"719345,39260506","147841,34376031",1395,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",1505,0,2900,7,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Oui",1,"Circulations Ó modifier","Oui",37533,"1 - Mosson (180 m)","15 - Mosson (150 m)",0,"Non","Sq Piscine Mosson","3,815369","43,620867"
"Non","Non","19790101",251,"Non","Square des Escarcelliers",10,5,"Alco","Les CÚvennes","H","CÚvennes","Square","Square (inf Ó 1ha)","19790101","Rue des Corregiers",0,0,100,0,100,0,0,0,"Non","Non","Oui",,0,0,35076,"E10",1,"SEV",1,"SEV",33634,2,"Normal",0,0,0,0,400,,0,0,"720955,16277955","146884,58364681",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",600,0,600,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"La Ronde - Tonnelles (13 m)",0,"Oui","Sq Escarcelliers","3,835096","43,611996"
"Oui","Non","19820101",261,"Non","Square Jouanique (CÚvennes)",7,5,"Alco","Les CÚvennes","H","CÚvennes","Square","Square (inf Ó 1ha)","19820101","Impasse Auguste Mourgues",0,0,150,60,50,0,0,64,"Non","Non","Oui","12 sophoras, 7 pins, 2 cÞdres, 10 ostryas",0,0,35076,"G12",1,"SEV",47,"UPEE7",33633,2,"Normal",0,0,22,9,350,"AndrÚ Pical",0,2000,"721917,49339575","147863,52066726",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",2610,0,2610,31,0,0,0,0,0,"Nord-Ouest","Oui",1,"Portail","Oui",1,"Circulations Ó modifier","Non",39847,,"16 - Las RÚbÞs (51 m)",0,"Oui","Sq Jouanique","3,847238","43,620647"
"Oui","Non","19600101",262,"Non","Square des Prunelliers",9,5,"Alco","Les CÚvennes","H","CÚvennes","Square","Square (inf Ó 1ha)","19600101","Rue des Avellaniers",0,0,0,0,0,0,0,0,"Non","Non","Oui","9 tilleuls tomentosa",0,0,34451,"E11",1,"SEV",47,"UPEE7",33634,3,"Rustique",0,0,9,0,730,"O Martin Rabaud",0,0,"720835,34441974","147357,65596043",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",730,0,730,9,0,0,0,0,0,"Nord-Ouest","Oui",1,"Portail","Non",0,"Pas d'Úvolution possible","Non",39847,,"6 - Paul Rimbaud (195 m)",0,"Non","Sq Prunelliers","3,833718","43,616273"
"Non","Non","19830101",263,"Non","Square des Trolles (Petit Bard)",7,5,"Alco","Les CÚvennes","H","CÚvennes","Square","Square (inf Ó 1ha)","19830101","Rue des Trolles",0,0,0,63,52,0,0,36,"Non","Non","Non","2 pins, 4 peupliers",0,0,35076,"E11",1,"SEV",1,"SEV",33634,3,"Rustique",0,0,4,2,0,,0,0,"721141,51186021","147460,34239687",0,85,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",200,0,200,6,0,0,0,0,0,"Nord-Ouest","Oui",1,"Portail","Oui",1,"Circulations Ó modifier","Oui",39622,,"6 - Paul Bringuier (87 m)",0,"Non","Sq Trolles","3,837444","43,617131"
"Non","Non","19790101",268,"Non","Square AbbÚ Coursindel",7,15,"Figuerolles","Centre","B","Peyrou","Square","Square (inf Ó 1ha)","19950101","Rue Saint-Etienne",0,0,68,163,638,0,0,63,"Non","Non","Non","29 m¹riers,",0,0,35081,"i9",1,"SEV",1,"SEV",33633,2,"Normal",0,0,19,0,162,"PICAL",0,0,"723304,75877399","146408,04290699",142,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",1031,0,1173,19,1,2,0,2,2,"Centre","Oui",5,"Portillon","Oui",1,"Circulations Ó modifier","Oui",39139,,"11 - Figuerolles (100 m)",0,"Oui","Sq Coursindel","3,864089","43,607319"
"Non","Non","19690101",285,"Non","Square des renoncules",8,7,"La Chamberte","Les CÚvennes","H","CÚvennes","Square","Square (inf Ó 1ha)","19690101","Rue des renoncules",0,0,0,0,0,0,0,47,"Non","Non","Non","murier,laurier amande",0,0,34451,"G9",1,"SEV",1,"SEV",33681,2,"Normal",0,0,0,0,300,,0,0,"722082,92681535","146426,22586861",0,0,1,"Ville de Montpellier","Accompagnement d'habitations","Accompagnement d'habitations",300,0,300,0,0,0,0,0,0,"Nord-Ouest","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,"7 - Figairasse (67 m)",0,"Non","Sq renoncules","3,84896","43,607685"
"Non","Non","19830101",286,"Non","Square Saint-Berthomieu",8,9,"Estanove","Croix d'Argent","W","Croix d'Argent","Square","Square (inf Ó 1ha)","19830101","Place Germain Roland",0,0,0,0,350,0,0,11,"Non","Non","Oui","8 m¹riers, 2 cyprÞs",0,0,34445,"H7",1,"SEV",1,"SEV",33681,2,"Normal",0,0,8,2,0,,0,0,"722671,61333581","145365,83338426",0,0,1,"Ville de Montpellier","Accompagnement d'habitations","Accompagnement d'habitations",350,0,350,10,0,0,0,0,0,"Sud","Non",0,"Pas de fermeture","Non",0,"Pas d'Úvolution possible","Non",,,,0,"Non","Sq Saint-Berthom","3,856008","43,598044"
"Non","Non","19890101",288,"Non","Aire de jeux du Mas de BagnÞres",6,11,"Croix d'Argent","Croix d'Argent","W","Croix d'Argent","Square","Square (inf Ó 1ha)","19890101","Rue Poutingon",1611,0,250,100,0,0,0,285,"Non","Non","Non","pin parasol,cerisier,chÛne",0,0,35076,"H4",1,"SEV",1,"SEV",33633,2,"Normal",0,0,4,7,180,,0,0,"722776,61205639","143898,7942033",450,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",2141,0,2591,11,0,0,0,0,0,"Sud","Oui",2,"Tourniquet","Non",3,"Plusieurs amÚnagements Ó modifier","Oui",39709,"2 - Sabines (310 m)","5 - Mas de BagnÞres (Terminus) (41 m)",0,"Oui","Jeux Mas BagnÞres","3,856974","43,584823"
"Non","Non","19790101",289,"Non","Square du Mas Drevon",6,10,"Lemasson","Croix d'Argent","W","Croix d'Argent","Square","Square (inf Ó 1ha)","19790101","rue Henri Roseau",2700,0,1469,135,1000,0,0,0,"Non","Non","Non","pin, murier, tilleul",1,0,35117,"J6",1,"SEV",1,"SEV",33681,2,"Normal",0,0,2,1,2445,,0,0,"723788,1312624","144692,32807751",0,0,1,"Ville de Montpellier","Parcs, jardins, et squares","Parcs, jardins, et squares",7749,0,7749,3,1,0,0,3,1,"Sud","Oui",4,"Mixte","Non",0,"Pas d'Úvolution possible","Non",,"2 - Croix d'Argent (313 m)","5 - Richemont (335 m)",0,"Oui","Sq Mas Drevon","3,869679","43,591797"
